,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.368634512967614,0,0.297488459245958,0.00316031279389137,0,0.172790932893938,0,0.12837750945461,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.107698641775106,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.104500927590949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212756632571511,0,0
X601939.CH.EQUITY,0.369708973482355,0,0,0,0,0,0,0,0,0,0,0.0757492519646637,0.307435000998842,0,0,0,0,0.102137905506073,0.0709083306620744,0,0,0,0,0,0,0,-0.106722288137245,-0.0122649443437726,0,0,0,0,0,0,0,0,0.0130942546725308,0,0,0,0,0,0,0,0,0,0.0298817100908972,0,0,0.0326453148679523,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0589403624058073,0,0,0,0,0.279113464753969,0,0,0,0,0,0,0,0,0,0,0,0,0.0398139369779153,0,0,0,0,0,0,0,0,0.0946199948898837,0,0,0,0,0,0.421717441267614,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421479584814063,0.0478331394731808,0,0,0.332321507206377,0,0,0,0,0,0.107122331715922,0.0107614142787691,0,0,0,0,0.035328639268328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.26474948707661,0,0,0,0,0,0,0,0,0,0.0198482172195002,0,0,0,0,0.165350581209072,0.170911511330418,0,0,0,0,0,0,0,0,0,0,0.0668364878293345,0,0,0.0240679197521781,0,0,0,0,0,0,0,0,0,0.180975639596524,0,0,0.0979885780009621,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398726129278703,0,0,0.26850362111665,0,0,0,0,0,0.0363785397973977,0,0,0.43617239051295,0.0623366373394935,0,0,0,0,0,0,0,0,0,0.0230699759694917,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.416909631406377,0
X600036.CH.EQUITY,0,0,0,0,-0.0186220653486459,0,0,0.14824888456693,0,0,0,0.492157800130952,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0823270470438064,0.121359672677445,0,0,0,0,0,0,0,0,0.113417799747895,0.157005007372193,0.02485792164397,0.13435199959834,0,0.0622186690309406,0,0,0,0,0,0,0,0,-0.0697125730197233,0.0396863667518941
X1299.HK.EQUITY,0.0280734172557056,0,0,0,0,0.0399712908513333,0.07079514235826,0,0.0708807578369522,0,0,0,0,0,0,0,0.347551033723115,0,0,0,0.222783371667494,0,0.193707088380175,0,0,0,0,0.0911528879417847,0,0,0.140283149646436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0966739294446782,0.0303326698966609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459895192438864,0,0.0342560164376749,0,0,0,0,0,0,0.152413507116324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026058443741217,0,0,0,0
X601658.CH.Equity,0,0,0,-0.138800243568619,0,0,-0.240430519948475,0,0,0,0,0,0,0.00171548337742387,0,0,-0.0454194905874856,0,0,0,0,0,0,0,0,0,0,0,0,0.412690268473948,0,0,0,0,0,0,0,0,-0.391364119762078,0.624966703124115,0.0336863118059473,-0.163296559414575,0,0,0,0,0.685389830112125,0,0,0,-0.0791432616318137
