,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0579684676963914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117960273813898,0,0,0,-0.290610939523269,0,0,0,0,0.507807850312523,-0.229767427616513,0.0951160602086051,0.0986555099529467,0,0,0,0,0,-0.0254863066260393,0.280930802549738
X601318.CH.EQUITY,0,0,0,0,0,0,0.172771350450401,0,0,0.0292487361066936,0,0,0,0.0293839821214868,0,0,0,0,0,0,0,0,0,0,0.161546443044681,-6.93889390390723e-18,0,0,0,0.0542433206972653,0,0,0,0,0,0,0,0.480978375325677,0,0,-0.0539315328976318,0,0.0475049526278138,0,0,0,-0.0208517400638004,0,0.011932507100399,0
X601939.CH.EQUITY,0.410176033357704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223849474285128,0,0,0,0,0,0.100835109249464,0,0,0,0,0.139302617178697,0,-0.155547944716463,0.0693537170665596,0,0,-0.106236118382923,0,0,0,0.445019425426349,0,0,0,0,0,0.0862617478984761,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0650771476896255,0,-0.182417679530213,0,0,0.403528919917549,0.423300963893569,0,0,0,0,0.128980003178831,0,0,0,0,0,0,0,0,0,-0.0488984110806491,0.000327891602572605,0,0,-0.48650980164604,0,0,0,0,0,0,0,0,0,0,0.074683600003091,0,0,0,0,0.0210218934961766,0,0,0
X5.HK.EQUITY,-0.156267965658424,-0.0135151788674288,0,0,0,0,0,0,0,0,0.0580049388208477,0,0,0,0,0.196905327286283,0,0.300267097678715,0,0.0141823371064359,0,0,0,0.439126588023037,0.0297163468319041,0,0,0,0,-0.314745641317883,0,0,0,0,0,0.0218476931808722,0,0,0,0,-0.0564433916123115,0,0.191147931002964,0,0,0,-0.173972240494882,0,-0.141056489319431,0.0897474680872626
X601988.CH.EQUITY,0.223401850303675,0,0,0.759525767463547,0.165040393259008,0,0,0,0,0,0.111720330498,0,0,0,0.11174731617842,0,0,0,0,0,0,0,0.0130415078488449,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.105913143289953,0,0,0,0,0,0,0,0,0,0.00030349704023043,0
X600036.CH.EQUITY,0,0.751473454076944,-0.0631062737397825,0,0,0,0,0,-0.174781114547582,0.493558115925795,0,0,0,0,0,0,0,0,0,0.108592332576005,0.0701365036776306,-0.116951848543134,0,0,0,0,0,0,0,0.0455826743421771,0,0,0,0,-0.0345304300228679,0,0,0,0,0,0,0.0186942460822353,0.132853514254084,0,0,6.93889390390723e-18,0,0,0,-0.16420064752389
X1299.HK.EQUITY,0,0.0422416621075127,0,0,0.09674997308131,0,0,0,0,0,-0.10934909232804,0,-0.00827257905798202,0.127198459418019,0,0,0.217981241367043,0,0,0.0407455581604916,0,0.12444768017558,0,0,0,0.0299899650316656,0,0,0,0,0,0.22103268277104,0,0,0,0,0,0,0,-0.0778641958735627,0,0,0,0,0,0,0,0.200459705216825,0.0343366763702206,0
X601628.CH.EQUITY,0,0.058295488666355,0,0.0544777842193325,0,0,0,0,0,0,0,0,0,0.331023793386386,0,0,0,0,0,-0.024738691319302,0,0.116593207290376,0,0,0,0,0,0,0,-0.0591351432719035,0,0,0,0,0,0,0.044035456203755,0.215466679917498,0.011776270123354,0,0,0,0,0,0,0,0,0.136824961621577,0,0
X601328.CH.EQUITY,0,0.182341696648635,0.296310683267431,0.0311085708153825,0,0,0.468158804167692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109785845276914,0,0,0,0,0.187734394586736,0.299276465426193,0,0,0,0,0,0,0,0,0,0,0,0,-0.103325151969264,-0.117368269475327,0,0,0,0,0,0,-0.504538329736187,-0.0135336619498452,0
