,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0723020491213266,0,0.636859670674083,0,0,0.000112050490473841,0,0,0,0,0,0,0,0,0,0,0.116597402416185,0,0,0,0,0,0,0,0,0,0,0.0379123915864897,0,0,0,0,0,0,0,0,0,0,0,0,-0.00869346393085226,0,0,0,0,0,0.0597781414616755,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00735921672691142,0,0,0.0208674803901149,0,0,0,0,0.160760790521398,0,0,0,0,0,0.457462980907268,0,0,0,0,0,0,0,0,0,0,0,0.0515432074160213,0,0,0,0,0,0.0611098430495281,0,0,0,0,0,0,0.130213284312842,0,0,0,0.00567528893607476,0,-0.157434590316177
X601939.CH.EQUITY,0,0,0,0,0.519989630309992,0,0,0,0,0,0.204727582257719,0,-0.0710326988982724,0,0,0,0,0,0,0,0.0244962652153064,0,0,0,0.449666038469455,0,0,0,0,0,0.0197092086888187,0,0,0,0,0,0,0,0,-0.177566269078204,0,0,0,-0.0529133376637447,0,0,0,0,0,0,0.059598650228661
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0
X601288.CH.EQUITY,0.0526684366836066,0,0.106314296557058,0,0,0,0.233395679729864,0,0,0.0489724996023621,0,0,0,0.0596155472649155,0,0,0.0845455431607172,0,0,0,0,0,0,0,0.17845608715057,0,0,0,0,0,0,0,0,0,0,0,0.252920092060407,-0.00102000800755073,0,0,0,0,-0.0835341575777628,0,0,0,0,0,0,-0.0542841976618232,0
X600036.CH.EQUITY,0.0111567602604773,0.243255473993252,0,0,0.0804286653258228,0,0,0.128911930923939,0,0,0,0,0,0.280415233398189,0,0,0,0,0.116918261939724,0,0,0,0,0,0,0.254451778168043,0,0.0659477882345942,0,0.0166320704225572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662426096671,0,0,-0.0231787737883475,0
X601988.CH.EQUITY,0,0,0,0,0.26037231137875,0.306923455491625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205727950662301,0,0,-0.0303305869696937,0,0.115518913771215,0,0,0,0,0,0.208850346877324,-0.054705672499913,0,0,0,0,0,0,0,0,0,-0.0287296484810545,0,0.112782749091899,0,0,0,0,0,0.0783394732353958
X1299.HK.EQUITY,0,0,-0.0130394619664172,0,-0.111353448735573,0,0,0,0,0.318013867255007,0,0,0,0,0.0206752029061675,0,0,0,0,0,-0.0724928924017989,0,0,0.105651207747331,0,0,0.328075974162077,0.0742398774262559,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0693756620499145,0,0,0,0,0.0709596777081897,0.0773722224541702,0.136076393530397,0,0,0,0,0,0,-0.14427747200649
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178808946598355,0,0,0,0,0,-0.159634512960457,0,0,0,0,0.205581465977969,0,0,0,0.0692661614175231,0,0,0.399895212534973,0.0599735929776891,-0.0492529225271277,0,0,0,-0.0386928567202052,0,0,0,0,0,0,0.215322274323092,0.181168256007313,0,0,0,0,0,0.125324385691718,0
X388.HK.EQUITY,0,0.0921867233263864,0,0.122421196440192,0,0,0,0.047276288696193,0,0,0,0,0.0104689309328408,0,0,0,0,0,0,0,0.0683246624895908,0.135230247370506,0,0.0617819583883799,0,0,0,0,0,0,0.150857575092272,0,0,0,0,0,0.144142373978312,0.0929030845424896,0,0,-0.244560296285818,0,0,0.0279800420931566,0,0,0.281642155488205,0,0,0,0
X601658.CH.Equity,0.140939383496059,0.0115913610178014,0,0,0,0,0,0.0406422527986219,0,0,0,0,0,0.203477437599918,0,0,0.37887848227208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558462191354873,0.123811197994951,0,0,-0.0629040496807288,0,0.0649779885672173,0.0056943658417693,0,0,0.03759735236448,0,0
