,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.56406783525389,0,0.0327952958822751,0,0.0774126228216249,0,0,-3.46944695195361e-18,0,0.0887195429276341,0,0,0,0,0,0.119090772258963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00484025963376822,0,0,0,0,0.0744126908769498,0,-0.0108141631506605,0.0752712410283842,-0.0483597992603783,-0.0164724326430143,-8.67361737988404e-19,0,-0.0233745212965262,0,0
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0
X601939.CH.EQUITY,0.104054510541718,0,0,0.343926530315776,0,0.132289087022518,0,0,0,0,0.102203878122768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572497950362379,0,0,0,0,0,0,0.114863433398287,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0555551781882217,0
X601288.CH.EQUITY,0.224148614898916,0,0.162730034162045,0,0,0.0626976022813979,0,0,0,0,0,0,0,0,0,0,0,0.140669194499018,0,0,0,0,0,0,0.00494544832028328,0.0910663754296835,0,0.106598570089334,0,0.021815195000626,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0980283321674119,0,0.0508853950751019,0,0,0,0,0,0,0,-0.0927988288347764
X5.HK.EQUITY,0,0,0,0,0,0.0101962098035057,0,0.572836747371968,0,0,0,0,0,0,-0.231234751408584,0.030787695884883,0.216873553467209,0,0.252101719581354,0,0,0,0,0,0,0,-0.157414150084706,0,0,0.127363515885632,0,0,0.194432841763029,0,0,0,0,0,0,0,0,0,0,0,-0.744251452387327,0,0,-0.0912440356932276,0,0
X601988.CH.EQUITY,0.206555518573823,0,0.128601107785793,0,0.0119502409116643,0,0,0,0.0428811851660958,3.46944695195361e-18,0,0,0,0.13053599836781,0,0,0,0.0809442423103269,0,0,0,0,0.371205008391731,0,0,0,0,0,0,0.0232729396824873,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0706202302097112,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0290127129044619,0,0,0,-0.0210985918044723,0,0,0,0,0.0742088696761767,0,0,0,0,0,0,0,0.682397001556879,0,0,0.0266472991285669,0.0941925292278585,0,0,0,0,0,0,1.73472347597681e-18,0,-1.0842021724855e-19,0,0,0,0.0705551316235573,0,0,0.0510903551468526,0,0,0,-0.00665418125070187
X1299.HK.EQUITY,0,0.203496371356362,0,0,0,0,0,0,0,0,0,0.0605452742301069,0,0,0,0.0381546505398404,0.168569931538811,0,0,0.017397012410232,0,0,0,0,0,0,0,0.159727037370948,0,0,0.0823270486840603,0,0,0,0.0340678828829106,0,0,0,0,0,0,0,0,0,0.046071316972538,0,0,0,0,0
X601628.CH.EQUITY,0,0.199003926491951,0,0,0.016318746709913,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370059868364437,0,-0.00738027331558855,0,0,0,0,0.0864103007299628,0,0,0,0,0,0,0,0,0,0,0.382693846175902,0,0,0,0.216854766160678,0,0.0827588863653716,0,0,0.0144598506906472,0,0,0,-0.00729704666461709
X601328.CH.EQUITY,0,0.00821169957730642,0.129757770671062,0,0,0,0.12671850981699,0,0,0,0,0.02179557622503,0,0.241923062149548,0,0,0,0,0,0,0,0.232945011592092,0,0,0,0,0,0,0.0543377443743691,0,0,0.0136587976505685,0,-0.00896907534060646,0,0,0.00716412826299329,0,0,0.217077567219764,0,0,0,0,0,0.0186710911890437,0,0,0,0
