,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0300982695415655,0.050559717915177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274639617468472,0,0,0,0,0,-0.132194992092437,0,0,0,0.8411170383016,-8.67361737988404e-19,0,0,0,0,0,-0.0321856893123943,0,0,0,0,0.178335528682415
X601318.CH.EQUITY,0,0,0,0,0,0,0.100000346060604,0,0.18484585653702,0.00995406600135639,0,0,0,0.0752667885578301,0,0.0778618114111058,0,0,0.0981396058917366,0,0,0.0936207866206024,0,0,0.0343593266605974,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.1879454894964,0.0034167524030038,0.179997759178539,0,0,0.0327980473863884,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0498095948662187,0,0,0,0,0,0,0.0697466002957526,0,0.334883746077703,0,0,0,0,0,0,0,0.0990881960446099,0,0,0,0,0,0,0,0,0,0,0,0.0913077147654394,0,0,0,-0.309543281221668,-0.270563506390798,0,0,0.20139121673595,0,0.49593203641927,0,0,0,0,0,0.17002098050693,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.63548215607987,0.306172694258943,0.102008063445911,0.497456735469489,0,0,0,0.218382212680683,0.222462705854915,0,0,0,0,0,0,0,0,-0.340816779086408,0,0,0,0,0,0,0.0777224395667529,-0.709931479551791,0,0,0,0,0,0,-0.370732849087952,0,0.331886794296786,0,0,0,0,0.332859198755932,0,0,0
X5.HK.EQUITY,-0.0768114872599076,-0.113070741128678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592058767300654,0,0,0.434298253014088,0,-0.023505982759392,0,0,0.145379275951089,-2.16840434497101e-19,0,0,0,0,0,0,-0.0439980606275337,0,-0.0340779935458469,0.0273731238148309,0,0,0,-0.161814316564514,0,0,0,0.0631598239811356,0,0,0,0,-0.131713674258597,0,0
X601988.CH.EQUITY,-0.117597894660556,0,0,0,0.356119569950956,0,0,0.0402567734585857,0,0,0,0,0,0,0.0728255091940797,0,0,0.0876768084298001,0,0,0.501312326443032,0,0,0,-0.0933240006159393,0,0,0,0,-0.375291096266907,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0637305260386676,0,0,0,0
X600036.CH.EQUITY,0,0.439100182721122,-0.0510151269077321,0,0,0.0198193244589389,0,0,0,0.0813558097586526,0,0.512870279391242,0,0,0,0,0.0144694037934007,0,0,0,0,-0.190558603338725,0,0,0.191107073285669,0,0,0.0344933845975133,0,0,0.0470674443975253,0,0,-0.0701297057951046,0,0,0,0,0,0,0,0,0.18090800190073,0,0,0,0,0,0,-0.442343602412999
X1299.HK.EQUITY,0,0,0,0,0.174077950812639,0,0,0,0.0225555181701005,0,0,-0.164027769240791,0,0,0.0535738443328426,0.032340438015777,0,0,0.0261443812208752,0,0,0.187481408754997,0,0,0,0.143265681877486,0,0,0.0207493460149523,0,0.189337568250111,0,0,0,0,0,0.0477488839407698,-0.0167843752281272,0,0,0,0,-0.165540451870491,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.133227262463291,0.00251791740574857,0.0529976002662188,0,0,0,0,0,0,0.120239739465713,0,0,0.402781596939717,0,0,0,0,0,0,0.0334844522770995,0,0,0,0,0,0,-0.0296610979110664,0,0,0,-0.06485827552956,0,0,0,0,0.178942748798915,0,0,0,0,0,0,0,0,0.11688173034487,0,0,0,-0.0014596788965822
X601328.CH.EQUITY,0,0.118154342271204,0.0669094202479956,0.042894471933967,0,0,0.546120210670728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209698144742539,0.249525340450301,0,0,0,0,0,0,0,0,0,0,0,-0.0137620539450515,-0.0371301664286689,0,-0.033270669334026,0,0,6.93889390390723e-18,-3.46944695195361e-18,-0.361987757396008,0,0,-0.0273472110196493,0
