,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.107278660371887,0,0,0,-0.0419668391906673,0.144293063153779,0,0,0,0,0,0,0,0.275526234343624,0,-0.248853656321946,-0.00682844827685868,0,0,0,0,-0.104902161056682,0,0,0,0,-0.222103385553704,0,0,0,0,0.924697346713928,0,0,0,0,0,0,0,0,0,-0.00635224059996303,0.230987410437838
X601318.CH.EQUITY,0,0,0,0,0,0,0.215355446938233,0.0499353855156312,0.204373424525553,0,0,0,0,0,0,0,0.108989972183221,0,0.1414437734353,0.069743878140504,0.0413698866575221,0,0,0,0,0,0,0.0220074965127994,0,0,0,0,0,0.0726304925462569,0,0,0,0,0.0589779046537514,0,0.130421887923264,0.0307810753042814,0,0,0.0837796255039548,0,0,0,0,0
X601939.CH.EQUITY,0.342408189972481,0,0,0,0,0,0,0,0,0.0278454468223543,0,0,0,-0.0759774612668778,0,0,0,0.0945382727643184,0,0,0,0,0.112845941786093,0,0,0,-0.36095752650043,0,0,0,0,0,-0.0840862462264454,0,-0.0294980445299499,0,0,0,0.088748678219955,0,0.691953858248931,0,0,-8.67361737988404e-19,-0.0988612036295007,0,0,0,0,-0.0987326110660038
X601288.CH.EQUITY,0,0,0,0,-0.1852931809246,0,0,0,0.149621441804384,0.00890772117914813,0.443258803422862,0,0,0.148854962707459,-0.120201219585114,0,0,0,0,0,-0.12516896491431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0733118992604007
X5.HK.EQUITY,0,0,0,0,0,0.146975415743978,0,0.213116677199596,0,0,0.113426112022341,0,-0.0036776115194783,0.214577183332134,0,0,0,0.0738762773338395,0,0,0,0,0,0,0,0,0.0216356528161183,-0.168530807999123,0,0,0,0,0,0,0,0,0,0.129651292604468,0.0971020914972833,0,0,0,0,0,0,-0.0966401326741825,0,0,0.154726886687658,0
X601988.CH.EQUITY,0,0,0,-0.0446148171286245,0.371121173230501,0,0,0,0,0,0,0,0,0.0448551130548107,0.0268580913139372,0,0,0.0517490721457648,0,0,-0.159321792375069,0,0,0,0.281728348193583,0,0,0,0,0,0,-0.359848889677361,0,0,0,0,0,0,0,0,0,0,0,0,0.0264420787382191,0.109251470940946,0,0,0,0.00545972193447617
X600036.CH.EQUITY,0,0.124758867563996,0,0,0,0,0,0,0,0.479867747497688,0,0,0,0,0,0,0,0,0,0,0.220869763507235,0,0,0,0,0,0,0,0.120864514852061,0,0,0,0,-0.224117476003895,0,0,-0.139525153668378,0,0,0,0,0,0,0.218068692373469,0,-0.0136163118440972,0,0,0,-0.00566469010575358
X1299.HK.EQUITY,0,0,0,0,0.225664458758047,0,0,0,0,0,0,0,0,0,0,0,0,0.120018428826213,0,0,0,0,0,0,0,0,0.182770630954091,0.0230720431379777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121839393465035,-0.123255773918037,0,0,0.136533707491311,0,0.116716218017547
X601628.CH.EQUITY,0,0.0844949250926263,0.0279068232501288,0.0798576235797407,0,0,0,0,0,0,0,-0.0690904905349463,0,0,-0.00306978972471428,0,0.325284205316786,0,0,0.0248819154757478,0,0,0,0,0.10865446998837,0,0,0,0,0,0,0,0,0,0.196733891082882,0.0514057211249096,0,0,0,0,0,0.204760787153972,0,0,0.0869650181602892,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.694431679937927,0,0,0,0,0,0,0,0,0.0883403523584278,0,0.0234063470249273,0,0,0.180509905230197,0,0,0,0,0,0.119425515980153,0,0,0,0,0,0,0,0,0,0,-0.0808886333306248,0,3.46944695195361e-18,0,0.0290309483795032,0,0,0,-0.237980914521717,0,0,0,0
X601166.CH.EQUITY,0.175260624673279,0,0,0.258475459201972,0,0,0,0,0,0,0,0.29808760159082,0,0,0,0,0,0,0.0958159639824736,0,0,0,0,0,0,0,0.011816297428456,0,0,0,0,0,0.0473945456256352,0,0,0,0,0,0,-0.00897581406336502,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.129321586996938,0.746063579175897,0,0,0,0,0,0,0,0,0.161175967147502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167310543365109,0,-0.156418045141503,0,0,0,0,0,0,0,-0.0103153412309397,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.0178169765131752,0,0,0,0,-0.0364317694051309,0,0,0,-0.0275308579661195,0,0,0,0,-0.138336617267723,0,0.0131648709967397,0,0.0795854828993749,0,0,0,-0.0062496879929437,0,0,0,0,8.67361737988404e-19,-0.0329059508793924,0,0,0.1300927928752,0,0,0.0138777682961371,0,0,0,0.511725766994937,0,0,0,0,0,0,-0.166899978372369
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244678921029122,0.0951036541671269,0,0,0,0,0,0,0,0,0.191409545185348,0,0,0,0,0,0,0.232922415369778,0.315327528701921,0,0,0,0,0,0,0,0,0,0.182155232614043,0.13264109133628,0,0,0,0,0
X11.HK.EQUITY,0,0,0.100943572902136,0,0,0.0763367040017349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251009661320017,0,0,0,0,0,0,0.489859084445889,0.047526911071064,0,0,0,0,0,0.0102971064303493,-0.0827291934977124,0,0,0.241826096930933,0,0,0,0,0,0,0
