,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.10935988984913,0.0907140746378048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156304279153436,0,0,-0.149113819765452,0,0,0,0.025313498161897,0,0.557464162871423,0,0,0.141306460737728,0,0,0,0,-0.0302389789530278,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.116692228823483,0,0.137195954528888,0.0206113134367744,0,0,0,0,0,0.0228238864415881,0,0,0,0,0.0404312572692485,0,0.110126670335088,0,0,0,0,0.0101944265174435,0,0.0682704227160781,0.0424866068444597,0,0,0,0,0.31224750332466,0,0,0,0,0,0,0.0866045096800256,0,0.0107108208294542,0,0,-0.0453550922102187,0,0
X601939.CH.EQUITY,0.282799345873236,0,0,0,0.0642745730758356,0,0,0,0,0,0,0,0,0,0,0,0,0.165929530308838,0,0,0.0154445939033269,0,0,0,0,0,0,0,0,0.0712310377232709,0,0,-0.201752289006549,0,0,0,0,-0.00627485448761449,0,0.474442613829441,0,0,0,0,0,0,0,0,0,-0.0499452079095747
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.382656286680996,0.184576273432247,0.00249952450418928,0.616706092685787,0,0,0,0.349534155423412,0.122242983550478,-0.306524384025492,0,0,0,0,0,0,0,-0.213302057315979,0,0,0,0,0,0,0,0,-0.597875994343163,0,0,0,0,0,-0.103970851738105,0,0.255922364408691,0,0,0,0,0,0.318003158204536,0,0
X5.HK.EQUITY,-0.0476095589637344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490964070205627,0,0,0.448000618576905,0,0,0,0,0.0530314759411195,0.0921776582371003,0,0,-0.112836320431752,0,-0.0272370511949133,-0.164245096650681,0,0,0,0,0,0,0,0,0,-0.0723571510265768,0,0.174921552816021,0,0,0,0,0,-0.125168075656978,0
X601988.CH.EQUITY,-0.24382983955451,0,0,-0.0254250116628606,0.451879834657966,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,1.73472347597681e-18,0,1.73472347597681e-18,0,0,0,0,0.650435577805402,0,-0.0939278887446199,0,0.0361356544625933,0,0,-0.50028128048783,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.118637739042291,0,0,0,0,0.105269528441381,0,0,0,0
X600036.CH.EQUITY,0,0,-0.107583829899067,0,0,0,0,0,-0.0103446107555558,0.121321232768212,0,0.623925018725208,0,0,0,0,0,0.00827647987597481,0,0,-0.0274074391289935,0,0,0,0,0,0,0,0.014930181248612,0,0.135211453833862,0,-0.111968150385615,0,0,0,0,0,0,-0.0160733183777676,0,0,0.151639083923772,0,0,0,0,0,0,-0.295549608016887
X1299.HK.EQUITY,0,0.062112634994916,0.000260249920339759,0,0.179606860502851,0.00144512091187583,0,0,0,0,0,-0.025635294565997,0,0,0.104142230914762,0.00688807831839624,0,0,0,0,0,0,0,0,0,0.219773091849175,0,0,0,0,0,0.155688121750434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0530987864216602,0.0175865130530084,0.0688082391808576,0,0,0,0,0,0,0.0204700727993259,0,0,0.332719884319062,0,0,0,0,0,0,0.0714449174524973,0,0.0583854839919219,0,0,0,0,0,0,0,-0.0542622166613185,0,0,0,0,0.166957072512069,0.130963133507252,0,0,0,0,0,0,0,0,0.0753637917544409,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.591805410285921,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.244172234643594,0.0941630735215971,0,0,0,0,0,0,0,0,0,0,0,-0.0556698928968147,-0.0445687800973466,0,0,0,0,0,0.0449273828970227,0,0,0,0,0
