,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X600000.CH.EQUITY,0,0,0,0,0.0251764789153538,0,0,-6.93889390390723e-18,0,0.180830145933119,0.510009737981104,0,0,0,0,0,0,0.121111343565328,0,0,0.121842756748643,0,0,0,0,0,0.246738638529652,0,0,0,0,0,-0.0620545972345833,0,0,0,0,-0.274915999140828,0,0,0,0,-0.0173143544844466,0,-1.38777878078145e-17,0,-0.0749534924905453,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,-8.67361737988404e-19,0,0.173861033836254,0.0975543878672148,0,0,0,0,0,0,-0.00241799118423168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158988295391949,0.478779447953946,0,0,0,0.0107314143852602,0,-0.0695740788720884,0.127638375878107,0,0.0759594868137696,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0691706392940291,0.130892139758488,0,0,0,0,0,0,0,0,0,0,0,0,0.351650747792058,0,0,0,0,0,0,0,0,0,0,0,0.565824079255642,0,0,0,0,0,0,0,-0.188290569259529,0.0946152132012131,0.0247737493463166,0,0,0,0.341900475855507,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0612524665276314,0,0,0,0,0,0,0.184928773320838,0,0,0.589353150190405,0,0,0,0,0,0,0,0,0.0577466061427767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.107812169286398,0,0,0,0,0,0.0679142413141884,0.236860947180551,0,0,0,0,0.0830289144466517,0,0,0,0,0.0111407738194058,-0.028243142853199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315313791422724,0,0,0,0,0,0,0,0.0204354344686395,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.611503510194005,0,0,0.328517783227863,-0.414195053518701,0,0,0,0,0,-0.141364919400286,0,0,0,0,0.583654506715989,0,0,0,0.252425476885381,0,0,0,0,0.0710710493268693,0,-0.0978569293623802,0,0,-0.245114862086299,0,-0.306432877350207,0,0,0,-0.164156888284957,0,0,0,0,0,0,0,0,0,0,0,-0.13466770307453,0
X267.HK.EQUITY,0,0,0,0,0,-0.266646534766805,0,0,0,0,0,0,0.0838288551413054,0,0,-0.274601228145451,0.0809313137251195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165186747633733,0,0,0,0,0,0,0,0,0.463899105463117,-0.0326633519833863,0,0,0,0,0.499578962914315,-0.0170792407377914,0,-0.223113432131175,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.134148337885756,0,0,0,0.085815734434804,0,0,0,0,0,0,0,0.196701913983694,0,0,0.0932231739553797,0,0,0,0.276439676922571,0,0,0,0,0,0,0.255644134056915,0,0,0,0,0,-0.127129525835863,0.0937442984285872,0,-0.122970191772814,-0.374814826549741,0,0,0.0471247261300089,0,0,-0.119507591068881
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056340051031697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216359596254288,0,0,0.26764719286014,0.0798352523162822,0,0.25606903395087,0,0,0,0,0,0,0.122546880139405,0,0,0,0,0
X601998.CH.EQUITY,0.298207271156364,0,0.00937550463983372,0.0807319181796316,0,0,0,0,0,0,0.0740868958970569,0.0158066025747319,0,0,0,0,0,0.122987283952297,0,0.109150163021115,0,0,0,0,0.113405705771751,0,0,0,0,0,0,0,0,0.139510049109758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0194275959338408,0,0,0,0,0,0.00671948880563438,0,0.0466479611140045,0,0.332837463905764,0,0,0,0,0,0,0,0,0,0,0.0563357172947321,0,0,0,-2.16840434497101e-19,0,-0.0254361815288038,0,0,0,0.096703137505333,0,0,0,0,0,0,0,0,0.159356755631099,0,0,0,0,0,-0.0913078210165956
X000001.CH.EQUITY,0,0,0,0,0,0.0758230003368277,0,0,0.102656189266972,0,0,0,0,0,0,0,0,0.110443883722629,0,0,0,0.139139920550714,0,0,0,0,0,0,0.0487058530281298,0,0,0,0.128219421233714,0,0,0,0,0,0,0,0.131973326677381,0,0,0.0313850338599977,0,0,0,0,0,0
X2007.HK.EQUITY,0,0.291500038415081,0,-0.0632137059805615,0.114432528510899,0,0,0,0,0,0,0,0,0.00768557293165535,0.198879479243758,0.0854196958856996,0,0,0,0,0,0,0,0.0171098831573046,0,0,0.290380379639688,0.296609706195172,0,0,0,0,0,0,0,0,-0.130826254282829,0,0,0,0,0,-0.110052821902261,0,0,-0.0674917135936727,0,0,0,0
X1109.HK.EQUITY,0,0,-0.254860427678903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179265235986597,0.450626368657996,0,0,0,0,0,0,0,0.443484423960975,0,0.0598494629274592,0,0.0715304517262359,0,0,0,0.17589719500807,0,0,0,0,0,0,0,0.108349816303842,0,0.239362670940671,0,0,0.0343733553870301
X1113.HK.EQUITY,-0.179043419873459,0,0,0,0,0,0.195199003746302,0,0,0,-0.104795777670574,0,0.040719162996263,0,0,0,0,0,0.0547255901637639,0,0.097713814399512,0,0,0,0,0.130224715374281,0,0,0,0.028929746599331,0,0,0.0726497049496361,0,0,0,0,0,0,0,0,0,-0.0541790661841212,0,0,0.318352267880859,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0.449890552820854,0,0,0,0,0.174308744235838,0,0,-0.0484739324853173,0,0,-0.0854018622768266,0,0,0,0,0,0,0,0.0453475451994292,0,0,0,0,0,0.21557805982801,0,0,0,0,0,0.41211057931649,0,0,0,0,0,0,0,0,-0.180180422799521,-0.1499577999734,-0.0910748853292117
X12.HK.EQUITY,0,0,0,0,0,0,0.466612979572105,0.0210486286913528,0,0,0,0,0,0,0,0,0,0.385765425808797,0,-0.0844290200541944,-0.177118661428147,0,-0.233217898571607,0,0,0,0,0.215432918519565,0,0,0,0,0.259083982948755,0,0,0,0,0,0,0,0,0,0,0,0,0.437302068456289,0,0,-0.319412156428949,0.391255481319789
X823.HK.EQUITY,0,0,-0.0452992248834552,0.0367708187260546,0,0,0,0.0526508579029338,0,0,0,0,0.165294020849835,-0.166581376094116,0,0,0.0415691943532662,0,0,0,0,0,0,0,0,0,0.0430163937636949,0.158252963301524,0,0,0,0,0,0,0,0,0.112639797379653,0,0,0,-0.0579545504398647,0,0,0,0,0.141813044163331,0,0,0,0
