,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.235769084176913,0,0,0.087301470686151,0,0.24126870279997,0,0,0,0,-1.38777878078145e-17,0.128011749559011,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0383286051528907,0,0,0,0,0.0942257383410642,0,0,0,0,0,0.0226179619212408,0,0,0,0,0,0,0.107208491029875,0,0,0,0,0
X601318.CH.EQUITY,0.13176921947467,0,0,0,0,0,0,0,0.184579513764486,0,0,0,0,0,0,0,0.241286563728763,0.0451868166611919,0,0,0,0,0,0,0.0316428580697162,0,0,0,0,0,-0.0596682287944291,0.148664724594469,0,0,0,0.122615450889343,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0557397824783551,0,0.048694567287873,0,0.0893002267379703,0,0
X601939.CH.EQUITY,0.0607815966054783,0,0,0.26867232777251,0,0.0503155764401103,0,0,0,0,0,0,0,0.422959647526606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437515537040321,0,0.0660266671277968,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299812905688881,0,0.102307305925757,0,0,0.352300720969645,0,0,0,0,0,0,0,0,0.0250403250869058,0,0,0,0,0,0,0.00570315933486911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461976908290796,0,0,0,0.0596997032439799,0,0,0,0.106413001029633,0.00771748598325131,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749960959908272,0,0,0,0.0682990907845608,0,0,0,0,0,0.0971296997517098,0.144931892772028,0,0,0.554015512365152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352154527354737,0
X601988.CH.EQUITY,0.223765474631257,0,0.010336459510129,0,0,0,0,0,0,0,0,0.195696892047992,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16822048406191,0,0,0,0,0,0.0548680142958055,0,0,0,0,0,0,0,0,0.286677502884092,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605912,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481285,0.0153258113010975,0,0.106723170762226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378701795625986,0,0,0.170818059759645,0.0133278463260158,0.0714911754957563,0,0,0,0,0,0,0,0,0.272654921411736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.166203021622189,0,0,0,0,0,0.321723005316603,0,0,-0.376963282248072,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.165387702037543,0,0,0.166810227527066,0,0,0,0,0,0,0,0,0,0.295138947491297,-0.681338745519684,0,0,-0.211685405346808,1.07070661060074,0.271545274967243,0,-0.208584915871556,-0.0519722837996421,-0.405906133721249
