,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.268442107642845,0.164757132758173,0,0,0,0,0,0,0,0,0,0,0.194227277328234,0,0,0,0,0,0,0,0,0,-0.301690348035993,0,0,0.891147707526834,0,0,-0.177322108454244,-0.0394078326410747,0,0.0550922158082659,-0.030677925127187,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.123855335048687,0,0.192144438675433,0.0157979259543849,0,0,0,0.0345599233329764,0.0652762695832585,0,0,0,0,0.133700270399027,0,0,0.0892760701571359,0.0200127385809449,0,0,0,0,0,0,0,0,0,0,0,0,0.149648855378772,0,0.209663769920478,0,0,0,0.0397368083143944,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.302434898562497,0,0,0,0.156446925164087,0,0,0,0,0,0,0,0,0,0,0,0,0.0520507918437642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144439339179963,-0.113673909040773,0,0.114860289873174,0,0.432034778844753,0,0,0.0770458319825734,0,0,0,0,0,0,0,-0.0188819325457365
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.500581397856546,0.177378992127559,0,0.465886005425501,0,0,0,0.498093044558693,-0.268069429517166,0.108298812781448,0,0,0,0,0,0,-0.186852805976047,0,0,0,0,0,0,0,-0.604211629573032,0,0,0,0,0,0,0,0,0,0,0,0,0.229972915196571,0,0.144661553463405,0,0,0
X5.HK.EQUITY,-0.0310715991058885,-0.0895870590762525,0,0,0,0.0654824376468278,0,0.0293743204992214,0,0,0,0,0,0,0.0845641836232522,0.112355408304282,0,0,0,0.832075534596288,0,0,0,-0.218152895015416,0,0,0.0589390491743216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119551583267856,0,0,0,0,0.123103702167961,0,0.0150542702554479
X601988.CH.EQUITY,-0.293308576647943,0,0,0,0.416313715811756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649989218855683,0,0,0,-0.0990702599502342,-0.0461876403930109,0,0,0,0,0,-0.446057692356105,0,0,0,0,0,0,0,0,0,0.147217382723447,0,0,0,0,0,0.0978552264573092,0,0,0,0
X600036.CH.EQUITY,0,0.146990813065994,-0.0848502394621829,0,0,0.0193453443569358,0,0,0,0.321605145586696,0,0.405743236862741,0,0,0,0.0308073507194825,0,0,0,0,0,0,-0.0899315019463381,0.102583271560542,0,0.0446257095611446,0,0,0,0,0,0.0525417622278899,0.0307197501612621,-0.167819192442397,0,0,0,0,0,0,0,0,0.189946459724265,0,0,0,0,0,0,-0.33815432028149
X1299.HK.EQUITY,0,0,0,0,0.233768876377532,0,0,0,0,0,0,-0.0898396470227032,0,0,0,0,0.0250758726181228,0,0,0,0,0,0,0,0,0,0.142170128264505,0,0.124593491699387,0,0,0,0.0979624165314906,0,0,0,0,0,0,0.0211899357134833,0,0,-0.0861188428408866,0,0,0,0,0,0,0.0105628559821892
X601628.CH.EQUITY,0,0.109346767003825,0,0.0191366485980276,0,0,0,0,0,0,0.148395260603891,0,0,0.358948606447482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459826342568105,0,0,0,0,0.0619331772017595,0,0.150712957635921,0,0,0,0,0,0,0,0.0676597556937983,0,0,0,0
X601328.CH.EQUITY,0,0,0.138291199021265,0.0674919415068207,0,0,0.620980421475599,0,0,0,-0.0585316070210186,-2.77555756156289e-17,0,0,0,0,0,0.0226303169577671,0,0,0,0,0,0.276516220479936,0,0,0.274745627402932,0,0,-0.031235758679395,0,0,0,0,-0.00355532415866009,0,0,0,0,0,0,0,0,0,0,-0.622273903669511,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.266612887631954,0,0,0,0,0,0,0,0.226279239314181,-0.0100376927886731,0,0.0180729188444421,0,0,0,0,0,0,0,0.243607784707983,0,0,0,0,0,0.0719331296891957,0,0.0822658420548921,0,0,0,0,0,0.0192573705427068,0,0,0,-0.0363561712308583,0,0,0,0,0,0,0,0,0.0610283805616121
X600000.CH.EQUITY,0,0,0,0,0,0,0.228544365807164,0,0,0.366095842506304,0.163055735101159,0,0,0,0,0,0,-0.162848626818405,0,0,0,0,0.116437314811874,0,0,0,0.185790066930986,0,0.0557099923442543,0,0,0,-0.0995843033821903,0,0,0,0.0437467735392219,-0.317440318157563,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293441840773068,0,0,0,0,0,-0.0811148990538354,0,0.132647744550941,0,0,0,0,0,0,0,0,0,0,-0.110754168187155,0,0,0.354812281767962,0,0,0,0,0,0,0,0,0.0712321336969334,0,0,-0.0264164964218529,0,-0.0651019569053686
