,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.430416927664477,1.0842021724855e-19,0,0.3059665439879,0,0,0,0.225858282096014,0,0,0,-0.0143455889853674,0,0,-0.0830222901067265,0.126075151542829,0,0,0,0,-0.132505066584651,0,0,0,0,0,0,-0.0381805963898315,0,0,0,0,0,0.257266820182093,0,0,0,0,0,0,0,0,0,-0.0786461776558425,0,0,-0.280137754174835,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0505841902026311,0,0.0427053189748203,0,0.104562409296727,0,0,0.101440147312544,0,0,0.242891526196943,0,-0.0228855027042145,-0.047526471443073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05449238919751,0,8.67361737988404e-19,0,0,0,0.332853087118793,0,0.0753903690324843,0,0.0257896054695735,0,0,0,0,0,-0.0374573120034505
X601939.CH.EQUITY,0.140079492936278,0,0,0,0,0,0,0,0,0.0767616236305333,0,0,0,0,0,0,0,0,0,0,0.132703359188039,0,0,0,0,0.417369793807659,0,0,0,0,0,0,0,0.0609203843825596,0.0873648541070403,0,0,0,0.0153047954224288,0,0,0,0,0.00931910463289137,0,3.46944695195361e-18,0,0,0,0
X601288.CH.EQUITY,0,0.0376539755985749,0,0,0,0.180950096371861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117035808581917,0,0,0,0,0.198837551151351,-0.0299461724684985,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0.12389125632523,0,0.0743924021450721,0,0,0,0.218961517817304,0,0,0,0.0193238648830044,0,0.102876091515151
X5.HK.EQUITY,0,-0.122327789000968,0,0,0,0,0,0,0,0,0.0595871720595587,0,0,0,0,0.426539823199529,0,0.17649400920195,0.0747962265452758,0,0.0206875463302939,0,0.410320808721713,0,0,0,0,-0.0841311657025193,-0.37455292920715,0,0.0905757178672063,0,0,0,-0.0346047359519434,0,0,0,0,0,0,0.152057846089729,0,0.00525066018003823,0,-0.0382430892721996,0,-0.124531374048261,0,0.0544617820522047
X601988.CH.EQUITY,0.246469305167722,0,0,0.378825395850641,0,0,0,0,0,0,0.144230175140731,-0.091824177751768,0.045799438311336,-0.0533714493365637,0,0,0,0,0,0,0,0.17902500172504,0,0,0.020448757172358,0,0.0936541013574478,0,0,0,0,-0.0539961401739632,0,0.000465090968819707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895986048424194,0,0.0269049490350743
X600036.CH.EQUITY,0,0.361727844651526,0,0,0.0957490587401592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456795609057099,0,0,0,0,0,0,-0.123115996763257,0.134857178235321,-0.0102301719494503,0,0.0830984830644513,0.0388876876164274,0,0.236384374813691,-0.0511026964778589,0.0634831747668338,0,0,0,0.172246272619369,0,0,0,0,0,0,0,0,-0.0435509104516809,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19399085874241,0.0663273006733574,0,0.253844284808641,0,0.178793896078743,0.242533900101125,0,0.0118335827808751,0,0,0,0,0.118037622277943,0,0,0,0,0,0,0,0,0,0,-0.208655094185713,0,0,0,0,0,0,0,0,0,0,-0.11986434501908
X601628.CH.EQUITY,0,0.19404044754429,0,0,0,0,0,0,0,0,0.0305650822654007,0,0,0,0,0,0.207021985893588,0,0,0,0.0449348549914854,0,0,0.141327577237761,0,0,0,0,-0.0356839631398376,0,0,0,0,0,0,0,0,0.165257640560858,0,0.145755951229412,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0636124143427149,0,0.0634520106677204,0.0588813831456938,0.0641463580497713,0.28648684834627,0,0,0,0,0,0,0,0,0,0.012669417610464,0,0,0.0255490118241557,0,0,0.200929072382269,0,0,0.0423612338039861,0,0,0.0621275315022129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022823656091298,0,0.0288394342886122,0.0584534054978197,0,0.110118276208153,0,0,0
