,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0736632342273565,0,0,0,0,0,0,0.361176547292982,0,0,0,0,-0.00287430591825737,0,0,0,0,0.0501416931573841,0,0,0,0,0.0675653521379589,0,0.171262657700759,0,0,0,0.208285336940984,0,0,0,0,0,-0.136607633829693,0,0,0,0,-0.0539465407154856,0,0,0,0,0,0,0,0.0760712900265549,-0.0128937303585828,0
X601939.CH.EQUITY,0.143391138688409,0,0,0.297086503159352,0,0,0,0,0,0,0,0,0,0.324413781115702,-0.0857892620589215,0,0,0,0,0,0,0,0,0,-0.0429323809280385,0.222867442569333,0,0,0,2.77555756156289e-17,-0.0402344847055599,0,0,0,0,0,-0.0447316640058247,0,0,0,-0.0240509075842276,0,0,0,-0.0780242122928588,0,0,0,0.130434006426385,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.492616233241336,0,0,0.119413821188645,0,0,0,0,0,0.0996062729297857,0,0.116524558001935,0.0228250284626833,0,0,0,0,0,0.142667589345774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155653238938136,0,0,0,-0.0416363161505756,0,-0.0289544280928109,0,0,0,0,0.0338955884160883,0,-0.0952754357808152,0,0,0
X601988.CH.EQUITY,0,0.121958791784585,0,0.382198433086739,0,0,0,0,0,0.279421657618861,0,0,0,0,0,0.242806514890883,0,0.0847097841085517,0,0,0,0,0,0,0.093478461334263,0,0.0549955324927892,0,0,0,0,0,0,0,0,0,-0.538353627129699,0,0,0,0.0469511080100572,0,0,0,0,0,0,0,0,0,-0.164482819452434
X600036.CH.EQUITY,0,0.179050274790534,0.0164055493091606,0,0,0,0,0,0.0987664591902565,0,0,-0.0295411564053327,0.124287508224428,0,0,0,0,0.16979247857291,0,0,-0.0217927351178602,0,0,0.131476202608346,0.0296021788448197,0,0,0,0,0,0,0,0.367952061253824,0,0,0,0,0,0,0,0,0,0.0310553313929627,0,0,0,0.0615709936663857,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.15454539443729,0,0,0,0,0,-0.140392946716144,0,0,0,0,0,0,0,0,0,0.293436590170042,0,0.106233524285514,0,0.0239830958261734,0,0,0,0,0.00416203146633106,0,0,0,0,0,0,0,0,0,0,0.120492612620443,0,0,0,0,0.060465095932049,0.25145986414737,0,0,0
X601658.CH.Equity,0,0,0,0,0.118492035680445,0,0,0,0,0,0,-0.106915335796832,0,0.114737421120667,0,0,0,0.0967920714634379,0.227107322285699,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.157176639501553,0.323854140298997,0,-0.147223512363227,-0.135904791449005,0,0,0,0,0.104315630016099,0,0,0,0,0
