,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.030672752762937,0,0,0.200299243049056,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.09001413307033,0,0,0.312540942391872,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0201246191666233,0,0,0,0,0.202401656987962,0,0.116459256358206,0,0,0,0,-0.104812174422505,0,0,-0.0633842984648087,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145016436075532,0,0,0,0.043399104404227,0,0,0.198318201063966,0.0579028589155992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461946075997708,0,0,0,0,0,0,0.00501799202126932,0,0,0,0.508497263716059,-0.0376311297921096,0.015526075810191,0,0,0,0.0648281266517113,0,0,0,-0.0580339961994753
X601939.CH.EQUITY,0.207457319034184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.431084754958677,0,0,0.0118280163024164,0,0,0,0,0.112213540764842,0,-0.0456294291874767,0,0,0.0485603085165947,0
X601288.CH.EQUITY,-2.16840434497101e-19,0.0545323136504709,0,0,0,0.266399798365727,0.00618940112461331,0,-4.33680868994202e-19,0,0,0,0.0271032844260042,0,0,0,0,0,0,0,0,0.0370049794038295,0,0,0,0,0.140708695283399,0,0,0,0,0,-0.0265801803638891,0,0,0,0,0.0115655729532755,0,0.307792372930807,0,0,0,0.0184326764544911,0,0,0,0.0366285084024469,0,0.101153776018514
X5.HK.EQUITY,0,-0.0701203768494943,0,0.131081728157603,0,0,0,0,0,0.0732749067045235,0,0,0,0,0,0.35074949396526,0,0.307644109048047,0,0.121072981774563,0,0,6.93889390390723e-18,0.372523139890914,0,-0.0374695546943337,0,-0.0285253099919643,-0.418762052454147,0,0,-0.0652670926445877,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.163266057505845,0,0,0,-0.00751445279629325,0,-0.272323362032917,0,0.125544483184943
X601988.CH.EQUITY,0.192963855410184,0,0,0.391154454009092,0,0,0,0,0,0.0937146031023937,0,-0.0408501475022518,0.0332162026087014,-0.0211364902399917,0,0,0,0,0,0,0,0.330257887975844,-0.12495139111664,0,0.0146333823500425,0,-0.0312713434509213,0.154574438729422,0,0,0,-0.0271746024927631,0,0,0,0.0442263878504034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114055052380642
X600036.CH.EQUITY,0,0.631638601730569,0,0,0,0,0,0,-0.12011995524688,0,0,0,-0.00996124359506457,0,0,0,0,0,0.100776349605095,0,0,0,0,0,0,0.0350088344882927,0,0,0.0506779619786261,0,0,0,0,0,0,0,0,0,0,0,0,0.176148455729191,0,0,0,0,0,0,0,-0.1680542823366
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.04100735827165,0,0,0,-0.0429656766814278,0,0,0.0572808160614674,0.252819676722938,0.008590381100642,0,0,0,0,0.275799501163813,0,0.280896182570031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154334384513298
X601628.CH.EQUITY,0,0.073179282515932,0,0.0648124515760345,0,0,0,0,0,0.158579518753111,0,0,0.0339290746143463,0,0.297284536829836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169861618221215,0,0.0819514311116472,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.32171553763473,0.191434000791599,0,0.103761020260227,0,0,0,0,0,0.279104656972156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00521525110746885,0.245939172774677,0,0.231964081778234,0,0,0,0,0,-0.0454314087118196,0,-0.0878275457571986,0,0,0,-0.127076214879876,0,0.119499524395883
