,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0291614879244503,0,0,0.209703363027995,0,0,0,0,0,0,0,0,-0.0290600609188778,0,0,0,0,0,0,0,0,0,0,0.100935727834451,0,0,0,0,0,0,0,-0.14206626207907,0,0.0577427929643907,0,0,0.211316213449862,0,0.0404750435620817,0,0,0.103958102051544,0,-0.115446868977004,0,0,0,0.0119400048602089
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108190298946582,0,0.100629587532965,0,0,0.34320936002264,0,-0.032054588437709,0,0,0,0,0,0,0,0,0,0,0,-0.00352252998047635,0,0,0,0,0,0,0,-0.0694138704872481,0.334228291731683,0,0.164867881510202,0.00527317318114044,0,0,0,0,-0.0769847603390254,0,0
X601939.CH.EQUITY,0.28433033515534,0,0,0,0.0369111553694302,0,0,0,0,0,0.0152941197967521,0,0,0.111185023333725,0,0,0,0,0,0.156935885130315,0.0016629958848899,0,0,0,0,0.189109691096383,0,0,0,0,0,0,0,0.170135765039157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388879370780204
X601288.CH.EQUITY,0.124728566354201,0,0.0573919214163821,0,0.110736150016905,0.179641735838541,0,0,0.127496532449869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076059129438806,0,0,0,0.175359391914703,0,0,0,0,0,0,0,0.0762971175810921,0.192347773570431,0,0.113309389992571
X5.HK.EQUITY,0,-0.190244336320481,0,0.451882971068745,0,0,0,-0.0892983374412921,-0.053961316241856,0,0.127739115774072,0,0,0,0,0.118245360905362,0,0.1587182161498,0,0.0247105034836959,0,0.459687577019382,0,-0.168905106663735,0,0,0,0,0,0,0,0,-0.0285800997613378,0,-0.175748838031276,0,0,0,0.0384861979322036,0,0,0,0.179846741278737,0,0,0,0,-0.234653288631895,0,0
X601988.CH.EQUITY,0.00711325948636787,0,0,0.265172403842156,0,0,0,0,0,0.149385789823583,0.175678794439002,0,0,0,0,0,0,0,0,0,0,0,0.284411093623929,0,0,0,0,0,0,-0.0834215480221075,0,-0.0481968646713154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106979024354912
X600036.CH.EQUITY,-0.100094617197108,0.334873451210585,0,0,0,0,0,0,0,0,0,0,0,0.262275252380614,0,0,0,0,0.0762872653800671,0,0.0369294381441252,0.237917357604003,0,0,0,0,-0.0427012847922695,0,0,-0.00932851268230953,0,0,0.230543171619023,0,0,0,0.0253965289464008,0,0,0.0312208674372606,0.0631013886766003,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.165701177163235,0.0440112506440603,0,0.253701473336261,0.155227876540513,0,0.220181671002365,0.0041859640151533,0,0,0,0,0,0.146214639409889,0,0,0,0,0,0,0,0,0,0,-0.196351514162344,0,0,0,0,0,0,0,0,0,0,-0.0978382423922532
X601628.CH.EQUITY,0,0,0,0.0154690618095791,0,0,0,0,0,0.0042853425188611,0,0,0,0,0,0,0.299042330297415,0,0,0,0.0228442409030305,0.0923066595678732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381516709703482,0,0,0,0,0,0,0,0,0,0.0369666228318179
X601166.CH.EQUITY,0,0,0,0,0,0.165154750636138,0.0762620246381044,0,0,0,0,0,0,0,0,0,0.211536478608473,0,0,0,0,0,0,0,0,0.0124894823632554,0,0,0,-4.33680868994202e-19,0,0,0.38791616886008,0.204763165997972,0,0,0,0,0,0.178203492462126,0,-0.101677546738552,0,0,0,0,0,0,-0.0862836462462203,0.056269699827852
