,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0681086456506365,0.223656061999178,0,0,0,0,0,0,0.463957355619953,-0.243375048155918,0,0,0,0,0,0,-0.113280699229189,0,-0.0214680074179921,0,0,0,0,0,0,0,0.734733577243202,0,0,0,-0.0298418177001206,-0.0241304353648374,0.019633487808812,0,0,0,0,-1.73472347597681e-18,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.046695907291234,0,0.20410169628736,0.0109122864221442,0,0,0,0,0.08394811769082,0,0,0,0.0865975742905994,0,0,0.0445509461185351,0,0,0,0,0,0,0,0,0,0,0,0,0.186698452262772,0,0,0.21159668387564,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.170126131971926,0,0,0,0,0,0,0,0,0.249139430306049,0,0,0,0,0,0,0,0,0,0,0.079199063751385,0,0,0,0,-0.11539290011413,0,0,0.0324719952576981,0,0,-0.0441326624636571,-0.135103401673501,-0.261194001286109,0,-0.068752036521327,0,0.174796795261434,0,0.584147874169978,0,0,0,0,-0.0743221706258567,0.168692410036595,0,0,0,-0.0856071956103447
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.0315153067501583,0,0.12030739717148,0.401270389165553,0,0,0,0.140207300113387,0,-0.232707479139656,0,0,-0.276666463776563,0,0,0,0,0,0,0,0,0,0,0,0,-0.16945548324125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346531926236151,0,0,-0.150634160563189
X5.HK.EQUITY,0,0,0,0,0,0.126818076459838,0,0.132971820329172,0,0,0.0501995554235934,0.0305018232197381,0,0,0.253166294452836,0,0,0.151904411888792,0,0,0.0366214433024602,0,0,0,0,0,0,0,-0.0490318265751901,0,0,0,0,0,0,0,0,0.0341462181153713,0.0233311216458095,0,0,0,0,0,0,0,0,0,0.172153299168132,0
X601988.CH.EQUITY,-0.0256644734830959,0,0,-0.0271191566422748,0.437942277021496,0,0,0,0,0,0,0,0,0,0,0.0514300162234763,0,0.0551849821382249,0,-0.231002339045663,0,0,0,0,0.357657096772527,0,0,-0.0480056771524554,0,-0.445802493439919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310304722061464,0.155738032256087,0,0,0,0
X600036.CH.EQUITY,0,0.194731173295953,-0.0708761995288017,0,0,0,0,-0.074625346824483,0,0.572597629383881,0,0.0602212271260235,0,0,-0.0502291130812087,0,0.114169116426755,0,0,0.193998764525752,0,0,0,0,0,0,0,0.0835749504804857,0,0,0,0,0,-0.20955398249504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125379484041115
X1299.HK.EQUITY,0,0,0,0,0.13417576667583,0,0,0,0,0,0,0,0,0,0,0,0,0.039136176139367,0.00317677556353734,0,0,0,0,0,0,0.238013004786579,0.0154255739570484,0,0.0858482540595399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503469829116364,0,0,0.119113857796254,-0.00243516973493802,0.126713627858611
X601628.CH.EQUITY,0,0.0653245134140942,0,0.0666150636034924,0,0,0,0,0,0,0,0,0.0628417872299231,0.105950756116392,0,0,0,0,0,0,0,0,0,0,0.13885584332843,0,0,0,0,0,0,-0.0403967194227582,0,0,0.157601264249535,0.161340604263257,0,0,0,0,0,0.25474063406776,0,0,0.169952284068953,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.122984127969901,0.0560398072414781,0,0,0.661959070453725,0,0,0,0,0,0,0,0,0,-0.00803520145623113,0,0,0.24396896731796,0,0,0,0,0,0.265588733264895,0,0,0,0,0,0,0,0,0,0,0,-0.0925532955411263,0,0,0,0.0187328271111218,0,0,0,-0.456592692603889,0,0,0,0
