,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X823.HK.EQUITY,0.0260772496146145,0,0,0,0,0,0,0,-0.191732591368252,-0.014189006090796,0.174830051193534,0,0,0.0460157708851034,0.0436497335545869,0,0.227526981872864,0.122212917903054,0,0,0,0,0,0,0,0.0526368462730163,0,0,0,-0.0191238516857178,0,0,0.272847175724843,0,0,0,-0.203563329509607,0.143883061647835,0,0,0,0,0,0.0409725564972524,0,0,0,0,0,0.103939352556811,0
X601229.CH.EQUITY,0,0.30328698600304,0,0,0,0,0,0,0,0.0663562571236229,0,0.038189650460583,0,0.238652831657807,0,0,0,0,0,0,0,0,0,0,0.102140657867626,0,0,0,0.0285480215800062,0,0,0,0,0,0,0.10515033685936,0,0,0,0,0,0,0,0.0510624107171772,0.139758758697517,0,0,0,0,-0.13883871838697,0
X601336.CH.EQUITY,0,0,0.0858968270596184,0,0,0,0,0,0,0,0.202117455767636,0,0.0219359077521354,0.00926608813139427,0,0.138935852685672,0,0,0,0.0651180306984316,0,0,0,0.102818299316366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110503755051469,0,0,0,0.0344601296613002,0,0,0.22220584435095,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.117496082100666,-0.142628372975646,0.275586690494728,0,0,0,0,0,0,0,0,0.116258484064458,0,-1.38777878078145e-17,0,0.228633869493226,0,0,0,0,0,0,0,0,0.0937568054985394,0,-0.235597488502483,0,0,0,0,0.0892889646108527,0,0,0,0.0146539691092054,0,0,0,0,0.523179109893746,0,0,0,0,0,0.0246615075694388,0
X2882.TT.EQUITY,0,0,0,0,0,0.287241985702615,0,0,0,0,0,0.0160305982748873,0,0,0,0,-0.0341422373262876,0,0,0.0586731493931649,0.00187736900405447,0.308751913888762,0,0,0,0,0,0,0,0.0172917774507752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188609649129614,0.271360854806807,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334428905650567,0.155345429199804,1.73472347597681e-18,0,0,0,0.0373075758972452,0.0475340301664323,0,0,0,0,0.0115651366939439,0.0615537733538142,0,0,0.135770487891573,0,0,0,0,0,0,0.130870335011933,0,0,0.0755861902176737,0.0232258002221094,0,0,0,0,0.0600793631490597
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522815101942672,0,0,0.034430308045128,0,0,0,0,0,0,0.106287861425886,0,0,0,0,0,0,0,0,0,0,0.0931434118108073,0,0,0.318711402646449,0,0,0.0702861070103053,0,0,0.0483472698800679,0,3.46944695195361e-18,0,0.149873490854255,0,0,0
X601169.CH.EQUITY,0,0,0,0,0.0100673569126688,0.0411892776836881,0,0,0,0,0.173483133166275,0,0,0,0,0,0,0,0,0,0.0514435167589655,0,0,0,0,0,0,0,0,0,0.0433092627068027,0,0,-1.73472347597681e-18,0,0,0,0.00506123928960416,0,0,0.219242450926234,0,0,0,0,0,0.384750104780451,0.0866131193706621,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0219392127256949,0,0,0,0.105796845608926,0.0059245120449571,0,0,0,0.247562445238693,0,0,0,0,0,0,0,0,0,0,0.215952636772126,0,-0.00428881160512845,0,0,0,0,0,0,0,0,0,0.0532863017433022,0,0,0,0,0,0,0,0.0675910305254405,0.28301915926784,0,0,0,-0.0457009951179883,0
X000776.CH.EQUITY,0,0,0,0,0,-0.0581819308222906,0,0,0,0,0,0,0.00828389034349204,0,0,0,0,-0.0668882194115182,0.121004006842153,0,0,0,0,0,0,0,0,0.0329611443355696,0,0.0563836489871843,0,0.0180259624995666,0,0,0,0,0.0248069860197026,0.485540918800699,0,-3.46944695195361e-18,0,0,0,0.00720036839169096,0.331026487400824,0,0,0,0,0,0
X2881.TT.EQUITY,0,0.203886557663201,0,0,0,0,0,0.0200194327319814,0,0,1.38777878078145e-17,0,0,0,0,0,0.136618620909358,0,0,0,0,0,0.0336467909782367,0,0,0,0,-0.0488746463709178,0,0.105884189686939,0,0,0,0,0,0.111846724524679,0,0,0,0,0,0,0.192535421701584,0,0,0,0,0,0,0.0922590280847798,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358841237978509,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136018489100707,0,0,0.0442635964699588,0,0,0,0,0,0,0.240493721688779,0,-0.0397113698870329
macro_return_add,0,-0.641289939169909,-0.147521464891608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480692463472205,0,0,0,0,0,0.19969876239965,0,0,0,0,0,0,-0.334385875710463,0,0,0.143655067165989,0,0,0,0,0.345457230341032,1.38777878078145e-17,0,0,0,0,-0.082083441335718,0
