"date" "BTC" "ETH" "USDT" "XRP" "BCH" "BNB" "DOT" "LINK" "BSV" "CRO" "ADA" "LTC" "USDC" "EOS" "TRX" "XMR" "XTZ" "XLM" "HEX" "NEO" "LEO" "ATOM" "XEM" "WBTC" "HT" "DAI" "VET" "MIOTA" "YFI" "LEND" "THETA" "DASH" "ETC" "ZEC"
2019-01-01 3843.52 140.82 1.02 0.364771 164.85 6.08 NA 0.299371 92.14 0.021466 0.042547 31.98 1.01 2.66 0.019561 48.37 0.474699 0.11593 NA 7.87 NA NA 0.066118 NA 1.11 NA 0.004145 0.369184 NA 0.00782 0.04969 81.05 5.23 59.75
2019-01-02 3943.41 155.05 1.02 0.375243 171.83 6.19 NA 0.316489 94.88 0.021441 0.045258 33.43 1.02 2.89 0.020222 52.25 0.485319 0.119331 NA 8.08 NA NA 0.067139 NA 1.16 NA 0.004231 0.394705 NA 0.00806 0.050489 84 5.44 61.25
2019-01-03 3836.74 149.14 1.02 0.360224 162.05 5.9 NA 0.365974 88.64 0.021424 0.042682 32.03 1.01 2.68 0.020088 49.82 0.482134 0.113825 NA 7.68 NA NA 0.064862 NA 1.09 NA 0.004051 0.379233 NA 0.008015 0.052906 80.86 5.09 58.31
2019-01-04 3857.72 154.58 1.02 0.356747 161.4 6.07 NA 0.437175 87.65 0.021559 0.043812 32.4 1.01 2.72 0.021492 50.63 0.483029 0.115361 NA 7.63 NA NA 0.065011 NA 1.09 NA 0.004094 0.377061 NA 0.00807 0.051363 81.2 5.25 58.41
2019-01-05 3845.19 155.64 1.02 0.355275 160.4 6.07 NA 0.395948 88.52 0.018613 0.044701 34.94 1.01 2.7 0.022294 49.93 0.483224 0.114046 NA 7.84 NA NA 0.064621 NA 1.09 NA 0.004074 0.369546 NA 0.00798 0.050197 80.61 5.14 58.05
2019-01-06 4076.63 157.75 1.02 0.368395 166.84 6.4 NA 0.39701 90.38 0.017576 0.049261 39.3 1.01 2.88 0.023005 54.88 0.484338 0.120384 NA 8.64 NA NA 0.066627 NA 1.12 NA 0.00434 0.380924 NA 0.008488 0.05203 85.84 5.5 61.62
2019-01-07 4025.25 151.7 1.01 0.364347 161.24 6.29 NA 0.376474 88.78 0.022577 0.047996 37.81 1.01 2.77 0.023601 52.83 0.481431 0.12322 NA 8.47 NA NA 0.065016 NA 1.1 NA 0.004176 0.367764 NA 0.008168 0.05154 83.34 4.92 60.74
2019-01-08 4030.85 150.36 1.02 0.365315 161.91 6.64 NA 0.424198 87.58 0.019565 0.048525 39.48 1.01 2.8 0.026336 53.16 0.484993 0.123119 NA 9.18 NA NA 0.064316 NA 1.11 NA 0.004382 0.363091 NA 0.008175 0.050526 81.68 4.99 60.86
2019-01-09 4035.3 150.8 1.02 0.37089 160.08 6.64 NA 0.401805 87.04 0.019615 0.052169 38.99 1 2.91 0.028418 52.71 0.495942 0.123774 NA 9.2 NA NA 0.064733 NA 1.12 NA 0.00477 0.369409 NA 0.008351 0.050689 85.8 4.98 60.54
2019-01-10 3678.92 128.63 1.02 0.332652 134.97 5.92 NA 0.354604 75.92 0.017698 0.044529 33.87 1.01 2.44 0.025847 45.5 0.452833 0.109879 NA 7.97 NA NA 0.056417 NA 1.04 NA 0.004068 0.312712 NA 0.007154 0.04473 73.78 4.43 54.96
2019-01-11 3687.37 127.55 1.02 0.332904 131.67 6.08 NA 0.444193 75.03 0.017596 0.044147 32.33 1.01 2.42 0.025128 45.8 0.449763 0.107332 NA 7.95 NA NA 0.058317 NA 1.06 NA 0.004006 0.315375 NA 0.007171 0.046239 73.78 4.49 56.28
2019-01-12 3661.3 125.97 1.02 0.3288 134.38 5.98 NA 0.412244 82.8 0.017257 0.043704 32.38 1.01 2.43 0.0235 45.01 0.424779 0.106764 NA 7.75 NA NA 0.057357 NA 1.07 NA 0.00402 0.313771 NA 0.007311 0.046517 73.61 4.56 56.17
2019-01-13 3552.95 116.9 1.02 0.317863 126.35 5.57 NA 0.444261 77.44 0.016561 0.040241 30.33 1.01 2.26 0.02129 43.11 0.394705 0.103609 NA 7.22 NA NA 0.054842 NA 1.06 NA 0.003785 0.294612 NA 0.007414 0.044067 70.26 4.24 53
2019-01-14 3706.05 129.07 1.02 0.333766 133.98 6.16 NA 0.48566 80.37 0.01596 0.044059 32.36 1.01 2.48 0.025671 45.91 0.416643 0.109649 NA 7.96 NA NA 0.058036 NA 1.06 NA 0.004043 0.30958 NA 0.008544 0.046267 72.98 4.35 56.27
