,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0437816778254728,0,0,0,0.135194619279675,0,0,0.0171883794051187,0,0,0,0,0,0,0.170389300155654,0,0,0,0,0,0,0,0,0,0.192108064864498,0,0,0,0.00471119003724422,0,0,0,0.22216341770738,-0.0131120757559714,0,0,-0.0250213833273177,0,0,0,0.0584154276550603,0,0,0,0,0,0,0.134028381513199,-0.296223698006182,0,-0.152517405844431
X002142.CH.EQUITY,0.213615334638213,0,0,0,0,0.305517317806886,0,0.0319622084711201,-0.0285971947498397,0,0,0.000458372030568662,0,0,0,0,0,0,0,0,0,0,0,0.000207087017525629,0,0,0,0,0.0930966910726037,0,0,0,0.20249858469538,0,0,0,0,-0.0810176087228182,0,0,0,0,0,0,0,0,0,-0.135702000627276,0,0.011440792901391,-0.141010520865463,-0.192754204038554
X600000.CH.EQUITY,0.0820075170338205,0,0,0,0.0234421645913358,0.0697158621602963,0,0,0,0,0.406101536952712,0,0.000957322325109655,0,0.0573811973466897,0,0,0,0,0,0.21353192833496,0,0,0,0,0.00991041913567517,0,0,0,0,0,0,0,0,0,-0.0160362047776114,0,0,0,0,0.0926875081222711,0,0,0,0,0,0,0,0,0,0,0.144357609619316
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.122442137295031,0,0,0,0,0.109036918158432,0.144253937307764,0,0.0360399267919315,0,0,0,0.00242588383249323,0,0,0,0,0.073893782786289,0,0.0802814274463501,0,0,0,0,0,0.30963207406327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0388781634093112,0,0.109997248159804,-3.46944695195361e-18,0.408703199141206,0,0,0,0,0,0,0,0,0,0.0561534081712645,0,0,0,0,0.292747556927924,0.0192617957686546,0,0,-0.0520131509117744,0,0,0.219339708320741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.310937966906775,0.150398840545686,0,0,0,0,0,0,0,0,0.0264018838774202,0,0,0,0,0,0,0.0453184701328285,0,0.0481805273822806,0,0,0,0,0,0,-0.0278199336939076,0.146232673818964,0,0,0.172289751003089,0,0,0.0438319760694888,0,0.13609240972516,0,0,0,0,0,0,0,0,0,0.111380679557743,0,0,0,0,0.0404768477226572,0
X601166.CH.EQUITY,0,0,0,0.175166459861349,0,0.510679247020655,0,0,0,0,0,0.0335471072871879,0.0462796247332992,0,0,0,0,0,0,0,0,0,0,0,0.00726602910602006,0,0,0,0,0,0,0.098541443188394,0,0.141636524106518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.252445467318781,0.457459778966012,0,0,0.108425492286935,0,0,0,0.147306851573836,0,0,0,0.124545563717116,0,0,0,0,0,0,-0.0680102167373932,0,0,0,0,0,0,0.0497306448073713,0,0.0109698792581642,0,0.0880879440257663,0,0,0,0,0,0,-0.0313594232142214,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,-0.056999368000596,0,0,0,0,0,0,0,0,0.182689984656899,0,0,0,0.388709035328488,0,0,0,0,0,0,-0.0741964967831957,0,0.338457806561892,0,0,0,0.0781206661437085,0,0,0,0,0,0,0.235729738573731,0,0,0,-0.197510023759152,0,0,0.0964200393186233,0,0,0,0,0,-0.110681652869746,0,0,0,0.0910491055802284,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.170224038839775,0,0,0.606800366575642,0,0,0.140214811568211,0,0,0,0,0,0,0,0.112362105632141,0,0.100474421363012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105350703643989,0,0.0295282115373564,0,0.0185921623096835,0,0,0.0494725276838718
