,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.113794632461027,0.1183977797906,0,0.121442594908299,0.12971983268348,0,0,0,0,0,0,0,0,0,0.100900258125629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697989113072724,0,0.0749680844160036,0.0959030427603461,0,0,0,0.0101659388491711,0,0.0284491124590732,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.154400270546121,0.552907218219881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330872392380669,0,0,0,0,0,0,0.0635419764293073,0,0,0,0,0.00634702151155147,0,0,0,0,0,0,0,0,0,0,0.254403770245115,0,-0.0249139118740022,0,0,0,-0.21364542980747,0,0,-0.0401751042532567,-0.0307312944492594
X600000.CH.EQUITY,0,0,0,0,0.120909241110744,0,0,0.193383595039404,0,0,0,0.156232050902798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258441051114739,0,0,0,0,-0.0302410346809208,0,0,0,0,0,0,0.0817094020231254,0,0,0.692974293020676,0,-0.113697336909512,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.154735632748945,0,0,0,0.215809465453591,0,0,0.147384058287855,0,-1.73472347597681e-18,0,0,0,0,0,0.0565256812575918,0,0,0,0.437055235112186,-0.410495672316688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041764427865655,0,0,0.0289565274792987,0,0,0,0,0,0,0,0,0.00469198780496407,0
X600036.CH.EQUITY,0,0.175750005385313,0.133572061744067,0,0,0,0.0252957266118263,-1.73472347597681e-18,0,0,0,0.385137193275588,0,0,0,0,0.196394540062654,0.00672961541099464,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-1.0842021724855e-19,0,0,0.00364146450044335,0,0,0,0,0,0,0,0,0.0127628828426688,0,0,0,0.00482690402907774,0
X601166.CH.EQUITY,0.0703729590515015,0.0137738946263674,0.0725218152059696,0.0492470293495319,0.0108178078985987,0,0,0,0,0,0.0473249645536408,0,0.533140170134479,0.0504595836982862,0.0694164807602265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328988023434468,0.0188256171411882,0,0,0,0,0,0,0,0,0.0215805993074385,0,0,0.0785753162898999,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.0325811708407297,0,0,0,0,0,0.932375118889733,0,0,0,0,0,0,0,0.461919833335421,0,0,0,0,0,0,0,0,0,0,0.160506089575835,0,0,0,0,0,0,0,0,0,-0.157083431078884,0,0,0,-0.210299577267089,-0.0762997065197034,0,0,0,-0.201463976754571,0,0,0,0.0893561870653582
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0153958731731675,0,0,0.877615359146182,0.0806069787487161,0,0,0,0.0109017576847649,0,0,0,0,0,0,0,0,-0.00545999633042474,0,0,0,0,0,0,0.118293101829517,0,0,-0.0903389645073419,0,-0.00363595544091746,0,0.0531657668374457,-0.141068195350084,0.00809220138963672,-0.0920547570693462,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.327714191520167,-1.38777878078145e-17,0,0.248338196734436,0.212734950526004,0,0,0,0,0.0103989678049588,0,0,0,0.00468539733417352,0,0,0,0,0.0473256425980936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025687467802976,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.107793838061148,0,0,0,0,0,0,0,0,0,0,0,0.68834268601322,0,0,0,0,0,0,0,0,-0.127767703352576,0,0,-0.338794958153206,0,0,0,0,-0.138340154617324,0,0,0,0,0,0,0,0,0,-0.133940167168954,-0.0832281909433989,0.0393793249690401,0,0,-0.0966292629606044,0,0,0.431995842467131,0,0,0
