,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X11.HK.EQUITY,0,0,-0.0154357601104296,0,0,0,0,0,0,0.177928490566248,0,0,0,0,0,0,0,0,0,0.199512540127731,-0.0843638595027419,0,0,-0.127191350720673,0.154025589643015,0,0,0,0,0,0,-7.56997021478037e-05,0,0.0609656319920053,0.117213613110863,0,0,0,-8.67361737988404e-19,0,0,0,0.148620875373575,0,0.00901447932777369,0,-0.0949604733468792,0,0,0.261415321073952,0,0.20286207185766
X2388.HK.EQUITY,0,0,0,-0.0736507712400125,0.388203558461116,0,0,0,0,-0.0562318369516557,0,0,0,0,-0.0966885510663997,0,-0.14858534606432,0,0,0,0,0,0,0.29056097179752,0,0,0,0.402382989208062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0285936934228752,0,0,-0.193642519157097,0,0,0,0,0,0,0,0,0,0,-0.120539665806292,0,0,0,0,0,0,0.200052157731855,0.0435304335953803,0,0,0.175039307027269,0,0,0,0,0,-6.93889390390723e-18,0,0.0903763171780148,0,0,-0.0335776627442336,0,0,0,0.0209939584204311,0,0.0654241809895954,0.0930609246330349,0,0,0,0,0.183910383090125,-0.0597417739381757,0
X2880.TT.EQUITY,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.125110981330118,0,0,0.149982304523796,-0.003150287862482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133394954514011,0,0.081441515314954,0,0,0,0,0,0.0953219947679233,0,0,0,0,0,-0.120630378627311,0,0,0,0,0.365414780178813,-1.73472347597681e-18,0,0.127892402922404
X2884.TT.EQUITY,-0.0465550086097566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102706053345605,0,0,0,0,0,0,0,0,0,0,0,0.106197943631856,0.392048105737496,0,0.035376991086488,0,0,0,0,0,0.0532140959354107,0,0,0,0,0,0.163648259125527,0,0,0,0,0.174287138970964,0
X2886.TT.EQUITY,0,-0.0718808492649588,0,0,-0.075078635939829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127362891281068,0,0,0.132977779850313,0,0.0494100966333804,0,0,0,0.0256287111041429,0,0.510277494890659,0,0,0,0,0,0,0,0,0,0,0,0.0477979326871762,0.132561182424308,0,0,0,-0.0555301818890772,0
X2891.TT.EQUITY,0,0,0,0,-0.0436337514804414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528936887522555,0,0,0.290445591336008,0.394274210149422,0,-0.200988378591124,-0.0276957433041699,0,0,0,0,0.0327172836761621,0,0,0.0418690211863413,6.93889390390723e-18,0.180252337683504,0,0,0.146793980932509,-0.101987925506883,-0.0877520591433598
X2892.TT.EQUITY,0.0235318961368566,0.0126302079591712,0,0,0.215934288400655,0,0,0,0,0,0.0397522498283203,0,0.00183116250069804,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.271945405851204,0.193211946953854,0,0.216726126324192,0,0,0,0,0,0,0,0,0,0,0,0,0.18031937478474,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.112034089054942,0,0,0,0,0,0,0,0.00819387403028932,0,0,0,0,0,0,0.076091340912354,0,-0.029643295278342,0.197209631198983,0.118217568105492,0.135347371880459,0.237317971200048,0,0,0.0644455294460007,0,0,0,0.193970036647212,0,0,0,0.216986644702694,0.0658825074824099,0,0,0,0,0,0,0.0436818880073277,0
X600030.CH.EQUITY,0,0.206819316821979,0,0,-0.255099004071061,0,0,-0.108636907238372,0,-0.200959219291334,0,0,0,0,0.0248122814279548,0,0,-0.119529987498392,0,0,-0.00246926112477765,0,0.272685734054677,0,0,0,0,-0.233976815497157,0,0,0,0,0,0,0,0,0.099816097842586,0.586644795093698,0,-0.209854942509418,0,0,0,0,0,0,0,0,0,-0.0553400808569432,-0.182469988607146,0
