,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X601988.CH.EQUITY,0,0,0,0,0.318439622500903,0,0,0,0,0.0221898506824044,0.327641331839433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569900094667218,0,0,0,0,0,0.181522393497738,0,0,0,0,0,0,0,0,0,0,-0.0116623994657922,-0.0754068527423877,0,0.127012747345423,0.121484651423671,0.0298144361820132,0.037066386857518,0,-0.0244217986852927,0.119893295528603
X601998.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0.40328541522187,0.212643686206706,0,0.0726690880665361,0,0.139409259296442,-6.93889390390723e-18,0,0,0.042330144395748,0,0,0,0,0.00763689693312217,0,0,-0.00188013609514114,0,0.186918210401026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107042590221071,0,0,0,0,0,0,0.10337104534568,0.0748615669269865
X601658.CH.Equity,0.0440263038431489,0,0.434250164933898,0,0,0.0737669287895098,0,0,0,0,0.00492250656257184,0,0.0944794680613929,0.15392920307769,0,0,0,0,0,0.0188195840725784,0,0,0,0,0,0,0,0,0,0,-0.0116821813243462,0,0,0,0,0,0,0.0815666439951559,0,0,-0.0310352521083562,0,0.0684434007781679,-0.107820650992354,0,-0.113521093244897,0,0,0,0.05644394382527,-0.0325801309238736,0
X11.HK.EQUITY,0.165353224441726,-0.0526491311339567,0,0,0,-0.0525582204575786,0,0,0,0,0,0,-0.055513521504371,0,0,-0.133271384717504,0,0.342120320037197,0.326578194750106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460229013471536,0,0,0,0,0.101417454163051,0,0,0,0,0.185627847636772,0,0,-0.0877031252388995,0
X2388.HK.EQUITY,0.00976216402093236,0,0,0,0,0,0,0,0,0,0,0.247486708755939,0,0,0,0,0.0236383234891359,0,0.217469335917963,0,0,0,0,-0.272130187464661,0,0,0,0,0,0,0.0698235741732767,0,0,-0.120838537787042,0.153783466738583,0,0.0399662248581669,-3.46944695195361e-18,0.200316481316766,0,0,0,0,0,0.0127239880593594,0,0,0.139905327563015,0,0,0,0.108166693795224
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451935655891008,0.0643761913336291,0,0,0,0,0,-0.0124737599789016,0,0,0,0,0,0,0,0.0563870673777766,0,0,0,0,0,0.106480579532068,0.0436848084251695,0.130742876398942,0,0.167511085218881,0,0.010444377247668,0,0.201191693000929,-0.0345762061891069,0,0,0.134745957266458,0,-0.124551294620835
X000166.CH.EQUITY,0,0,0,0,0,0,0.114153141471122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146889310098463,0.0825076673944752,0,0,0.131168445993772,0,0,0.267818115181736,0,0.401444455033137,0,0,0,0,0,0,0.174713611577455,0,0,0,0,-0.0166807076247902,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0.181463564118903,0,0,0,0.0319867263948201,0,0,0,0,0,0,0,0,0.0958223405125097,0,0,0,0.271392360913459,0,0,0,0.0924135535811294,0.229762531520691,0.0456309387915281,0,0.0239749466917429,0,0.073355192698771,0,0,0,0,0,0,0,0,0,0,0.0397084690610332,0.0613252431587491,0.0247548996299456,-0.00876664727433286,0,0,0,0,0,0,-0.0552455272946087,0
X002736.CH.EQUITY,0,0.0139256231704378,0,0,0,0,0,0,0,0,0.0321881623738295,0,0,0,0,0,-0.0395735853169138,0,0,0.405675104153078,0,0,0,0,0,0.106007612058117,0.0976415656240565,0,0,0.0272712247825238,0,0,0,0,0,0.192126196628576,0,0,0,0,0,0,0,0,0,-0.0367726695940025,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,-0.00135426705050489,0,-0.020524503580796,0,0,0,0,0,0,0,0,0,0.00856866506695251,0,0,0,0,0,0,0,0,0.204791734412726,0.542001846474672,0,1.0842021724855e-19,0,0,0,0.125252016332426,0,0,0,-0.0411404966197969,0,-0.0185534588062352,0,0.0276940621652064,0,0,0,0,0,-0.0521117046696219,0,0
