,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0556358364053654,0,0.598511968858976,0,0.108895494149325,0,0,-0.0544344494960071,0,0,0,0,0,0,0,0,0.123574864721169,0,0,0,0,0.0174098339285506,0,0,0,0,0,8.57352843420742e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606671927340682,0,0,0,0,0,0,0,0.0662532898561727,0
X601318.CH.EQUITY,0,0,0,0,0,0.00735921672691142,0,0,0.0208674803901149,0,0,0,0,0.160760790521398,0,0,0,0,0,0.457462980907268,0,0,0,0,0,0,0,0,0,0,0,0.0515432074160213,0,0,0,0,0,0.0611098430495281,0,0,0,0,0,0,0.130213284312842,0,0,0,0.00567528893607476,0,0,0,-0.157434590316177
X601939.CH.EQUITY,0,0,0,0,0.538370435873959,0,0,0,0,0,0.209839828416301,0,-0.102382773173789,0,0,0,0,0,0,0,0.0604114790410955,0,0,0,0.295305983353853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0977583323162529,0.0236790072745291
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0,0
X601288.CH.EQUITY,0.052668562770605,0,0.106296793205515,0,0,0,0.233419077535497,0,0,0.048980828773577,0,0,0,0.0596333895192571,0,0,0.0845520967099216,0,0,0,0,0,0,0,0.178434763529524,0,0,0,0,0,0,0,0,0,0,0,0.252917176245406,-0.00102652864946286,0,0,0,0,-0.0835320522553268,0,0,0,0,0,0,-0.0543032972391732,0,0,0
X600036.CH.EQUITY,0,0.258611312941863,0,0,0.0101816105205388,0,0,0.0702479093879132,0,0,0,0,0,0.275731490397683,0,0,0,0,0.11841358359539,0,0,0,0,0,0,0.257486208952565,0,0.0562296943692246,0,0.0739366656236196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015072412467807,0
X601988.CH.EQUITY,0,0,0,0,0.260364130280575,0.306897692773675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205600197353376,0,0,-0.0303293298968398,0,0.115540093823095,0,0,0,0,0,0.208881516121914,-0.0547105833091818,0,0,0,0,0,0,0,0,0,-0.0287121073416278,0,0.112785467920969,0,0,0,0,0,0,0,0.0783356439203613
X1299.HK.EQUITY,0,0,-0.0130300683595817,0,-0.111356308982351,0,0,0,0,0.318026984622851,0,0,0,0,0.0206822103441405,0,0,0,0,0,-0.0724680782165796,0,0,0.105650748103842,0,0,0.328067329527347,0.0742560798781862,0,0,0,0,0,0,0,0,0.0693714793808645,0,0,0,0,0.0709440084871125,0.0773798196496483,0.136069514904002,0,0,0,0,0,0,0,0,-0.14429413431477
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178805160119441,0,0,0,0,0,-0.159631941035589,0,0,0,0,0.205577265074171,0,0,0,0.069267855784221,0,0,0.39987924550259,0.0599793725702465,-0.0492582859424994,0,0,0,-0.0386904736333829,0,0,0,0,0,0,0.215344538042285,0.181160854300269,0,0,0,0,0,0.125349181819527,0,0,0
X388.HK.EQUITY,0,0.092212435492686,0,0.122363676985914,0,0,0,0.0472997770250078,0,0,0,0,0.0105131740704359,0,0,0,0,0,0,0,0.0683244426764254,0.135169008596711,0,0.0617211607774082,0,0,0,0,0,0,0.150838191830889,0,0,2.77555756156289e-17,0,0,0.144204025148783,0.0929016060808087,0,0,-0.244538622952125,0,0,0.0279517788511743,0,0,0.281707646103703,0,0,0,0,0,0
X601658.CH.Equity,0.140938451954817,0.0115928134942953,0,0,0,0,0,0.0406513722966481,0,0,0,0,0,0.203486585526014,0,0,0.378879634883804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557293802579035,0.123829173017146,0,0,-0.0629161106615649,0,0.0649947236600571,0.00568170300187438,0,0,0.0375741324349781,0,0,0,0
