,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.147018767515591,0,0,0,0,0,-0.107359495437536,0,0,0,0,0,0,0,0,0,0,-0.0834277824069075,0,0,0.426270682824789,-0.125303324235762,0,0,0,0,0.472178253279025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296339991976699,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0180605179217071,0,0.1488338918398,0,0,0.0141458787251339,0.444027393125003,0,0,0,0,0,0,0,0,0,0,0.0739590460953227,0,0,0,0.266016889497698,0,0.0615962171201333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130818556860627
X601939.CH.EQUITY,0,0,0,0.771459183853853,0,0,0,0,0,0,0.101222959025686,0,0,0,0,0.110981585348832,0,0,0,0,0,0,0,0,0.0100963369953556,0,0,0.0664935091859908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583009813887982
X601288.CH.EQUITY,0,0,0.962044744146562,0,0,0.0308433238050371,0,-0.0511644755085503,0,0,0,0,0,-0.00828665225483627,0,0,0.00815385703859353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371697935181131,0,0,0,0,0,0,-0.0332022502746495,0,0.0140076935275603,-0.0665337447470536,0,0,0,0.0757910376242759,0,0,0,0,-0.110265351784832,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0668497988934308,0.211217979997745,0,0.299350891571218,0,0,0,0,0,0,0.210613092208638,0,0,0,0,0,0,0,0,-0.102374294143791,0,0,0,0,0,0,0.36931747109998,0.0657293111466717,0,0,0,0,0,0,0,0,0,0.0689484376693545,0,0,0,0,0,0.0730803532053505,0
X600036.CH.EQUITY,0,0,0,0.343013782545298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17810221874929,0,0,0,0,0,0,0,0.198004376937457,0,0.044535117735891,0,0,0,0,0,0,0,0,0.0699758699913262,0,0,0,0,0,0,0,0.0805026490731323,0,0,0,0,0.00206125942935646,0,0,0
X601988.CH.EQUITY,0,0,0,0.0691143050120383,0,0,0,0,-0.0269914581481249,-0.0730358395760398,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.00120425533376692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131725468291329,-0.0627198419606438,0,0.98987565340031,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0224527446243785,0,0,0,0.102683365854651,0,0,0,0.0396594327538237,0,0,0,0,0,0,0,0,0.348382137940579,0,0,0,0,0,0.070069712283149,-0.0981791212281617,0.0537475012174101,0,0,0,0,0,0.228019482715632,0,0,0,0.035306902995138,0,0.0855901402818839,0,0,-0.0956131114842073,0,0.0922982843056517,0,0,0,-0.112860831381377,-0.0203634089947697
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0525902681776814,0,0,-0.335304039298653,0,0,0,0,0,-0.043000635461675,0,0,0,0,0,0,0,0,0.0558071267803825,0.492556364701386,0,-0.128715600558285,0,0,0,0,0,0.232529406622726,0,0,0,0.153371036391644,0,0,0.189981734461001,0.276113830115665,0.120292915153028,0,0,0,0.327189458620742,0,0,0.053126248459168
X388.HK.EQUITY,0,0,0,0,0.297864350925315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735054920457078,0,0,0,0,0,0,0,0,0,0,0,0.105842250338536,0,0,0,0,0,0.147461899896168,-0.167030792064222,0,0.323213427340744,0,0,0,-0.0198544338506436,0,0.181125194160006,0
