,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.00106979843456996,0,0,0,0,0,-0.0404186383426915,0,0,0,0,0,0,0,0,0,0,0,0,0.515392744303625,-0.114112604728175,0.660612309997851,0.00755277004341258,0,0,0,-0.196294902070908,0,0,0,0.243026742309713,-0.309771535298405,0,0,0,0,0,-0.054698824174302,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0.0117198559299371,0,0,0.195524765385621,0,0,0,0,0,0,0.113518230596168,0,0,0,0,0,0.132776727492638,0,0,0,0,0,0,0,0,0.133666733648386,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.228553956007991,0,0,0,0,0,0,0,0,0,0,0,-0.0156678780482717,0,0
X601939.CH.EQUITY,0,0,0,0.831718503482252,0,0.0207989352171512,0.0104832511474802,0,0,0,0,0,0.00454239238696699,0,0,0,0,0,0.0667260218068386,0,0,0,0,0,0,0,0,0,0,0,0,0.014507581521062,0,0.043962249452662,0,0,0,0,0,0,0,0.0718566200951884,0,0,0,0,-4.33680868994202e-19,0,0.0223311235176527,0,0,0,0
X601288.CH.EQUITY,0.0117700355016424,0,0.884410480469084,0,-0.0868634357723717,0,0,0,0,0,0,0,0,0,0.00642524129931032,0.0550501602201619,0,0.128362656227599,0,0,0,0,0,0,0,-0.0258964704513885,0,0.0519853974060073,0,0,0,0,0,0,0,0,0,0,0,0,-0.115782577682363,0,0,0,0,0,0,0,0,0,-0.0423819328675206,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.912725587314496,0,0,0,0,0,0,0,0,0,0.0983041733921553,0,0,0,0,0,0,0,-0.112378249506549,0,0,0,0,-0.0826366708923534,0,0,0,0.0791284950053556,0,0,0,0,-0.0565936681193625,0,0.0161420389317329,0,0,0.03442065422357,0,0.0568331752682956,0,0
X601988.CH.EQUITY,0,0,0,0,-0.064045496550035,0,0,0,0,0,0,0,1.08926115376313,0,0,0,-0.0249018065937486,-0.220196046874224,0,0,0,-0.0649819809517915,0,0,0.21654803414925,0,0,0,0,-0.0193085100991743,0,0,0,-0.0871419191091537,0,0,-0.0176049299272505,0,0,0,0,0,0,0.0705598762363837,0,0,0.0426510058742605,0,0,0.00573018542518333,0.116103918500457,0,0
X600036.CH.EQUITY,0,0.0497651907679072,0.38212041778689,0,0,0,0,0,0.00838348168235401,-0.00551537342458023,0,0,0,0,0,0,0.138236923122058,0,0,0.000197558748296342,0,0,0,0,0,0,0,0.209420311531894,4.33680868994202e-19,0,0,0,0,0.172759511761095,0,0,0,0,0.00147907130383433,0,0,0,0,0,0.0355335331750191,0,0,0,0,0,0,0,0.0512941739936287
X1299.HK.EQUITY,0,0,0,0,0.132539291910528,0,0,0,0,0.194860297016703,0,0,0,0.0225207685218345,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-0.123323507078725,0,0,0.26400465845189,0.330937055730598,0.133778650076083,0.12476544085322,0,0,0,0,0.0424217045144091,-6.93889390390723e-18,0,0,0,0,0.0242606567549226,0.127476468536201,0,-0.189390315438786,0,0,0,0,0,0.154431507368629,-0.0324969798261957,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263566680220249,0,0,-0.317748952619636,0,0,0,0.0160140285570562,0,0,0.105565453618882,0.383959012398617,0.332422983531863,0,0,0,0,0,0,0,0,0,-0.133908441224578,0,0,0,-0.0708302708560563,0,0.140271825663144,0,0,0,0,0,0,0.119090472537924,0,0.0903984759652717
X388.HK.EQUITY,0,0,0,0,0.281381020284347,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23587798651231,0,0,0,0,0,0,0.476502185114041,0,0,-1.38777878078145e-17,0,0,0,0,0.00239668281519038,-0.0414327158294699,0,0,0,0,-0.059790112068253,0,0.254639868749928,0,-0.12676644212234,0,0.0262558600923776,0,0,0,0,-0.117622649100091,0,0
