,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,-6.93889390390723e-18,0.317994292434069,0,0.00253771155066815,0,0,0.343201152089109,0,0,0,0,0,0,0,0.0185800721969561,0,0,0,0,0,0,0,0.175424542392293,0,0,0.0201651850333222,0,0,0,0,0,0,0,0,0,0,0.107030251172654,0,0,0,0,0,0,0,0,0,0,-0.0316120528655818,0,0,0,0
X601318.CH.EQUITY,0,0,0.333279484306214,0,0,0.172311089461444,0,0,0.0133443691743569,0,0,0,0,0,0.138756520865571,0,0,0,0,0.0169813995319237,0,0,0,0,0,0,0,0,0,0,0.156149234867733,0,0,0,0,0.0928610095870552,0,0,0,0,0,0,0,0,0.00552455303946744,0,0.0330590604067217,0,0,0,0,0,-0.00124968461184779
X601939.CH.EQUITY,0.381417962073818,0.209559887906938,0,0,0,0,0,0.340635606638357,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122266023419532,0,0,0.0794185158726804,0,0,-0.0270198818963921,0,0,0.142327790320602,0,0.149064630202831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985273346058325,0,0
X600036.CH.EQUITY,0,0.0764690502271709,0,0,0,0.0506773744744621,0,0,0.0264344320974249,0,0,-0.0598521552525818,0.06412179012998,0,0,0.0868825417565419,0,0.218671560545212,0,0,0,0,0,0,0.319065005337107,0.101738018427118,0.0153727180267412,0,0,0,0.0680632213842469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213622446679051,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00193011085124462,0.525740730045235,0,-0.0855564832703533,0,0.0639680744525725,0,0,0,0,0,0,0,0,0,0,0.0646916146625445,0.141373293056612,0,0,0,0,0,0,0.0948369040363825,0,0.054198103188758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443829137735568,0,0.010857285728107,0,0.0117193647211904,0,0
X1299.HK.EQUITY,0,0,0,0.0369642297056335,-2.16840434497101e-19,0,0,-0.165128356053821,0,0.152583774597379,0,-0.0151565904667368,0,0,0.0116555819873077,0,0,0,0,0,0,0,0.138053102004984,0,0,0,0,0,0,0,0,0,0.0983100677022611,-1.73472347597681e-18,0,0,0,0.143618165741542,0,0.0915216280809202,0.166246388436361,0.0351908511781258,0.0968987650703557,0,0,0,0,0,0.29456574686672,0,0,0,0
X601628.CH.EQUITY,0.167347250470442,0,0,0,0,0.0118336570589349,0,0,0,0,0,0,0,0,0,-0.23818562673127,0,0,0,-0.075253602256391,0,0.192402987002015,0,0,0,0,-0.154620685043852,0,0,0,0,0,0,0.609351118322773,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.00300532180295263,0
X601988.CH.EQUITY,0.125331718982091,0,0.0537533411438711,0,0.54031080658679,0,0,0,0,0.094067454626112,0,0,0.154030149337211,0,0,0,0,0,0.00669086929590073,0,0,0,0.129376852563778,0,0,0,0.0144052374695601,0.0826421658750559,0,0,0,0,0,0,0,0,0.0681970809282059,0,0.00249179581368029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.195140575887836,0.105980386418002,0,0,0,0,0,0,0,0,0,-0.0931375544552281,-0.0551690326884651,0,0,0,0,0,0,0,-0.345927127201202,0.199800858432557,0,0,0.137203883068119,0.139623497700627,0,0,0,0,0,0.0509932997661707,0,0,0,0,0,0,0,0.141883364698537,0.0804167095128824,0.018118219011836,0,0,0,0,0,0,0,0.138588461292773,0,0
X388.HK.EQUITY,0,0,0,-0.130687533821367,0,0.230894638946277,0,0,0,0,0,0,0.0427280449144782,0,-0.0523923043142826,0,0,0,0,0,-0.112541739180872,0.470006649722581,0,0,0,0,0,0,0.0783927639777786,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.156247599062053,0.0751314006345146,0,-0.0400806699418849,0,0.155608962776952,0,-0.302974514474781,0,0,0,-0.0366697209713719,0.154138484838725,0,0
