,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.155314377543709,0,0.0816568359087323,0,0,0,0,0,0,0,0.333792754715022,0.14313897019051,0,0,-0.168012563298172,0,0,0,0,0,0,0,0,0,0,0,0,0.031389117451757,0,0,0,0,0,0,0,0.153526661172614,0,0,0,0,0,0.136776848435494,0,0,0,0.0520175242551331,0,0,0,0,0,-0.0137650906782776
X601318.CH.EQUITY,0,0,0,0,0,0,0.042120156890983,0,0.130652060309627,0,0.0373790696847778,0,0,-0.149717385843797,0.0761080003552201,0.010790206473777,0,0,0,0,0,-0.0171072895691443,0,0,0,0,0,0,0,0,0,0,0.175052001443306,0,0,0,0,0,0,-0.230762078547362,0,0.373567540716563,0.101982813381004,0.196555516374156,0,0,0,0,0.187615950892918,0,0,0,0
X601939.CH.EQUITY,0.165862711249199,0,0,0.294800753135521,0,0.138138000677623,0,-0.0570556454222405,-0.0388760739962002,0,0,0,0,0,0.0414703817302408,0,0,0,0,0,-0.0135565096397277,0.0855429775404575,0,0,-0.0370226495573583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490280132179652,-0.071086806537406,0,0,0,0,-0.0222975638806159,0,0,0.0367810822063342,0,0,0,0
X601288.CH.EQUITY,0.517315579376934,0,0.191322724187501,0,0.0729984433701823,0.161291546360335,0,0,0,0,0,0,0,0,-0.166183644854131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128401641177599,0,0.0836275060301428,0,0,0,0,0.0768622967299674,0,0,0,0,0,0,0,0,0,0.186872063518515,0,0,0.0781343043917932
X5.HK.EQUITY,0.0117438522690736,-0.0559963115089911,0.0876260858728248,0.0601745614029028,0,0.130899613253463,0,-0.0495604050232142,0,0,0,-1.73472347597681e-18,0.297341069709425,0,0,0,0,0,0,0.663488220798561,0,0,0,0,0,0,0,-0.187257846645654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798830627702943,0,0,0,0,0,-4.08182689126497e-05
X601988.CH.EQUITY,0.205768671235975,0,0.019696475349284,0.04436725682068,0,0,0,0,0.047893768071238,0,0.0545829005262107,0.11390799331077,0,-0.401149282376293,0,0,0,0,0,0,0,0,0.513842055886543,0.0338212975256937,0,0,0,0.0292333102213924,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0538656337801341,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00756943595371178,0,0,0,0,0,0.111195959463368,0,0,0,0,0,0,0.274614890654337,0.177002114596738,0,0.00420872308411153,0,0.0871523474257719,0,0,0,0,0,0,0,0,0,0,0,0,0.116822483421859,0,-0.00261724426363664,0,0,0,0,0,0,0,0.0939435406805295,0,0,0,0,0.128073640721438,0,0,0.0190893367003439,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0163621417366189,0.016009417330342,0,0,0,0.213322861871203,0,0,0,-0.151607321362388,0,0,0,0.311780115642738,0.255662994905048,0,0,0,0.0510424501418226,0,0,0,0.119327701299428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314296954758315,0,0.125767646665372,0,0,-0.0231400151619266,0,0,0
X601628.CH.EQUITY,0.13996131960982,0.359908299662054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138469399713003,0,-0.10686817501611,0,0,0,0,0,0,0,0,0,-0.0918319730164785,0,0,0,0,0.0667126082405125,-0.0448812616217794,-0.148587185518961,0,0,0,0,0,0.319002066727483,0,0,-0.054646970352516,0.00854812092417487,0,0,0,0,0,0.177259812570414
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
