,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.40990982595504,0.0322869255389917,0.0633727107444678,0,0,0,0,0,0,0.188101050800189,0,0,0,0,0,0,0,0,0,0,0.059390314151333,-0.026621654932994,0.0590568422321778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926670711206529,0,0,0.00281237640351768,0,0,0.0628972866071004,0.0507584838469595,-0.100701559084783,0
X601939.CH.EQUITY,0.396349837235297,0,0,0.186431442323926,0,0,0,0,-0.0372846608970213,5.42101086242752e-20,0.143202030132032,0,0,0,-0.0803399068285669,0,0,0,0,0,0,0,0,0.178535414508049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00598598884401086,0,0,0,0.0969397303590337,2.16840434497101e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377124384158735,0,0,0,0.214132106301473,0,0,0,0,0,0,0,0,0.146979644299938,0,0,0,0,0,0.0913760648002331,0.0343465934456673,0,0,0,0,0,0,0,0,0,0,0,0.0843301508659306,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-3.46944695195361e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.53506458217551,0,0,0,0,0,0.268501648759962,0,0,0,0,0,0.0912518551817114,0.110724153379752,0,0,0,0.0325564137950103,0,0,0,0,0,0.0788552780429368,0,0,0,0,0,0,0,0,-0.538723036143487,0,0,0,0,0,0,0,0.176705477978631,0,-0.0588589043976679,-0.082864671072149,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0453335613819803,0,-0.036959601150115,0,0,0,0,0,0,0.286364588234508,-0.0497750020875296,0,0,0,0.0710647847289258,0,0,0,0,0.175753046731658,0.0114384718735373,0,0,0,0,0,0,0,0,0.208542062158225,0,0,0,0,0,0,0,0.109872238699954,0.00663158652838448,0.0865567229203256,0,0,0,0.074963538152649,0,0.0614110968723124,0,0,-0.0391720618290122,0,0
X1299.HK.EQUITY,0,0,0,0,0.0353274247281901,0,0,0,0,0,0.034806666814393,0,0,0.187236558582594,0,0,0.0341620267158166,0.50205855425063,0,0,0,0,0.115532542446415,0,0,0,0,0,0,0.017369202750889,0,0,0,0,0,0,0,0,0,0.0849994365711001,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.00791775689371587,0,0,0,0,0,0,0,0,0,0,0,0,-0.153382166860608,0,-0.185038205803866,0,0,0,0,0,0.515424372910133,0,-0.259004410531759,0,0,0.760371465082246,0,0,0,0,0,0,0,0,0,0.399913758328149,0,0,0,0,0,0,-0.263940869978742,0,0,0,0,0,0,-0.0155458088970745,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.130761763773701,0,0,0,0.00502838264127674,0,0,0,0,0.36809015579816,0,0,0,0,0,0,0,0,0,0,0,0.0300207592158383,0,0,0.0741465724132545,0,0,0,0,0.247531450156193,0.0491748909932798,0,0,0,0,0.039064431061778,0,0,0.165099990337198,0,-0.0276910085071227
X601658.CH.Equity,0,0,0,0.135815907739229,0.154335306960534,0,0,0,0,0,0,0,0,0.125617463929515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17553598072689,0,0,0,0,0,0,0,0,0.219611366463076,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.352434917283773,0,0,0.0285817764467781,0
