,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.295424468340844,0.0273528913261906,0,0,0,0.44704902915874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105020837885185,0.0519752288979618,0,0,0,0,0,0,0,0,0,0,0.0796401965951249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.222337038193079,0,0,0,0,0,0.157611551804503,0,0,0,0.0544537355126071,0,0.0741228800110257,0,0,0,0,0,0.188685394899801,0,0,0,0,0,0,0,0,0,0.0686078585907829,0,0.0040623070732646,0,0,0,0,0.0941861646446459,0,0,0,0,0,0,0,0,0,0.0253576680294392,0,0,0,-0.0297690033802193,-0.115554083044348
X601939.CH.EQUITY,0.455163388659268,0.133280075573486,0,0,0,0,0,0.244162366149757,0,0,0,0,0,0,0,0,0.0117341080491353,0,0,0,0,-0.139386362206589,0,0,0,0,0,0,0.160632915104272,0,0,0,0.118898982881609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117171855424471,0.156792247391927,0,0
X600036.CH.EQUITY,0,0.128448542125591,0,0,0,0,0.0789851617695458,0.0847571931881691,0,0,0,0,0.106708633618662,0,0,0,0,0,0,0,0,0,0.0133666144977826,0,0,0.0984977710633673,0,0,0.0727717278617416,0,0,0,0,0,0,0,0,0.0419693235162083,0,0.00552500655114782,0,0,0,0,0,0,0,0,0,0.349305921345267,-0.221112742724987,0,0
X601288.CH.EQUITY,0,0.000535222188300312,0,0,0,0,0,0.562333243592702,0,0,-0.0819409119386662,0.0378450309488932,0,0,0,0,0,0,0,0,0,0.0599681266553396,0.0758419393656935,0,0,0.105091270397129,0,0,0.112594144917282,0,0,0,0.0557091901253129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530117750846506,0,0,0.0056981011369075,0,0
X601628.CH.EQUITY,0.00564106271978088,0,0,-0.0201369921485469,0,0,0,0,0,0,0,0,-0.0884443646811386,0,0,-0.240255724457033,0,0,0,0,0,0.23002651144102,0,0.138771464526898,0,0,-0.0438567226987204,0,0,0,0,0,0,0.575020183068587,0.109122916596379,0,0,0.0315222083108752,0,0,0,0,0,0,0,0.0322937528670737,0,0,0,0,0,-0.0840424614858424,0
X1299.HK.EQUITY,0,0,-0.0532473282346808,0.0366558421209172,0,0,0,0,0,0,0.149341036903802,0,0,0,0,0,0,0,0,0.165930505442883,0,0,0.212637813343639,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0605984233288696,0,0,0,0.16054032767502,0.034281022478465,0,0.149707721414592,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.138381613566476,0,0.0943621116572317,0,0.372694806243857,0,0,0,0,0,0,0,0.21839837705395,0,0,0,0.111017824945389,0,-8.67361737988404e-19,0,0,0,0.0171932187339981,0,0,0,0,0,0,0,0.120422651715972,0,0,0,0,0,0.0108994990640288,0,0,0,0,0,0.00590996165303265,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.129819357540011,0,0,0,0,0,0,0,0,0,0,0,-0.0647466952752974,0,0,0,0,0,0,0.226722859821424,0,0.182089361744812,0,0.143967001262835,0,0,0,0,0,0,0,0.0564772898474837,0,0,0,0,0,-0.0784618704247333,0.182881858978744,0.0422518288676879,0,0.284410436248274,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0707167189379267,0.165757656898069,0,0,0.104113091713055,0,0,0,0,0,0,0,0,0,0,0.138456685576187,0,0.422527252115059,0,0,0,0,0.0486658362801716,0,0,0.00623413291388517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216795405666932
