,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0327474002210238,0,0,0,0,0,0,0,0,0,0,-0.050537484064583,0.5652158304625,0,0.859043049852187,0.0697895087450869,0,0,-0.121678416394029,0,0,-0.195040990089038,0,0,0,0,0,-0.00298902615412801,0,0,-0.314356599794279,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0843054440481124,0,0,-0.0106043504289133,0,0,0,0,0.0451830772508351,0,0,0,0,0.302692150968258,0,0,0,0,0,0,0,0,0,0.0986389078076635,0,0,0,0,0,0.618800641685765,0,0,0,0,0,0,0,0,0,0,0.0122478098551141,0,0,0,-0.0489942327457412,0,0
X601939.CH.EQUITY,0,0,0,0.808900971280839,0,0,0.0653565635539866,0,0,0,0,0,0.0305567844042468,0,0,0,0.0248128755206671,0,0,0,0,0,0.0107434509916794,0.00717082021136616,0,0,0,0,0,0,0,0.0416361642221298,0,0,0,0.0097863355982048,0,0,0,0,0,0,-0.0132915807418084,0.0250921746646974,0,0,0,0,0,0.0499549003044797,0,0,0
X601288.CH.EQUITY,0,0,0.910941321203439,0,-0.0667827895709752,0,0,0,0,0,0,0,0,0,0,0,0,0.114319630307158,0,0,0,0,0,0,-0.0144687739985249,0,0.0597382068598549,0,0,0,0,0,0,0,0,0,-0.092929281370159,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486044535735626,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.114362048394559,0.853137229590035,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0.118094990792782,0,0,0,0,0,0,0,-0.0793136649261868,0,0,0,0,0.185281639426233,0,0.0382205334746322,0,-0.10727564569265,0,0,0,0.0286512479961211,0,0,0,0,0,0.0499575803184733,0.000428217834479876,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.21234902435167,0,0,0,0,0,0,-0.24890641258632,-0.211853000013917,0,0,0,0,0,0.0198483322624478,0,-0.0910829813896072,0,0,0,-0.0531481479283445,0,0,0,0,0,0,0,0,0,0,0,0.0392385809051243,0,0,0,0.00874048990171242,0,0,0,0
X600036.CH.EQUITY,0,0,0.388438996504836,0,0,0,0,0,0.0387881139408957,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0.0668993248193282,0,0.0665891213471034,0,0,0,0.400298858695011,0,0,0,0,0.0112612835551263,0,0,0,0,0,-0.00395139917348121,0.0521330641315933,0.0274327805666748,0,0,0,0,0,0,0.0660264682140584
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.347114960454288,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,-0.197364777124877,0.00339605947992522,0,0,0,0.0454419462112087,0,0.225865014606826,0,0,0.124163635849757,0,0,0,0,0,0,0,0,0,0,0,0.475076827309813,0,0,0,0.0211102646269047,0.0770784997993927,-0.0488073350602653,0
X5.HK.EQUITY,0,0,0,0,-0.16638283770882,0,0,0,0,0,0,0,0,0,0,0,0.265224603891124,0,0,0,0,0.17198942995661,0,0,0,0.306867163023036,0.0693448663461008,0,0,0.135615042914796,0,0,0,0,0,0,0,0,0,0,0,0,0.176781352954893,-0.0159424419170021,0,0,0,0,0,0,0.141925226045021,0,0.221495674677831
X388.HK.EQUITY,0,0,0,0,0.172343310906592,0,0,0,0,0,-0.0424623443301936,0,0,0,0.082010192831578,0,0.0400206985310536,-0.127478696248987,0,0,0.0561530196876764,0.00498651039230781,0,0,0,0,0,0.517801796744221,0,0,0,0,0,0,0,0,0.274211051321034,0,0,0,0,0,0,0,-0.206823318703627,0.0201965559813457,0,0,0,0,0,0,0
