,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.00538891507486453,0,0.23189799805604,0,0,0,0,0,-0.216383240259156,0,0,0,0,0,0,0,0,0,0,0,0.47006520051589,0.475022798754729,0,0,0.104619119875798,0,0,0,0,0,-0.0825232733802637,0,0,-0.18086694154515,0,0,0,-0.61805184383035,0,0,-0.094423812544158,0.0352178961216076,0.0321851896261005,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0323463702593328,0,0,0.213851430394291,0,0,0,0,0,0,0,0.254497021269649,0.223333008781978,0,0,0,0,0,0,0,0,0,0,0.0326259988054428,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864262254764275,0,0,0,0,0,0,0,0,0,0.00658379745932932,0,0.236122979597621,0,0,0,-0.131014395909901
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.279272150919438,0,0,0.328605457959477,0,0,0.059369735847967,0,0,0.0186471936392529,0,0.104929465810162,0,0.0643287327221903,0,0,0,0,0,0.0686655514055146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609480245110615,0,0,0,0,0,0,0,0.00590514010905442,0.0269076375301517
X601988.CH.EQUITY,0,1.38777878078145e-17,0,0.287202235173481,0,0,0,0,0,0.359776856936186,0,0.145244570379993,0,0,0,0,0.200359601364013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237070555481929,0.0560946794463222,0,0,0,0,0,0,0,0,0,0,-0.151655934342714
X600036.CH.EQUITY,0,0.0870949168153484,0,0,0,0,0.0349529965663125,0.0623056240081635,3.46944695195361e-18,0,0,0.114584113187508,0,0,0,0,0,0,0,0.126755647082981,0,0,0,0,0.0166672069847046,0,0.00162304099785671,0,0,0,0,0,0,0.387357077092103,0,0,0,0,0,0,0,0,0,0,0,0.0727887174223,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.27519457342196,0,0,0,0,-0.0681358741928543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953748075269532,0.155131964547755,0.156463025310435,0,0,0,0.0747217038961403,0.0310288257534633,0,0.0344997976080915,0.0336246304120546,0,0,0,0,0,4.33680868994202e-19
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386668217353368,0,-0.0558430737978287,0.0410679532451776,0.0406903306002477,0,0,0,0,0.187346155520929,0,0,0,0,0,0.157753552260112,0.141918151394877,0,0,0,0,0.18906717645251,0,0,0.316468684768342,0,0,0,0,0.15421043316947,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481978743803243,0,-0.0656693436707809,0,0,-0.543712728350949,0.80429867708973,0,0,0.132061026366152,0.637175324562942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.181383756025733,0,0,0
X601658.CH.Equity,0,0,0,0.0410457807369022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294575065143938,0.0540562171655608,0,0,0,-0.00683394611592467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217605803933635,0,0,-0.0123269898839336,-1.73472347597681e-18,0,0,0,0,0,0
