,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.113016940053149,0,0.0508395394174533,0,0,0,-0.0755925592668791,0,0,0,0.496010208563735,0,0,0,-0.0722275208169194,0,0,0,0,0,0,0,0,0,0,0,0,0.0561503139612056,0,0,0,-1.38777878078145e-17,0,0,0,0.0887725128229733,0,0,0,0,0,0.216239961991503,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0577251556120932,0,0.127409829464888,0,0,0.122796362508386,0,0.100651408183764,1.38777878078145e-17,0,-0.101425987008296,0.111035935372724,0,0,0,0,0,0,-0.0703556059820387,0,0,0,0,0,0,0,0,0,0,0,0,0.163229972852378,0,0,0,0,-0.222106037339689,0,0.315845447398587,0.175011610483557,0.1716482386224,0,0,0,0,0,0.228623080872824,0
X601939.CH.EQUITY,0.337114254649636,0,0,0.288729565984872,0,0.0969833327258846,0,-0.0381385721578427,0,0,0,0,0,0,0.140822283222112,0.037568237702677,0,0,0,0,0,0,0,0.0696597235649927,0,-0.074160211525047,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0981949962704157,0,0,0.320402950756191,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0
X601288.CH.EQUITY,0.419553281125261,0,0.104840312071604,0,0,0.208619308905266,0,0,0.0737740337615021,0,0,0,0,0,0,-0.0471342631803085,0.0573950546135823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159870872546486,0,0,0,0,0,0,0,0,0.176797317443119,0,0
X5.HK.EQUITY,-8.67361737988404e-19,0,0,0.250751877564842,0,0.109638040574471,0,-0.334992799379138,0,0,0,0,0.0549231321886477,0,0,0,3.46944695195361e-18,0,0,0,0.471332652231057,0,0,0,0,0.399192740647006,0,0,0,0,0,0,0,0.0353775300972265,0,0,0,0,0,0,0,0,0,0,0,0,0.203949883749293,0,-0.106655325655297,0,0
X601988.CH.EQUITY,0.164538374289732,0,0.258526304065567,0.0372686171909229,0,0,0,0,0.111856054225187,0,0.125777601630539,0,0,-0.222814533222446,0,0,0,0,0,0,0,0,0.0482785338473284,0.197368374954471,0,0,0,0.0316153893379078,0,0,-0.0513231153629619,0,0,0,-8.67361737988404e-19,0,0.0325804583479043,0,0,0,0,0,0,0.114897024440621,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0183108814923416,0,0,0.193289419946362,0,-0.0225348589958568,0.0272902982233678,0,0.219731491073622,0,0.305692916504642,0,0,0,0,0,0.104939767016139,0,0,0,0,0,0,0,0,0,0,0.0806147813278834,0,0,0.0704411884263437,0,0,0,0.140217644884115,0,0.0250476581151344,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0282730811486619,0,0,0,0.179918990824132,0,0,0,-0.144994667005528,0,0,0,0,0.295989971956865,0.304614841113343,-0.060875422846676,0,0,0,0,0,0.146130570885853,0,0,0.0865011529603452,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00797586429900939,0,0.0863300774162558,0,0,0,0.0253799355086768
X601628.CH.EQUITY,0.25781003014281,0.225085073539884,0,0,0.0199044656808688,0,0,0,0,0,0.0208312811729367,0,0,0,0,0,0,0.00292281416376626,0,0,0,0,0,0,0,0,0,0.0426417080940539,0,0,-0.00395545790726516,0,0,0,0,0,-0.026060514389933,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0313971322727746,0,0,-0.164582649653937,0.152942736584182
X601658.CH.Equity,0,0,0,0,0,0,-0.0609952995750614,0,0.101326588234843,0,0,0,0,0,0,-0.173425986910707,0,0.063119918530105,0,0,0,0,0,0,0,0,0,0,0,0,0.08851287267427,-0.0624386173045724,0,0,0,0,0,0.0520600965110572,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0395937520675393,0,0,0,0.47581255378558,0,0,0,0,0,0,0,0,0.206945678761483,0,0,0,0,0,0,0,0,0,0,0,0,0.0302285460638837,0,0,0,0,0,0,0,0,0,0,0,0,0.00396183692749767,0,-1.38777878078145e-17,0.195126382774448,0,0.0064516280539364,0,0,0,0
X601328.CH.EQUITY,0,0.0247713747627918,-1.0842021724855e-19,1.73472347597681e-18,0,0.113713039140417,0.0866550810238002,0,0,0,0,0,0.269206073376963,0,0,0,0,0,0,0,0,0.126164732280743,-0.12876789814355,0.0273505948368135,0.00705102033428574,0.171543151310681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703887034838871,0,0,0,0.131059035238769,0.0637810396896761,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0768121826162772,0.166797190723525,0,0,0,0,0.288031176571269,0,0,0.119357048189355,0,0,0,0,0,-0.0444419148767948,0,0,0.078277158980521,0,0,0,0,0.133880663815512,0,0,-0.0350620101439584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190591245394411,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253262863034828,0.367363147686183,-0.204861672192641,0,-0.0075552024171792,0,0.242097246720633,0,0.0279584324513156,0,0,-0.118713469500479,0.251349195572597,0,0,0,0,0.124224105045629,0,0,0,-0.0472839030185946,0.110621357514455,0,1.73472347597681e-18,0.0176673011706723,0,0.010798134926606,0,0,0,-4.33680868994202e-19,0.0280230059500117
X000001.CH.EQUITY,0,0.114014184794428,0.0955403444282983,0,0,0,0.00750034266643226,0,0,0,0.254923431863105,0,0.0185423579888192,0,0,0,0,0,0,0,0.16091831530511,0,0,0,0,0,0.183706492671319,0,0,0.0816672193466676,0,0,-0.245418431058714,0,0.0958573855852702,0.0367945177973074,-0.0915730006184814,0,0,0,-0.0155591432869085,0,0,0,0,0,0,0.319123387111436,0,0,-0.0403947863901904
