,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.155119231016342,1.38777878078145e-17,0,3.46944695195361e-18,0,0,0,-0.030565386995198,0,0,0,0,0,0,0,0,0,0,0,0,0.0382120971235113,0.358192660687441,0.304100310713261,0,0.192633104982786,-0.195956827345229,0,-0.0445322443526746,0,0.016007800251315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.218901535696039,0,0,0,-0.086875327488671,0,0,1.38777878078145e-17,0.000738285012812034,0,0,0,0.0530096641478449,0,0,0,0,0,0,0,0,0,0,0,0.0792018578695615,0.194605295087509,0.0355470526698299,0,0,0,0.225212219226999,0,0.11548357003363,0,0,0,0,0,0,0,0,0,0,0,0,0.0294907599559251
X601939.CH.EQUITY,0,0,0,0.802137817749043,0,0,0,0,0,0,0.000998601046082202,0,-0.0393864878760789,0,0,0.0418692838388609,0,0.118040243612702,0.0502793432072884,0,0,0,0,0,0,0.0363217931610829,0,0,0,0,0,0,0,0,0,0,0,0.0453270293714885,0,0,0,0,0,0,0,0,0.00492558542898037,0,0,0,0
X601288.CH.EQUITY,0,0,0.935194655972058,0,-0.112689377252975,0,0,0,0,0,0,0,0,0,0.00267435423320563,0,0.0635152400708219,0,0.0488374044625687,0,0.0369166360463745,0,-0.0311420797553086,0,0,0.0558707989678097,0,0,0,0,0,0,0,0,0,0.0560219259353129,0,0,0,-0.0349692013045898,0,0,-0.0759788896374032,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0115536116966639,0,0,0,0,0,0,0,0,0.301111076907487,0,0.214834174071627,0,0,0,0,0,0,0,0.0404341339992177,0,0,0,0,0,-0.0118499662574937,0,0,0,0,0,0,0,0,0,0,0,0.51795032650461,0,0,0,0,0,0,0,0,0.20981597724986,0,0,0,0.121192710241175
X600036.CH.EQUITY,0,0,0.323486437282912,0.0828129963683449,0,0,0,0,0.0698248074738057,-0.0088277774419383,0,0,0,0,0,0.0866964016893443,0,0.103731622921945,0,1.73472347597681e-18,0,0,0,0,0,0.0432423815700547,0.0245991196082744,0,0,0,0.104251879055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0,-0.131971098525813,0.0827234635750291,0,0.0573252027709704,0,0,0,-0.0230699437045604,0,0,0,0,-0.000934235046234159,0,0,0,-0.0475481356408828,0,-0.0191469273683833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107503229669032,0,0,0,0,0,0.0065416088803186,1.0559547202955,0
X1299.HK.EQUITY,0,0,0,0,0.0367999049595383,0,0,0,0.0188033398339009,0.156679423930745,0,0,0.0845359896271439,0,0,0,0,0,0,0,0,0,0.214872053737532,0,-0.14647623735504,0.0598303096817618,0,0,0,0.266291634318591,0,0.180328886065304,0,0,0,0,0,0,0,0,0.12044602563363,0,0,0,-0.0560626855823536,0,0.166818888406817,0,0.071227315533137,0,0.0374422263988787
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142072836081155,0,-0.328762438040616,0,0,0,0,0,0,0.165493606844957,0,0,0.531644336936583,0,0,0,0,0,0,0,0,0,0.0654579798427189,0,0,0,-0.110584123528816,0.0336881080787333,0.134185807573353,0,-0.142236558646384,0,0.0606796956800006,0,0
X388.HK.EQUITY,0,0,0,0,0.148838721408969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329523770275773,0,0,0,0,0.20232457284127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154339870010235,0,0,-0.232396018946975,0,0.261389942605728
