,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0426583078938995,0.236178270501524,0,0,0,0,0,0,0,0,0,0,0,-0.0631101421809592,0,0,0,-0.0345264290238751,0,0,0,0,0,-0.279551394500477,0,0,0,0.123778149281489,0,0.578224321601663,-0.127952998700895,0.111961508699931,0,0,0,0,0,0,-0.0802417754065142,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0526749241923349,0,0.0699644100790224,0,0,0,0,0.0741018244122819,0,0,0,0,0,0,0,0,0,0,0.195415900249676,0,0,0,0,0,0,0,0.0286657904809527,0,0,0,0,0.31155831913198,0,0,-0.0125016316669607,0,0.201329308586726,0,0,0,0,0,0,-0.0510507567570983
X601939.CH.EQUITY,0.285872704696206,0,0,0,0,0.0109243010537301,0,0,0,0.0331285725204128,0,0,0,0,0,0,0,0.0727865409119329,0,0,0,0.0412668853323317,0,0.0285298647758299,0,0,0,0,0.166086489173435,0.105896681144637,0,0,3.46944695195361e-18,-0.127081005788543,0,0,0,0,0.425052727601394,0,0.0252727094678821,0,0,0,0,8.67361737988404e-19,0,0,0,0.136699478833416
X601288.CH.EQUITY,0,0,0,0,0,0.0893387507309099,0,-0.177062716002454,0.213473224592049,0,0.439278209275153,0,0,0,0.119064367819658,0,-0.046908048561541,0,0,0,-0.0574611255700879,0,0,0,0,0,0,0,0,0,-0.502614984797124,0,0,0,0,0,0,0,0,0,0,0.241717280585586,0,0,0,0,6.7762635780344e-21,0,0,0
X5.HK.EQUITY,-0.204574885290402,0,0,0,0,0,0,0,0,0,0.0230842557109384,0,0,0,0,0.28880273846497,0,0,0,0.288545147624702,0.0166945400890042,0,0,0.454304780599989,0,0,0.0503754428383296,0,0,0,0,0,-0.169048926595784,0,0,0,0,0,0,0,-0.141251941333696,0,0.217774343261574,0,0,-0.0386131907425384,-0.0999378696661277,0,-0.0995855354860623,0
X601988.CH.EQUITY,0.101198703042819,0,0.0406618123966655,0.201498899653228,0,0,0.0225779429466641,0,0,0,0.192572587935799,0,0,0,0,0,0.165737181951884,0.133213814222913,0,0,0,0,0.0197905911228056,0,0,0,0,0,0,0,0,0,0,-0.0514084007409932,0,0,0,0,0.172307630229799,0,0,0,0,0.165641322785311,0.166233833216676,0,0,0,0,0.0403275887368345
X600036.CH.EQUITY,0,0.241420275753507,-0.0114114177764588,0,0,0,0,0,-0.10956591097303,0.0606535727313664,0,0,0.530902058844635,0,0,0,0,0.020119572299207,0,0,0.292389916116925,-0.107586867307757,0,0,0,0,0,0.0960021907555244,0,0,0,0,0.327287513918419,-0.154015588342276,0,0,0,0,0,0,0,0,0.108140091959553,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0616662781788579,0,0,0.181723538489368,0,0,0,0.0199012640354313,0,0,0,-0.0161782175215926,0.0197846295705825,0.156587739433465,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.183068874942822,0,0,0,0.0308966092425983,0,0.0953130683563102,0,0,0,0,0,0,0,-0.00581249961538362,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0
X601628.CH.EQUITY,0,0.0622137887763833,0.03789775894941,0.0586710106936658,0,0,0,0,0,0,0.00784200557358258,0,0,0.336776048584704,0,0,0,0,0,0,0,0.0553780247849121,0,0,0,0,0,0,0,0,0,0,-0.0598626962623089,0,0,0,0.0828238835609706,0.198507311724707,0.100538320239475,-0.0662295746658917,0,0,0,0,0,0,0,0,0,-0.105738031696129
X601328.CH.EQUITY,0,0,0.00970520722947143,0,0,0,0.456990481219744,0,0,0,0,0,0.0316360665541179,0,0,0,0,6.93889390390723e-18,0,0,0.257958915797754,3.46944695195361e-18,0.0244436528189419,0,0,0.165604604145913,0,0.102814613841113,0,0,0,0,0,0,0,-0.0938785577412153,0,0,0,0,0,0,0,0.109569494154846,0,0,0,-0.129884276459467,0,-0.222220475852769
