,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.130164100573945,0,0,0,0,0,0.0260741840245663,0,0,0,0.136484461919329,0,0,0,0.458250376876169,0,0,0,0,-0.00120416959384119,0,0,0,0,0,0,0,0,-0.145940582806158,0.461307477795403,0,0,0,0,0,0,0,0,0,0.0790415657493013
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.145591709126981,0,0,0,0,0,0,0,0.100523574639699,0,0.0632776758848105,0.0552506093879645,0,0,0,0,0,0.107694469989027,0,0.00454274878459053,0,0,0,0,0,0,0,0.164724833652024,0,0,0,0.275899576096084,0,0,0,0,0.00915146087858156,0,0,0,0,0
X601939.CH.EQUITY,0.262341286084212,0,0,0,0,0,0,0,0,0.0274337845381409,0,0,0,0,0,-0.0263360867627837,-0.0911447238668097,0,0,0.18046951197964,0,0.135583273433297,0,0,0,-0.153089285112788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474044075496962,0,0,0,0,0,0,0,0,0.118954490975499
X601288.CH.EQUITY,0,0,0,0,-0.0934121911930064,0,0,0,0.135216452887773,0,0.253840060034334,0,0.0168202976605456,0.363398080025246,0,-0.099287993442624,0,0,0,0,-0.0908312248618871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0
X5.HK.EQUITY,0,0,0,0,0,0.118710979981188,0.398579722739595,0,0,0,0.0106382757503879,0,0,0.135107620872376,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165959560184691,0,0,0,0,0,0,0,0,0.102211182824393,0,0,0.252751265434611,0,0,0,0,0.0768611069293084,-0.1206049705366,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.188945361439123,0,0.0845525563938186,0,0,0,0.148643783824068,0,0,0.16097215288829,0,0,0,0.0594925072583833,0,-0.0462315252620273,-0.0333942061248163,0,0,0,0.0339321452177138,0,0,0,0,0,-0.234567875204854,0,0.181530817728025,0,0,0,0,0,0,0,0,0,0,0,-0.000675310101135849,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.232625588118607,0,0,0,0,0,0,0,0,0,0,0,0,0.0716457112150649,0.0689217697831912,0,0,0,0,0,0,0.134874117921357,0,0.133572343221,0,0.0969710113679653,0,0,0,0,0,0,0.252838249522952,0,0,0,0,0,0,-0.0481368859767785,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.215705396896896,-0.0347176439264307,0,0,0,-0.0624188835118125,0,0,0.340699098212071,0,0,0,0,0.0797114869903485,0.10182112229366,0,0,0,0,0.290070922859919,0,0,0,0,0,0,-0.0337306784490385,0.170529362808713,0,0,0,0,-0.186553887629184,0,0,0,-0.139961731694872,0,-0.0429560454031125,0,0,0,0.328649780867355,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.200275769962277,0.0154418873520339,0.0937467881931842,0,0,0,0,0,0,0,0,0,0,0,0,0.237259199219637,0,0,0,0,0,0.0999768489297485,0,0,0,0,0,0,0,0,0,0,0,0.182201390901717,0,0,0,0,0,0,0,0.0278793623681738,0.0903750103869421,0.057181136368646,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0272783402889824,0,0,0,0,0.756048779463982,0,0,0,0,0.000796613162969243,0.0456958331037557,0,0,0,0,0,0,0.113940741984232,0,0,0.00269092809219642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183424706974868,0,-0.22008123679733,0,0,0,-1.73472347597681e-18
