,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.092706007852007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0815313646179255,0,0.0232372974690885,0.519777491924014,0.572042728072186,0,0.179208534697324,0,-0.199976382108659,-0.173333539214079,0,0,0,0,-0.106870791799518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.220021414406363,0,0,0,-0.0868611068903657,0,0,0,0,0,0,0,0.0531665744304903,0,0,0,0,0,0,0,0,0,0,0,0.0788854331635106,0.191251618301568,0.0354352752990837,0,0,0,0.22470131031846,0,0.114856473752867,0,0,0,0,0,0,0,0,0,0,0,0,0.0305606704342779
X601939.CH.EQUITY,0,0.00585942474041803,0,0.814253644575379,0,0,0,0,0,0.0002046829840476,0,0,-0.0315927682913511,0,0,0,0.0783707889523367,0.106260267833369,0,0,0,0,0,0,0,0.00630333161054018,0,0,-6.93889390390723e-18,0,0.043663883393888,0,0,0,0,0,0,0.0450147885841002,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.943939612204678,0,-0.105747084358772,0,0,0,0,0,0,0,0,0,0,0.0457750731168163,0,0,0.0183522865692256,0,0.0421562299403243,0,-0.0311492674029049,0,0,0.052652926288772,0,0,0,0,0,0,0.0249366382206273,0,0,0.0525558405807756,0,0,0,-0.0274430378841943,0,-0.0748168899837046,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0106578655782729,0,0,0,0,0,0,0,0,0.311545066547594,0,0.214610401135339,0,0,0,0,0,0,0,0.0865192614958457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463935265441649,0,0,0,0,0,0,0,0,0.184827245139876,0,0,0,0.128175661323079
X600036.CH.EQUITY,0,0,0,0.333184780903872,0,0,0,0,0.0722739590273373,-1.73472347597681e-18,0,0,0,0,0,0,0.150003601541278,0.11465510883291,0,0,0,0,0,0,0,0,0.126064191115563,0,0,0,0.137883808861085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420460314205347,0,0,0,0.0155110039211184,0,0
X601988.CH.EQUITY,0,0,0,-8.67361737988404e-19,-0.13177155961266,0.0830958680031082,0,0.0571908908681152,0,0,0,-0.0230297481525978,0,0,0,-0.000928755723475653,0,0,0,0,-0.0476883621571951,0,-0.0191355858835985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107291136791848,0,0,0,0,0,0,0.00658824455394329,1.05611081426934,0
X1299.HK.EQUITY,0,0,0,0,0.0322660486863261,0,0,0,0,0.169155913677991,0,0,0.0855413429451269,0,0,0,0,0,0,0,0,0,0.206812181449669,0,-0.160710787333015,0.0897530706423552,0,0.0219226974361303,0,0.282014854215478,0,0.187337500724868,0,0,0,0,0,0,0,0,0.0597249034699815,0,0,0,-0.0489101952586854,0,0.161083913912177,0,0.0878355372112378,0,0.0545698320101101
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0271746877773407,0,0,0.0278676182759839,0,0,-0.345311845752687,0,0,0,0.0043465844868077,0,0,0.170978204856296,0,0.528442098854289,0,0,0,0,0,0,0,0,0,0,0.0735146093077801,0,-0.00471221071782833,-0.106928704241314,0,-6.93889390390723e-18,0.133946162167454,0,-0.169797657548113,0,0.0987767754646884,0,0
X388.HK.EQUITY,0,0,0,0,0.27544837959801,0,0,0,0.0775367889867361,0,0,0,0,0,0,0,0,-0.233041243292581,0,0,0,0,0.462052357820164,0,0,0,0.00740536244803199,0,0.179322392867124,0.0890862238239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113570321130277,0.138583360188352,0,0,-0.0805190879312895,0,0.109595882450245
