,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.125765854910583,0.0348584036510819,0.232592501188294,0.0148218432328995,0.0847577936716339,0,0,0,0,0,0,0,0,0.0939088333656685,0,0,0.188561791860669,0,0,0,0,-0.0820173011042395,0,0,0,0,0,0.0431576086479643,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.121080381886819,0,0,0.0282553960468851,0,0.0183538490185051,0,0.0715580004605157,0.136747084216281,0
X601318.CH.EQUITY,0,0,0,0.0649710638535578,0,0,0,0.00438863174622475,0.128718876185468,0,0,0.0797505602615276,0.109981010040849,0,0,0,6.93889390390723e-18,0,0.118536398104056,0,0.215836478258121,0.0651689692313292,0,0,0,0,0,0,0,0.0478792268481593,0.101173200892261,0,0,0,0,0,0.015700232617468,0,0,0,0,0,0,0,0,0.0850409874678577,0,0,0,0,0.112292438506254
X601939.CH.EQUITY,1.73472347597681e-18,0,0,0,0.354335860109773,0,0,0,0,0,0,0.225172678507958,0,0,0.0109184486742211,0,0,0.142074835910765,0,0.0689196674306429,0,-0.10701157404009,0,0,0.250946832865609,0.233498239802527,-0.0613396397168165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840193842642557,0,0,0,0.0382636918730746
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.211320438816127,0,0,0,0,0.0219240863355198,0,0.376101997650306,0,0,0,0,0,0,-0.0217188683398115,0.0744774215577902,0,0,0,0,0,0,0,0,0,0,0,0,0.172027544385799,0,0,0,0,0,0,0,0,0,0,0,0,0.00672776449433533,0,0,0,0.127914727286772,0,0.0621470912928045,0,0,-0.0868254834692743
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0959381609522739,0.074140858746778,0,0,0,0,0,0.169198487665153,0,0,0,0,0.139195779574038,-0.136326618267697,0,0,0,0,0,0,0.00510304409464424,-0.0235730237529369,0.202621339515511,0,0,0,0.569194327883183,0,0,0,0,-0.0301557527235438,0.153375404167704,0,0,0,0,0,0,0,0,0.122169533689634
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136052570372855,0,0,0,0,0,0,0,0,0.03076742097087,0,0,0,0,0,0,0.106956784730328,0,-0.239126674076442,0,0,0,0,0,0,0,0.00929676116454733,0,0.088909372893167,0,0.261782541562909,0.137954648857937,0.0666317631453129,0.052453558241937,0.0822338987276031,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0928197285534337,0.106126673621157,0.166171678345665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230487110777096,0,0,0,0.211020844859404,0,0.0440641075561086,0,0.331396243247014,-0.0298535711154866,0,0,0.142519594080067,-0.0743190583685448,0,0,0,0,0,0,0,0.0902308365442081,0,0,0,0,0,0.028708738417783,0,0,0,0,0
X5.HK.EQUITY,0,0.111623943522405,0,0,0,0,0,0.213857369506292,0,-0.0487506457846156,0.0630314524048793,0,0,0,0,0,0,0,0,0,0.0881845028871563,0,0,0.126022917154061,0,0,0.204343145326314,0,0,0.0376264452579563,0,0,0,0,0,0,0,0,0.1801448359757,-0.116684502160161,0,0.144782936408737,0,0,0.105175057216602,0,0,0.0695119379316696,0,0,0
X601166.CH.EQUITY,0,0,0.0336051171099468,0.101201494346051,0,0,0,0,0,0,0,0.0325850606622113,0.0871290671570445,0,0.0510079656065922,0,0,0,0,0,0,0,0.165957746744145,0,0,0,0,0,0.362184277543837,0,0,0,0,0,0,0.0254669080614771,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
