,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0503741907458104,0,0.0760920431805314,0.128643671503158,0,0.36057451215125,0,0,0,0,0.001385470731416,0.100939988241073,0,0,0,0,0,0,0,0,0,0.0846257235278161,0,0.0130631663757199,0,0,0.152479553806093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.147594769430369,0,0,0,0,0,0,0,0.274407783349186,0,0,6.93889390390723e-18,0,0,0.0614105061933746,0.204640166207581,0,0,0.155404593328906,0,0,0,0,-1.38777878078145e-17,0,0,0.0421909734889762,0,0,0.0467462919354821,-0.114065825119033,0,0,0,0,0,0.0996854962928552,0.119285010397579,0,0,0,0,0,3.46944695195361e-18,0,0,0.0136775294618538,0,0,0.00687983151486815,-0.0415086443384295
X601939.CH.EQUITY,0.309833901758443,0,0,0,0,0,0,0,0,0,0,0,0.262355426758003,0,0,0,0,0.0114165431741275,0,0,0,0,0,0,0,0,-0.0324422097269818,0,0,0,0,0,0,0,0,0,0.220897616913088,0,0.0921693793962497,0,0,0,0,0.0995542123974198,0,0,0.0463498982013839,0,0,0,0
X601288.CH.EQUITY,0.347185247661408,0,0.0266208828772924,0,0,0.489690550462076,0,0,0,0,0.0073745064695429,0,0,0,0.0358142373662263,0,0,0,-0.0256692081646338,0,0.00928364665652684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101067935793032,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.218261738339074,0,0,0,0,0,0.292320131637322,0,0,0,0,0,0,0,0.00587889923138763,0.661198471298422,0,0,0,0.070065681279323,0,0,0,0,0,0,0.0966222194935534,0,0,0,0,0,0,0,0,-0.219798348463695,0,0,0,0,0,0,0,-0.0108308186293008
X601988.CH.EQUITY,0,0.0768387341879927,0,0,0,0,0,0,0.151696296459336,0,0,0,0.180898274731177,0,0,0,0,0,0,0.119285736490759,0.133141105326778,0,0,0.269246485994532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638159016999605,0,0,0,0.437539546466503,0,0,0,0,0,0.167146451688683,0.132254413426135,0,0,0,0,0,0,0.288670466336475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440321902287656,0,0,0,0,0,0,0.228951289060394,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452699687189698,0,0,0,0.140166750093617,0,-0.0949183350727909,0,0.332477540549764,0,0,0,0,-0.0271400674949901,0,0.861799379069065,0,0,0,0,0,0.298297806146202,0,-0.235340682648141,0
X601166.CH.EQUITY,0,0,0.0402532567465901,0,0,0,0.343031590839695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460525332359059,0.010660571844136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150785020372203,0,0,0.0221682025681076,-0.0299001613445495,0.0846282055091341
X601328.CH.EQUITY,0,0,0,0,0,0.154201674783619,0,0,0,0,0,0,0.139485700263538,0,0.00932438993324337,0,0,0,0,0,0,0,0.05458589034815,0.374977139573011,0,0.0577702825787937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00542544043477957,0,0,0,0,0,0.210176064712312,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0945849472431864,0.342150589937962,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117458195807564,0.116607077703993,0,0.0817340970912755,0,0,0.265758851582886,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0764617791446343,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0347338280747271,0.0770094228875985,0,0.573204548577857,0,0,0,0,0,0,0,0.010534600779342,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,1.73472347597681e-18,0,0,0,0,0,0.107460783968073,0,0,0,0,0,0,0,0.126616127749198,0,0,0,0,0,0,0.232652732711386,0,0,0,0,0.0336497026738566,0,0,0.0906477662960106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160850021183548,0
X000001.CH.EQUITY,0,0,0.0230720238808128,0,0,0.025321557347213,0.0669249962417793,0,0,0,0.16496905379535,0,0,0,0.105571085229741,0,0,0.1215953265038,0,0,0,0,0,0,0.124166627686771,0,0,0,0,0.134815136394907,0,0,0,0,0,0,0.178559639129557,0,0,0,0.0866140617947148,0,0,0.0440240430027197,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0637949796388137,0,0,0,0,0,0,0,0,0,0,0,0,0.0615116354101482,0.0995678795266401,0,0,0,0,0,0,0,0,0.218945528811189,0.398534848261311,0.0601711039715272,0,0,0.159268166331627,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182423603448291,0,0,0,0,0,-0.191686368157323,0,0,0,0,0.15317845282325,0,0,0,0,0.1002916338522,0,0,0,0,0,0,0.116728083097063,0.513979057851487,0,0,0,0,0,0,0,0,0,0,0
