,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.234421716297153,0.0888207279898491,0,0,0.279622792680208,0,0,0,0,0,0,0,0,0.271340259579847,0,0,0,0,0.073122382342611,0,0,0,0,-0.0144877822191823,0,0,0,0,0,0,0.0180256714265308,0,0,0,0.151012339206523,0,0,0,0,0,0,0.116227523747914,0,0,-0.139584731675131,0,0,0,0,0.00619904265241566
X002142.CH.EQUITY,0,0,0,0,0,0.43615736124352,0,0.0888388610920706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641448361986536,0,0,-0.23212348678946,0,0,0,0,0.130839838626775,0,0,-0.106221393480586,0,0,0,-0.0818503922062374,0.179576427874909,0.263841635768894,0,0.127958848637639,0,0,0,0,0,0,0.0684694962981055
X600000.CH.EQUITY,0.262120135525569,0,0,0,0,0,0,0,0,0.0696294265842957,0,0,0.506003687176196,0,0,0,0,0,0.0340605329390537,0,0,0,0,0,0.0382886319984571,0,0.0772465793422557,0,0,0,0,0,0,0,0,0.056132594480243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.0821635550928008,0,0.00729834527073597,0,0,0.255364307388707,0,0.0243880126316707,0,0,0,0,0,0,0,0.0684108342437696,0,0.0209703011311819,0,0.104197307284108,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0619525410399574,0,0,0,0,0,0.271993335949354,0,0,0,0.0795836713879102,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0990381193826375,0,0,0,0,1.73472347597681e-18,0.422786444238824,0,0,0.183253000875116,0,0,0,0.105498882410502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127208289234778,0,0,0,0,0,0,0,0,0,0,0,0.0817708796849117,0
X600036.CH.EQUITY,0.552293953625315,0.0909627465251809,0,0,0,0,0,0,0.0233950848906894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020949410017744,-0.00926188333479188,0,0,0,0,0,0,0,0,0,0.0685595518191178,0,0,0,0,0,0,0,0,0,0.180024332441832,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0.431861149096503,0,0,0,0,0,0,0,0,0,0,0.281062480616808,0,0,0,0,0,0,0,0,0,0,0,0,0.14686331185472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,1.73472347597681e-18,0,0,0.199067675774752,0,0,0,0,0.104063096808682,0.00751776582072299,0.000233665665051989,0.17392954094354,0,0,0.177853920768953,0.154290393259773,0,0,0,0,0.0416766202156814,0.0136338145165704,0,0,0,0,0,0,0,0,0.105697125368712,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0.42104243460694,0,0.349744355499212,0,0.0271414645099813,0,0,0,0,0.153240919099784,0.0260960904877514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109430735118269,0,0,0,0,0.00763770863552785,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.0545526891445876,0.178361710515564,0,0,0,0,0.11750209347773,0,0,0,0,0,0,0,0.244261748689614,0,0,0,0,0,0.0160339685024118,0,0,0,0.0281208330254656,0,0,0,0.0315995872717438,0,0,0,0,0,0,0,0,0,0,0.0960962234228135,0,0.172249325277018,0,0,0.0926314535018355,0,0,0,0
