,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774043920990985,0,0,0,0.0767679361599754,0,0.0315394015278396,0,0.0633079289420864,0.29722841590913,0,0.123905382227346,0.0535228800547183,0,0.243530851276155,0,0,0.0202098701070944,0,0,0,0,0,0,-0.0933028805246189
X600030.CH.EQUITY,0,0,0,0.0263661656912859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702812290308463,0,0,0,0.131635106289584,0,0.180595438125122,0.00848272629314609,0,0.0602789475967351,0,0.248095117904319,0,0.139201607928743,0,0,0.0469615598367894,0.0620558315093617,0,0.0766807028810892,0,0,0,0,0.132679159185773,-0.0598092598346081,0,0.0985169773839347,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396657461999543,0,0.0482651720484619,0,0,0,0,0,0,0,-0.031424600523456,0.0711979755611766,0.185002106465935,0,0,0,0,0.0389050401986095,0.539367297422893,0,0.111118693610217,0,0,-0.0120530226519072,0,0,0,0.021813579040286,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.051854720134934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56912028665396,-0.0857867846392793,0,0,0,-0.00549487715251838,0,0,0.174614686649943,0,0,0,0,0,0.135117760122962,0,-0.0392189496238459,0,0,0,0,0,0,0,0,-0.00677761285378084,8.67361737988404e-19,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760804607018814,0.0379411379615489,0,0.00861602487458654,0.0952857248718331,0.12805466064832,0.41168952134795,0.253989608123256,0.00269100402253986,0,0,0,0,0,0,0,0,0.0130260785760064,0,0,0,-0.018382578245861,-0.0237265674254732,0,0,0.0624707381302979,0,-0.0506832451219427
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140450168123264,0,0,0,0,0,0,0,0.047706895898999,0.107170346594474,0,0,0.0337865126837158,0,0,0.236465601706621,0.109256855279559,0,0.0812358403212831,0,0,0,0,0.204367329824968,0,0,0,0,0,0,0,-0.0728448737393266
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0.0374661282247633,0,0,0,0,0.117001058578845,0,0,0,0,0,0,0.148898702043295,0,0,0,-0.11232154263342,0.0801420307064492,0,0,0.425286068406974,0,0,-0.0936375830389046,0,0,0,0.195048253878227,-0.125486158239256,0.115663998573759,0,0.113857051990874,0,0,0,0,0,0,0,0,0,0.0457324322952235,0.0257233018766756
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.019239208485299,0,0,0.0692590823166973,0,0,0,0,0,0,0,0,0,0,0.0513016178177445,0,0,0.106787278422812,0,0.199162662989594,0,0.273572305706567,0,0,0.352779547605671,0.017168694521008,0,0,-6.93889390390723e-18,0.0570771810052553,0,0,0,0,0,0,0,0.0229436214818299,0,0,0,0
X601788.CH.EQUITY,0,-0.0792246823888928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223694217382757,0,0,0.112999239635606,0,0,0,0,0.5680928531195,0,0.0899882904129636,0,0,0.0952216121267283,-0.0657314219125995,0,0,0,0,0,0.048498908994151,0.285980170898979,0,-0.192369137243351,0,0,0,0,0.0894716186871946,0.0298261869790627,0,-0.208366311037092,-0.0472621684981894
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0438667579876249,0,0,0.0506926595906227,0,0,0.111615702927177,0,0,0,0,0,0,0.470851983611336,0,0,0.0745552166903019,0,0.00572334221482175,0,0,0,0.191146401835142,0,0,0,0,0,0,0,0,0.0502387538660793,0,0,0,0,0.0306799945664431,0,0
X600918.CH.Equity,0,-0.19670589109337,0,0,0,0,0,0,0,0,0,0,0,0.0576909275110237,0,0,0,0,0,0,-0.00285641683325617,0,0,0.109503856192461,0,0,0.105972870288304,0,0,0,0.038156640283127,0,0,0,0,0.295522670870905,0.0954559729069121,0,0,0.0526902172492611,-0.0411787579093972,0,0,0.0519596302938512,0,0,0,0.0513725500184587,0,0,0
X601696.CH.Equity,0,0,0,0,0.116866100638149,-0.0527071302144041,0,0,0.126350397659354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864294662285703,0,0,0,0.115090373154255,0,0.195309637355638,0,0,0.0404472822128243,0,0,0.134700849166212,0,0.0769697160216926,0,0.107162124107219,0,-0.0992443384095058,0,0,0,0,0,0,0,-0.0225880563762959,0,0
X388.HK.EQUITY,0,0,0,0,0,0,-0.163854360123028,0,0,0,0,0,0,-0.0431718241330626,0,0,0,0,0,0,0,0.252526931555555,0,0,0,0,-0.0951713051633202,0,0.0674970554414246,0,0,0,0,0,0,0,0,0,0.138657633680384,0,0,0,0,0,0,0.42191145823051,0.0894535536555751,-0.286896881404767,0,0.215735765210834,-0.0759821845111221
X601318.CH.EQUITY,0,0,0,0,0,0.224009660351944,0,0,0.152398845606236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451463485419956,0,0,0,0,0,0,0,0,0,0,0,0.108200869939502,-0.0337401017307254,0,0.165178073416022,0.275028122600115,0,0,0,0,0,0.128150671027787,0
X601319.CH.EQUITY,0.116700773738201,-0.0673501300315625,0,0,0,0,0.112421221766279,0,0,0.0308937861842158,0.155353363325099,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373857520453935,0,0.315300393338719,0,0,0,0,0,0.0387864814565232,0,0,0,0,0,0,-0.0503930513565441,-0.00155160719680282,0,0,0,0.212217108270432,0,-0.079731101021692,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874109211762333,0,0,0,0,0,0,0,0,0.114467567147827,0.0540432830734297,0,0.029018568339496,0.0867720432740544,0,0.0257559400108002,0,0,0.235982130154451,0.135039513592866,0,0,0,0,0
X601601.CH.EQUITY,0,0.0323170747673225,0,0,0,0.041074828431963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000834642778012286,0,0.0222593802862414,0,0,0.0599325085267906,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214046468530649,0,0,0.132766385381683,0.142928472918395,0.0662868635462545,0,0.328965796951091,0,0,0.361376361936623,0,0
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-3.46944695195361e-18,0,0.0079959687752534,0,0,0,0,0,0,0,-0.0879292258645957,0,0,0,0,0,0,0,0,0.151920333955234,0,0,0,0,0,0,0,0,0.311998528349177,0.0643072746830058,0.262511254244535,0,0,0.121654111072301,0.395810507594076,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.00188790562661649,0,0,0,0.234072599871588,0,0,0,0,0,0.0357702531199622,0,0,0,0,-0.146113072980721,0,0,0.137087986139222,0,0.128112373846715,0.180225461709611,0,-0.0539786581282817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850862234831813,0.183875164999066,0,0,0,0,0,0,0,0,0,0.267114097966074,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.030399202982916,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178900725312212,0,0,0,0.0672402589106258,0,0,0.302005854112293,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0668180580793071,-0.09001243794679,0,-0.198537163856833,0,0,0,0.744293661903004,0.334304366553782,-0.108955992786004
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.227915109104409,0,0,0,0,0,0,0,0,-0.125757314592221,0.122237044488252,0,0,0,0,0,0,0,0,0,0,0,0,0.305662611073624,0,0,0,0,0,0,0,0,0,0,0,0.155822223453946,0,-0.0824924573884346,0.831723318984387,0,-0.00998971736116092,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295955128832086,0,0.195714816533477,0,0.00568178126136059,0,0,0,0,0,0,0,0,0,0.326209847724134,0,0,0,0,0,0.204904431949773,0.0971452780687875,0,0,0,0,0,0,0,0,0.0234124854469556
macro_return_add,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114224910120448,-0.275779241074293,0,0.00936645224781096,0,0,0,0,0,0,0.00125896104468661,0,0.0327110001849185,0,0,0,0,0,0,-0.552890678940437,0,0.0270805200822416,0,0,0,0,0,0.0639220929329119,0,0,0,0
