,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.111258923860455,0,0,0,0.314424428792709,0,0,0,0,0,0,0,0,0,0.550298291009841,0.139614734552501,0,0,0,0.0416690857690218,0,0,0,0,0,0,0,0,0.062434903875698,0,0,0,0,0,0,-0.207066234659271,0,0,0,0,0,0,0,0,0,-0.0213292609658757,3.46944695195361e-18,0,-0.0242736394779111,0
X002142.CH.EQUITY,0,0,0,0,0,0.813820196813586,0,0,0,0,0,0,0,0,0,0,0,0.167102415284394,0,-4.33680868994202e-19,0,0,0,0,0.118543526850764,0,-0.0359711493351449,0.0211695760571699,0,0,0,0,0,0,0,0,0.0163319305163562,0,0,0,0,0,0,0,0,0,-0.188026360284346,0,0,-0.243628286347912,0
X600000.CH.EQUITY,0,0,0,0,0,0.482044481454701,0,-0.133006609802036,0,0,0,0,0,0.468829914045419,0,0,0,0,0,0.32873975792663,0,0.0834160487981757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758953911442901,0,0,0,-0.0703021288055795,0,0,-0.0558561203006144,0,0,0,0.076747237073901,0,-0.121678841356296,-0.0327101235398488
X600015.CH.EQUITY,0,0,0.0921344743195302,0,0,0.155856286119803,0,0,0,0.00555016631522879,0,0,0,0,0,0,0,0.124505159421314,0,0.321194377101205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040902828348734,0,0,0,0,0,0.0911706429169766,0,0,0.0357535896952092,0,0,0.0430030161376433,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.074143580572389,0,0,0.0580330447338204,0.0527399800923815,0,0,0,0,0,0.316114081899347,0.150594610509531,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699946226709124,0,0,0,0,0,0,0,0,0,0,0,0.216964690813499,0,0,0,0,0,0.0316708342434481,0
X600036.CH.EQUITY,0.214396371544008,0.151010031752178,0.0933514941045252,0,0,0,0.123279141393942,0,0.0436422220525251,0,0,0.0157418926789718,0,0,0,0,0,0.0610525161370728,0,0,0.0566459789616284,0.0341653966496877,0,0,-0.0331376779721748,0,0,0,0,0,0,0,0,0,0,-0.0525568573271711,0,0,0,0,0,0.260001091225972,0,0,0,0.0516784872031568,0,0,0.014813763093129,0.0647643343253455,0
X600919.CH.EQUITY,-0.00733902908412545,0,0,0,0,0.154187189317868,0,0.063011985879879,0,0,0,0.641946406242324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419547869149714,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.220151182722892,0,0,-0.0111685889467907,0,-0.0414069295332487,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.13624211174434,0,0,0,0,0,0.32154813287731,0,0,0,0,0.0567642778522146,0,0,0,0,0,0,0,0,0,0,0,0,0.0903866203882253,0,0,0.184399360207909,0,0.0219251307697104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.446762855315062,0.0561621011579297,0,0,-0.0763462843174835,0,0,0,-2.16840434497101e-19,0,0,0,0.0525905068844183,0,0.314032731388967,0,0.0107726040203775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222808221225725,0,0.00703411041414615,0,0.154762868006005,0,0,0,0,0.191308508213115,0
X601166.CH.EQUITY,0.0646117158624952,0,0.0688821587760176,0,0.0246766813963541,0,0,0.123515369097154,0,0,0,0.0159699758657102,3.46944695195361e-18,0,0,0.251461770856729,0,0,0,0.0437794218852119,0,0,0,0,0,0,0.193679552298257,0,0,0,0,0,0.0169154948656427,0,0,0,0,0,0,0,0,0,0,0,0.0314753305970759,0,0,0,0.0394854634460789,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149840152792848,0,0,1.73472347597681e-18,0,0,0,0,0.0867792855578274,0,0,0,0,0,0.0109992559693295,0.193399391307349,0,0,0,0.170235180668974,0,0,0.0487568129423539,0,0,0,0,0.0539153148659421,0,-0.0408191895073554,0.108601070243626,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.0329935048982741,0,0,0,0.277196024059289,0,0.11071111185739,0,0,0,0,3.46944695195361e-18,0,0.300957484214616,0,0,0.0886211725963255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.228206137118286,0.0644322944042637,0,0,0,0,-0.0149387804087497,0,0.187817968999042
X601288.CH.EQUITY,0.0308841397673339,0,0,3.46944695195361e-18,0,0,-0.0499672078144539,0,0,0,0,0,0,0.149394850785388,0.259856032345862,0,0.137278394831155,0.160729320104915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204944312678139,0,0,0.0103451667642698,0.228107550457395,0,0,0,-0.0221859486078869,-0.0517450646381346,-0.0262760181671995,0,-0.0864196242327895,0.0350284051280001
X601328.CH.EQUITY,0.0301941008142866,0,0.20495085390334,0,0.0264265100507394,0,0,0,0,0,0.0893603791670937,0,0,0,0,0,0,0.108987220251738,0,0.0916237499239657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117479868472875,0.0518503727262017,0.0536231274569223,0,0,0,0,0,0,0,0,0,0,0,0.123117347371232,0
X601398.CH.EQUITY,0,0,0.0744393376604262,0.0807646555999813,0,0,0,0,0.0669777212976181,0,0.0615049539025998,0,0.552995628902159,0,0,0,0.157141578068951,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428725463273354,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0.0199608764232287,0,0,0.239579076392891,0,0.00710409817883654,0.0760365546749969,2.16840434497101e-19,0.0480097675903191,0,0,0,0,0.143201536238657,0,0.0295846838197635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266149873771492,0,0,0,0,0.0454741494727537,0.113838891114905,0,0.0978738866550553,0,0,0,0,0,0
