,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0.212428815336449,0,0,0,0,0,0,0.259941744104714,0,0.154395730009671,0,0,0,0,0,0,0,0,0,0.0622159197828501,0,0,0,0,0,0,0.0997550086660646,0,0.03629826770319,0,0,0,0,0,0,0,0,0.0558006654140159,0,0,0,0,0,0.163123890173019,0,0.041325544985532,0,0,0
X601398.CH.EQUITY,0.152400892669645,0,0,0,0,0.0148072215584714,0,0,0,0.373956976301257,0,0,0,0.106372561669016,0,0,0,0,0,0,0,0,0.107292583140495,0,0,0,0,0.00489601074831861,0,0,0,0,0,0,0,0.154623785086017,0,0,0,0.10071212323489,0,0,0,0,0,0,0,0,-0.057213813538486,0,0
X601818.CH.EQUITY,0.0150781331697816,0.0355764921028075,0,0,0,0,0.416884626615057,0,0,0,0,0,0,0,0,0.531991110824269,0,0,0,0,0,0,0,0,0,0,-0.00851160735123288,-0.041409398225348,0,0,0,0,0,0,0,0,0,0,0.00284255064292638,0,0,0,0,0,0,-0.0606386158990583,0,0,0,0,0
X601939.CH.EQUITY,0,0.063157827483437,0.496984196066292,0,0,0,0.0383548459035368,0,0,0,0,0.36241493828325,0,0,0,0,0,-0.0338589910482324,0,0,0,0,0,0,0,0,0,-0.0344249247399099,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0235076704953116,0,0,0,0,0
X601988.CH.EQUITY,0.10991131552182,0,0.0215779385452614,0.00875429891548606,0.273437902103939,0,0,0,0,0.270247218998037,0,0,0,0.0373517161816802,0,0,0,0,0,0,0,0,0,0,0,0,0.0853685367151648,0,0.096061795069533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0540186150335204,0,0,0,0
X601998.CH.EQUITY,0,0.0634237893528389,0,0.311921973320788,0.0133475121796958,0,0,0.0191900949874931,0,0,0.0852086355519343,0,0.25641021214632,0,0,0,-0.029721932178738,0,0,0,0,0,0.0797661341484575,0,0,0,0,0,0,0,0,0,0.224201856234028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109886365976289,0,0
X601658.CH.Equity,0,0,0,1.17094200960903,0,0,0,0,0.350414712007942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-0.0455193003431867,0,0,0,0,0,0,-0.0181275414010064,0.00310504407846787,0,0,0,-0.521393098521708,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0953589451629434,0,0,0,0,0,0,0.126893760373083,0,0.667466669482177,0.354788091003488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171431363535775,-0.0718207839100293,0,-0.0623264724411375,0,0,0,0,0,0,0,0,-0.132271573430554,0,0
X2388.HK.EQUITY,0,0,0.0626531148120829,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118619109712324,0.306922472304839,0,0.226673686894945,0,0,0,0,0,0,0.0391694686777625,-0.002147905402637,0,0,0.156550497988745,0,0,-0.0987052428581345,0,0,0,0.0331980585398549,0,0,0.0291405613079443,-0.0303046167932332,0.290901011587312,0.0514186272719538,0,0.0210291432089232,0,0,0,0,0
X5.HK.EQUITY,0,0.0708112897743112,0,0,0,0,0,0,0,-0.0197406778788415,0,0,0,0,0,0,0,0,0.621263056200114,0,0,0,0,0,0,0,0,0.19728606604137,0,0,0.0647546814450626,0,0,0,0,0,0.00156853974221276,0,0.124872654755928,0,0,-0.192820172551156,0,0,0,0.368910331152931,0,0,0.0998453828418457,0,0.0872427875165327
