,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298310595764041,0,0,0,0,0,0.371612966415704,0.321783886301194,0.0672956936791342,0,0.0396366751724176,0,0.225494553745362,0,0,0,0,0,0,0,0,0,0,-0.16020494084111,0,-0.0707786372406949,0,0,-8.67361737988404e-19,0,0,-0.036466461700751,0,0,0,0
X600999.CH.EQUITY,0,0,0.0745568788410687,0,0.109031663031698,0,-0.0361598237495367,0,0,0,0,0,0,0,0,0,0,0,0,0.119601400227621,0,0,0,0.159437668184668,0,0,0.380774913960691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987477434179404,0,0,0,0,-0.137329243016057,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.117766133234099,0,0.056861348987758,0,0,0,0,0.00555490409485858,0,0,0,0,0,0,0,0,0.0466976180972507,0.188261513873211,0,0,0,0,0,0,0,0,0,0.0436467457944614,0,0,0,0,0,0,-0.00150839688697629,-0.0144542274007043,-0.136470171751614,0,0,0,0.19341553494554,0,-0.20705271045369,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439401407833527,0,0.377835827911833,0.066175649312496,0,0,0,0,0,0,0,0,0,0,0.00910785398790799,0,0,-0.0780668345766728,0,0,0,0.0195229915898028,0,0,0.0905384782231905,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0363874438677232,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.42211052862279,0,0,0.0831285058032968,-0.0485703504657878,0,0.0199848996522,0.985496240668205,0,0,0.118160887564978,0.0528906473893849,0,-0.0808369303954432,0,0,0,0.00196426251519504,-0.253511610483387,0,-0.0579318879080175,0.229131384175629,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0879801388153012,0,0,0,0,0,0,-0.00299127722062389,0,0,0,0,0,0,0,0,-0.251475700913079,0,-0.0539653788839793,0,0,0,0,-0.100293279623686,0,-6.93889390390723e-18,0,0.342456415395934,-0.082778235267495,0,0,0,0,0,0,0.182236033156962,0,0.367515045677432,0,0,0,0,-0.0332787825985014
X601318.CH.EQUITY,0,0.0677386186128083,0.192188609513086,0,0,0,0,0.179452239719245,-0.248908135803082,0,0,0,0,0,0,0,0,0,0,0.0595782863669591,0,0,0,0,0,0,0,0,0,0,0,0.276883208256957,0.28838611967492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.0166183423667277,0,0,0,0,0,0,0.0657546785692114,0,0.0340684205455855,0,0,0,0,0,0,0,0,0,0.285367657930185,-4.33680868994202e-19,0,0.159458236810618,0,0,0,0.0289913953802673,0,0,0,0.104220114911411,0,0,-0.011525667894588,0.0525934035566634,0.0980144871936091,0,0.0313717395904058,0,0.153557460534684,0,0,0,0,0,0,0.103183128382243
X601336.CH.EQUITY,0,0.047459439563662,0,0,0,0.155523948711813,0,0.0397051548479631,0,0,0,-0.0547984347099552,0,0,0,0,0,0,0,0,0.240603746585017,0,0,0,0,0.00310504229351997,0,0,0,0.00361905131789829,0.306141271643227,0,0,0,-0.116135493927959,0.232159010470332,0.0570600398550026,0,0.150886247189219,0.279805070031137,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.184183114158319,0,0,0,-8.67361737988404e-19,0,0.120389105941228,0,0.225703691581334,-0.0936990264252677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359955858554178,0,0.13212100296639,0,0,0.11810894944427,0,0,0,0,0,0,0,0,0,0,0,0,0.0413397863799663,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.0115458196922815,0,0,0.149812130833049,0,0,0,0,0,0,0,0,0.0357537405284393,0,0,0,0,0,0,0,0,0,0,0,0.263822662765859,0,0.0588778442512122,0,0,0,0,0,0,0,0,0,0,0,0,0.0219767024629828,0,0,0,0.194166269180138
X1299.HK.EQUITY,-0.0341810245143645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169949456875378,0,0,0,0,0,0,0.0530034090779275,0,0,0,0,0,0.38516723214437,0,0,0,0.0206723302349012,0.137385014556769,0.166270908316775,0,0
X2881.TT.EQUITY,-0.0875363125140687,1.38777878078145e-17,0,0,0,0,0,0,-0.164316423765806,0,0,0.161969132374315,0.134849074949452,0,-0.0584254927712133,0,0.216657960326654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622405023331084,-0.0720536293305764,0,0,0.797041715674129,0,0.096344453403015,0,0,0.0154839484363387,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0376481478259654,0,-0.00607488053165409,0,0,0,0,0,0.0641833953886388,0,0,0,0,0,0.0156699777644765,0,0.0228604675043572,0,0,0,0,0.0716966769650829,0,0,0,0,0.280850519103243,0,0.0402994035677798,0,0,0,0,0,0,0,0,0,0,0,0.102744330998979
X000002.CH.EQUITY,0,0.116113831549985,0,0,0,0,0,0,0,0,0,0,-0.077506247144675,0,-0.131737388949065,0.417154272126856,0,0,0,0.202077101616838,0.115622238697444,0,0,0,0,0.100215478094891,0,0,0,0,-0.000331597201056739,0,0,0,-0.218893368822067,0,0,0,0,0.178960628687419,0,0,0,0,0,0,0,-0.0356965267801882,-0.113015909531055,0.17546942730807
X001979.CH.EQUITY,0.145263187064486,0.15782954159552,0,0,0,0,0,0.0368849733174616,0,0,0,0,0,0,0,0,0,0,0,0.161091811576524,0,0,0,0,0,0,0,0,0,-0.0723837450074071,0.15919256357901,0.304802273921749,-0.0401766928146221,0,0,0.0123231651314979,0,0,0,0.168658635241194,-0.0888029284092393,0.0774570391193078,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0.104318746923496,0,0,0,0,0,0,0,0,0,0,0,0,0.013044293361211,0.216236463444336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109383304159281,0,-0.42558878342121,-0.184816011574012,0,0.0140183581464087,0.596666228053097,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0.113057426198892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322615033368562,3.46944695195361e-18,0,0.178652502317171,-0.148161520277956,0.0954303587258516,0,0.145870818562884,0,0,0,0,0,0,0,0,0.0176427288083703,0,0.0263634295590302,0,0.365534702655961,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0.168448437648774,0,0,0,0,0,-0.217110688391391,0,0,0,0.281913490072643,0,0,-0.0620770022506609,0,0,0,0,0,0,0,0,0,0,-0.113721168498157,0,0,0,0,0.0115732644957913,0,0.255731593392162,0,0,0,0,0,0.187000411104635,0.0628600983999908,0,0.0358342517300405,0,0.0028299447520278,-0.0226179250191791
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.131537135104486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314096743060844,0,0,0,0,0,0,-0.0719850358527755,-0.016134251073177,0,0.396498097024383,0,0,0,0,0.129040537376116,0,0,0,0.394978421789977,0.117067206846944,0,0,0.0229795610283276,0.132263055740935,0.0139445223057675
X16.HK.EQUITY,0,-0.0454849813923587,0,0,0,0,-0.0505540267613417,0,0,0.10638996911674,0,0.0233733639042483,0,0,0,0,0.0997112765437066,0.210725264730045,0,0,0,0,0,0,0,0,0,0,0.153354215038415,0,0,0,0,0,0.0724506415634655,0,0,0,0,0,0,0.00865689541394084,0.163043247705213,0,0.259996168345448,0,0,0.0674221191128346,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0.00518718130172958,0,0,0,0,0,0,0,0,0,0,-0.0102518281999856,0,-0.091980080582261,0,0,0,0,0,0,0,-0.136882526324221,0,0,-0.00247576591050877,0,0,0.0339322233160465,0,0.245294512604094,-0.201935738215578,0,0,0.149718478657857,0.275240467892882,0.212494226608317,0,0,0.123349982762516,0,0.0820232669902329,0
X2007.HK.EQUITY,0,0,0,0,0,-0.0903694770889102,0.0593713771722832,0,0,0,0,0,0,0,0.00161359825016037,0,0,0.0305869722293361,0,0,0,0,0,0,0,0.290554019850245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090705322575377,0,0,0,0.548824604250785,0,0,0.0693460105731898,0.0229632010928675,0
X267.HK.EQUITY,0,0.0186770668335315,0,0,0,0.0858643456747662,0,0,0,0,0,0,0,0.0139209936082156,0,0.282438785494201,0.250901391758943,0.163686842981894,0,0,0,0,0,0,0,0,0,0,0,-0.0161114013111857,0,0,1.0842021724855e-19,0.0154054791762232,0.174420471059747,0,0,-0.181801125274062,0,0,0,0,0,0.181460972372498,0,0,0,0,0.0617660671720881,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361715686940307,0,0.0771160673009708,0,0,0,0.164048768993745,0,0,0,0,0,0,0.198700924397309,0,0,0.0205460363106214,0,0.000718535073357665,0,-0.185916343212836,0,0.265788956499934,0,0,0,0,0,0,0,0.107931815123008,0,0,0,0
X823.HK.EQUITY,0,0,0,-0.107197536686962,0,0,0,0,0,0,0,0,0,0,0,-0.100247701459796,0.139296760303926,0.357255298575003,0,0.0968194561237987,0,0,0,0,0.0911086365345139,0,0,0,0,0,0,0,0,-0.102958601943829,0,0,-0.0283125090357167,0,0,0,0,0,0.280286201826134,0,0,0,0,0,0,-0.00250649006809871
macro_return_add,0,-0.12723828041061,0,0,0,0.419641203693556,0,-0.314226514334348,0,0,0,-0.031107467756217,0.289721701562825,0,0,0,0,0,0.409206395428107,0.13912464267907,0.168107112763679,0,0,0,0,0,-0.168738065965998,0,0,0,0,-0.527410360572942,0,0,0,0,0.018703409409598,0.423197706460139,0,0,0,0,0,0,0,0,0,0,0,0
