,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X5880.TT.EQUITY,0,0,-0.259829827584702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217563167336477,0,0,0,0.541741689823297,0.0659761288667446,0.0429262492691724,0,0.0125558819357479,0,0,0,0,0,0,0,0,0.0894460827533974,0,0,0.096738960845721,0,0.0551976096616472,0.0342555532933701,0,0,0
X600030.CH.EQUITY,0,0.224714800546617,0,0.0276643198706798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146606764691947,0.0403537846707716,0,0,0,0.00736957761398192,0,0,-0.0873792688307091,-0.2172561204308,0,0,0,0,0,0,0,0,0,0.797258929189225,0,0,0,0,0,0.0577690162177072,0,0,-0.00739871606013726,0.0362140037289502,-0.184898467575429,-0.211547030494547,0
X600837.CH.EQUITY,0,0.143919795368167,0,0,0.29723264240215,0.141851978201486,0,-0.478219164623328,0,0,0,0,-0.226268242263128,0,0,0,0,0,0,0,0,0,0,-0.0128431312331312,0,0,0,0,0,0.0746605190512324,0,0.0319040786417594,0,0,0.168123112929445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.0884439042247985,0,0.143759535198691,0,0,0.0916158515338003,0,0,0,0,0,0,0,0,0,0,0,0,-0.010334448090402,0,0,0.0551644322574306,0,0,0,0,0,0,0,0.702660210210184,0.0577047949712438,0,0.0636977546818004,0,0,0.0255983453722984,0,0,0,0,-0.0425525335881413,0,0
X601688.CH.EQUITY,-0.0176067038109156,0,0,0,0,0,0,0,0,0,0,0.048603524766585,0,0,0,-0.0930587235115333,0,0,0,0,0,0,0,0,0,0,0.0508463891791459,0,0,0,-0.0362108686879302,0.10832708208688,0,0,0.537942433071118,0,0.359901256674493,0,0,0,0.00743383279193844,0,0.0628225084177274,0.0143547454402279,0,0,0.00895875834277949,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,-0.0182328912558116,0,0,0,-0.070437353226307,0,0,0,0,0,0,0.142670785878555,0,0,0,-0.0568146234561239,0.216906908457353,0,0,0,0,0,0.0671799750691372,0.0247213101003796,0,0,0,0.342533087209925,0.0455157845251945,0.00331768441115855,0,0,0,0.0776951710708081,0,0,0,0,0,0,0.113284031501689,0.101964514990319,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.100318409624836,0.136612939593839,0.0593737922976823,0,0,0,0.0530479372969002,0,0,0,0,0,0,0,0,-0.000885948425030747,0,0.146526746598772,0.0873669394119289,0,0.155870670568619,0,0,0,0,0,-0.0397837744526805,0,0,0,0.00170442353879608,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.084496930978613,0,0,0,0,0,0,0,0,0,0,0,0.0680115256609629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14794645565603,0.193788727023667,0,0,0.360980406550363,0.363086459371629,0,0.0735394091071508,0,0.0150482140068473,0,0,-0.269356720944731,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18852937526527,0,0.0748708250005997,0.0813943226534624,0,0,0,0,0,0,0.00322429547176167,0,0.240835813744748,0,0,-1.0842021724855e-19,0.0821271127872843,0,0,0,0,0,0,0,0,0.424503282094861,0,0.216548065390178,0,0,0.00949322995000699,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.154708372167664,0,0,0,0,0,0,0,0,0,0.0264956167234931,0,0,0,0,0,0,0,0.190036652757315,-0.189083378911119,0,0.0437655296000591,0,0,0,0,0,0,0,0,0,0,0.14342062190465,0,0.195641477700486,0,0,0.221349138975536,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.494812794333177,0,0,0,0,0,0,0,0,0,-0.0676364589286234,0,0,0.275599381890845,0,0,-0.133321517753864,0.102483027268341,0,0.18730443466603,0,0.143634852736843,0.107542485098708,0,0,0,-0.0636656832840428,0,0,0,0,0,0.124354558749008,0,0,0,0,0,0,0.231474814858107,0,0
X2881.TT.EQUITY,0,0,0,0,0.0621159850925853,0,-0.127562031590651,0,0,0,0,0,0,0,0,0,0,0,0.0635287100509394,0,0,0,0,0,0,0,0.160418869215309,0.229814859736356,0,0,0.131524585370784,0,0,0,0.222329267753991,0,0,0,0,0,0,0,0,0,0,0.416797014142368,0,0.144076254776011,0,0.00842067504090545,0
X2882.TT.EQUITY,0,-0.0235799837124929,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122848308746905,0,0,0,0,0,0.0874241376801809,0,0,0,0.153153543112804,-0.0555602867059073,0,0.0680059168019654,0.00425626197908759,0.0583640335373708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523987290446304,0,0.0559806997004465,0.114515616400509,0,0,0.00199052370970013
X2883.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454926125765713,0,0,0,0.0510706215608287,0,0.284863724880509,0,0.0781837454071854,0.104124357372579,0,0.195204611072194,0,0,-0.0620133432934311,0,0,0,0,0.086616627876798,-0.0913968437811693,0,0,0.0855039723257385,0,0.0924683780697359,0,0,0
X2888.TT.EQUITY,0,0,0,0.0729404253560292,0,0,0,0,0,0.0748006094461566,3.46944695195361e-18,-0.147554083823652,0,0,0.182399395370794,0,0,0,0.183207733271524,0,0,0,0.0235716000389444,0,0,0,0,0,0.583632933850205,0,0,0,0.0535176144952589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.106874483210585,0,0,0,0,0,0,0,0,0,0,0,0,0.0959035072666099,0.189405499897262,0.035221628086207,0,0.0680938520765672,0.00597146766010675,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.288530349694514,0.0723411784179584,0,0,0,0,0,0,0,0,0.0483841899383325
X267.HK.EQUITY,0,0.170934904499955,0,0,0,0.189753064648648,0,0.0486407205148271,0,0,0,0,0,0,0.122527004452601,-0.392145084795845,0,0,0,0.0232641050790574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444628847124273,0.0402221984501085,0,0,-0.158148563407393,0,0.196994795847199,0,0,0,0,0,0,0.281817339013938,0,0.289803720039251
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,-0.401860758215739,-0.190248918125076,0,0,0,0,0.109423648355098,0,-0.196050053306516,0,0,0.387344422790708,0,0,0,0.0358634941559266,0,0,0,-0.0652217244440259,0,0,0,0,0,0,0,0,0,0,0.152313025383655,0,0,0,0,0,0,0.283800139689932,0.118548993811439,0
