,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0.181940067107466,0,0,0,0,0,0.0559241261226298,0.0989886740554809,0,0,0.0476257024718067,0,0.424453391590218,0,0.0357345469093647,0,0,0,0,0,0,0,0,0,0,-0.140606346806007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242764298660274,-0.0468903213743639
X601398.CH.EQUITY,0,0,0.274525147247853,0,0.119117550284198,0,0.0037849552060736,0,0,0,0,0.198959652408249,0,0.162299662869171,0,0,0.040762992731423,0.161549301163165,0,0,0,0,0,0,0,-0.0271328051687905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032066697805952,0,0,0
X601577.CH.EQUITY,0.105683402493629,0,0,0,0,0,0,0,0,0,0,0.195344655420408,0,0,0,0,0,-0.0817917173991412,0,0,0,0,0.273095815626919,0,0,0,-0.138309688993934,0,0,0,0.129177573036508,0,-0.086448144197328,3.46944695195361e-18,0,0.319786716455643,0,0,0,0,0.181888206475011,0,0,0,0,0,0,0,0.0980350675854281,0,0
X601818.CH.EQUITY,0,0,0.107009817942059,0.0189959503563344,0,0,0.00327707745856263,0,0,0,0.148350568183285,0,-1.73472347597681e-18,0.21712513181243,0.0625764795074742,0,0,0,0.349407798027551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758347356020856,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0.0470160624203003,0.23868303933617,0,0,0,0.0116074911869117,0.220389101290566,0,0,0,0,0,0,-0.237729891050632,0.117528320450548,0,0,0,0,0,0,0,0,0.52278506538441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122988491873795,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.370000428984333,0.0801622545776546,0,0,0,0,0,0,0,0,0,0.0308697455095362,0.135415157997883,0,0,0,0,0,0,0,0,0,0.00703118183554479,0,0,0.000830840397854962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633914765398033,0,0,0,0,0.0152887346694034,0,0
X601988.CH.EQUITY,0,0,0,0,0.256497400897362,0,0,0,0,0,0,0,0.134841270720367,0.144591520974581,0,0,0,0,0,0,0,0.145573949225724,0.0978422981934812,0,0,0,0,0,0,0.0460637245044358,-0.0158756822766074,0,0,0,0.0403520450531537,0,0,0,0,0,0.249589429672676,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.240179781836409,0,0,0,0,0.0481009324286193,0,0,0,0,0,0,0.250317722846668,0,0.0124353627209679,0.0482006819286054,0,0.13162699258297,0,0,0,0.0812241751764574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129184042018664,0,0,0,0.037857347022466,0,0,0,0,0
X601658.CH.Equity,0,0.0628793117107172,0,0,0,0,0,0,0,0,0,0,0.0218196240191915,0,0,-0.0736859221073914,0.218867346802086,0,0.154442361861717,0,0.16532961496726,0,0,0,0,0,0,0,0,0,0,-0.0418672714692332,0,0,0,0,0,0,-0.0747080170247907,0.147169448844222,0,0,0,0,0,0,0,0.149235165614664,-0.110305677794539,0.0970197961408152,0.0617267737445188
X601916.CH.Equity,0,0,0,0.154096573950873,0,0,-0.252078015916983,0,0,0,0.184614906263216,0.638541213570791,0,0,0,0,0,0,0,0,0.064295798608905,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723806938253994,-0.116676839151958,0,0,0.0725649516053275,0.0818521219136809,0,0,0,0,0.125594326868885,0,0.249921926392019,-0.0283153816456806,0,0,0
