,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.17557134753545,1.73472347597681e-18,0,0,0.103933402878733,0.212679236078211,0,0,0,0,0,0,0.0142580480843575,0,0.207908505880189,0,0,0,0,0,-8.67361737988404e-19,0.0888699541652397,0,0,0,0,0,0,0.0753283485259462,0.055435302541092,0.0892784323451252,0,0,0,0,0,0,0,0.0263902188289129,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,-5.55111512312578e-17,0,0,0,0,0.861663385988533,0,0,0,0,0,0,0,0,0,-0.0151454807139276,0.142226318283736,0,0,0,0,0,0,0,0,-0.0439247559136878,0,0,0,0,0.0560629364795323,0,0.178924915051861,0.0560038462826376,0,0,-0.0752962020394117,-0.28345639338787,0,-0.0407052235890215,0,0,0.0174031505397025,0,0,0,0,0,0,-1.73472347597681e-18,-0.0679177818956305
X600000.CH.EQUITY,0.0810242400059794,0,0,0,0,0,0,0.53064183225476,0,0,0.188341486896225,0,0,0,0,0.105490197252621,0,0,0,0,0,0,0.0803412714971513,0,0,0,0,0,0,0,0,0,0,0,0.00766004763739791,0,0,0.0211058748056575,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.360200492472244,0,0,0,0,0.0769024245464507,0,0,0,0,0.0229817385653463,0.061827601439525,0.0320161392126858,0.137027756695939,0,0,0,0,0,0,0,0,0,0.135764042341897,0,0.0320778990062803,0,0,0,0,0,0,0,0,0,0,0,0.0729476938898303,0,0,0,0,0.0280440592763791,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.100591482299004,0.0321914037781972,0,0,0.455511310385292,0,0,0,0,0.0737282250184065,0,0,0,0,0,0,0,0,0,0,0,0.261007351726267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315728018236274,0,0.0549553249830561,0,0
X600036.CH.EQUITY,0.175109739047409,0,0,0,0,0,0.264248185852137,0,0,0,-1.38777878078145e-17,0,0.114961088532274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919026287262121,0,0,0,0,0,0,0,0,0.220907305310493,0,0,0.0676689857404952,0,0,0,0.0745135257381586,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.114201545167514,0,0.451771318370732,0,0,0.0104255285125469,0,0,0,0.361374872072107,0,0,0.0983299391510941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0840101085523085,0,0,0.0494842884063772,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0485475928406352,0,0.261144580104385,0.0187782343736129,0,0,0,0,0,0,0.175360791008176,0.208372095144467,0,0,0,0,0,0,0,0.00757056326359201,0,0.120782181154636,0,0,0.0805528489433865,0,0,0.0600078340935067,0,0,0,0,0,0,0,0,0,0,0,0,0.0312044740333892,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0772574799312998,6.93889390390723e-18,0,0,0,0.275165130753369,0.0830864556978288,0,0,0,0,0,0.0382448348318113,0,0,0.0606919221033918,0,0,0,0,0,0,0,0,0,0,0.22024231993822,0,0,0,0,0,0,0,0,0,0,0,0.135947771288549,0,0,0,0,0,0.0928077609446677,0.0166170743910044,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0,0.0138438066869347,0,0,0,0,0.333428543607432,0,0.0166300471636893,0.502911516661359,0,0,0,0,0,0,0,0,-0.0200700418428311,0,0,-0.0139843204866222,0,0,0.0434304777658389,0,0,0,0,0,0,0.104125176828866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
