,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.114101582848961,0,0,0,0,0,-0.00170857509626669,0,0,0,0,0,0,0,0,0,0,0,0.134503587200755,0,0.376274047148896,-0.121030836796412,0,0.0668875999137528,0,0,0,0,0.232329166409474,0,0,0,0,0,0,-0.231395342552123,-0.0317569521067869,0,0,0,0,0,0,0,0,-0.132397038007233,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.141522391212782,0,0,0,0,0,0,0,0.0738616254371886,0,0,0,0,0.281024679193898,0,0,0,0,0,0,0,0,0,0.118192529087022,0,0,0,0,0,0,0.26049412538093,0,0,0,0,0,0,0,0,0.0420144138474614,0,0,0,0,-0.020836278257538,0,0.119632736128328
X601939.CH.EQUITY,0,0,0,0.802619200759666,0,0.0376026768221821,0.046859146550218,0,0,0,0,0,0.0347170632357367,0,0,0,0,0,0,0,0,0,0.0142004733135761,0,0,0,0,0,0.00569655865534649,0,0,0,0.0725540770421996,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.00174523575877681,0,0,0,0,0,0.0111080645617109,0.0459614908070725,0,0,0.0103511712810698
X601288.CH.EQUITY,0,0,0.913451948660933,0,0,-0.0661822655503352,0,0,0,0,0,0,0,0,0,0,0,0.114842011848781,0,0,0,0,0,0,0,0,-0.0147924259641706,0.0594784483706721,0,0,0,0,0,0,0,0,0,0,0,-0.104130165650819,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0486294119103227,0,0
X601988.CH.EQUITY,0,0,0,0,0,-0.0847537006567594,0,0,0,0,0,0,1.06608243264217,0,0,0,0,0,0,-0.255062056828149,-0.157555371316829,0,0,0.151518549873967,0,0,0,0,0,-0.00356880661853284,0,-0.0376896493525042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300444730164967,0.128464089529128
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.777543894135862,0,0,0.0537312117384587,0,0,0,0,0,0,-0.0108879256216778,0.122931311367378,0,0,0,0,0,0,0,-0.034831126975291,0,0,0,0,0,0,0,0,0,0,0,0,0.034118400692079,0,0,0,0,0,0,0.103844735468144,0,0.147226618455075
X600036.CH.EQUITY,0,0,0.327311825589312,0,0,-2.71050543121376e-20,0,0,0,-0.0219517675880279,0,0,0,0,0,0.171835178897638,0,0,0,0.0308612032750152,0,0,0,0,0,0,0,0.130733995493853,0.110577201570203,0,0,0.275789935960306,0,0,0,0,0,0,-0.0281727004662216,0,0,0,0,-0.0101504302386117,0.0346892688140604,0,0,0,0,0,0.0805806005521813,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.357214311959421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20383724192117,0,0,0.00355037828973578,0,0.0465528839785362,0,0.232432817695851,0,0,0.127212322757777,0,0,0,0,0,0,0,0,0,0,0,0,0.485958525759876,0,0,0.021440297482644,0.0790196956960445,-0.0497026369255049,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382029100749281,0,0,0,0,0,0,0,0,0.466793527231662,0,0.0818386659447431,0.0051447791373596,0.297043630208735,0,0,0.0120493109012539,0,0,1.38777878078145e-17,0,-0.330968354885417,0,0,0,0,0.125099819849959,-0.081345112042679,0,0,-0.0708648985539749,0,0,0,0.155383721667963,0,-0.12027895698935
X388.HK.EQUITY,0,0,0,0,0,0.458119231610351,0,0,0,0,0,0,0,0,0,0,0,0,-0.433008266231808,0,0,0.123628674094791,0,0,0,0,0.267950943860222,0,0,0,0,0,0,0,0,0.190737471982456,0,0,-0.0514740158183433,0,0,0,-0.214521939704883,0,0,0,0.0048654301095483,0,0,0,-0.0398816125643687,0,3.46944695195361e-18
