,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.238416372951057,0,0,0,0.342685396866398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263300126112803,0,0,0.0170098988327402,0,0,0,0.0119171209978905,0.0790279205506849,0,0.0778375081330933,0,0,0,0,0,0,0,0,0,0,0,0,0.0107856722042625,-0.092271356658782,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.10085874605696,0,0,0,0,0.188838320641917,0,0.0165005421482837,0,0.221920224397653,0.000834947079991544,0,0,0,0,0.086959305052934,0.139423747442484,0,0.0704826060967168,0,0,0,0,0,0.167993106726341,-3.46944695195361e-18,0,0,0.0182664708394222,0,0,0,0,0,0,0,0,0,0,0,0.130646726666453,0,-0.0638633347389974,0.00896793263820116,0.0180986575963885,0,0,0,0,0
X600036.CH.EQUITY,0,0.0113576466034022,0,0,0,0.186656751145843,0,0,0,-0.0755421586522611,0,-0.0629559854508669,0.0983417703182158,0,0,0,0.0955477474866581,0,0.133489238625222,0,0,0,0,0,0,0.413966208849788,0,0,0.0933000692660098,0,0,0,0,0,0,0,0,0,-0.0908248045323702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114765680089022
X601939.CH.EQUITY,0.525702537332983,0.109525861069609,0,0,0,0,0,0,0.129889411692987,0,0.199391386706204,0,0,0,0,0,0,0.147279331045379,0,0,0,0,0,0,0,0,0,0,0.16162812820649,0,0,0,0.0152829311003064,0,0,0,0.00285315877793699,0,0.0805462659664164,0,0,-0.109341389322261,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0762147878791824,0,0.0748467291397759,0,0,0,0.511675912692454,0,-0.0323897600207902,0,0,0,0,0,0,0,0,0.0629837019515941,0,0,0,0.0677489966095065,0,0.0302645974389117,0,0,0,0.0240484777554823,0,0,0,0.00855994730208617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647577823182959,0.103051378138536,0,0,-0.0340528990534782
X1299.HK.EQUITY,0,0,0,0,-0.050503563331156,0,0,-0.0715030921402953,0,0.141616256772989,0,0,2.16840434497101e-19,0,0,0.0342620106911761,0,0,0,0,0,0,0.135931825999969,0,0,0,0,0,0,0,0,0,0.0749000318683815,0,0.0122109559547445,0,0,0,0,0.183877420991446,0,0.145516050231228,0.0932342865126168,0,0,0,0,0.0165679505929989,0.298127701855799,0,-0.111769581537921,0,0
X601628.CH.EQUITY,0,0,-0.0640474007367342,0,0,0,0,0,0,0.196346397638626,0,0,0,0,0.0123350405485511,0.0982371235376833,-0.0112951705698499,0,0,0,-0.0627786508793665,0,0.147908117436322,-0.0583568253926445,0,0,0,0,0,-0.0264350479815607,0,0,0,0,0,0,0,0.36964463933687,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0350131060742208,0
X601988.CH.EQUITY,0.104488225197345,0,0,0,0.410394753249069,0,0,0,0,0,0,0.0769632506924519,-0.016582876392013,0,0,0,0,0.150817136663807,0,0,0,0,0,0,0.0386456577341626,0,0,0,0,0,0,0,-0.131019507930332,0,0,0,0,0,0,0,0,0.120227741245155,0,0.15157713396201,0,-0.029555103413728,0,0,0,0,0,0,-0.0624992957393454
X5.HK.EQUITY,0,0.156537227908651,0,0.0416312775376776,0,0,0,0,0,-0.0949626938573713,0.0596958714433151,0.0691831511325466,0,0,0,0,0,0,0,0,0,0,0.108984750310063,0,0,0,0.175428785404238,0,0,0.0853323341580036,0,0,0.0209166997547322,0,0,0,0,0,0.30141637128,0,0,0,0,0,0,0,0.0401813460194246,0,0,0,0,0,-0.120016635755692
X388.HK.EQUITY,0,0,-0.0803833767485797,0,0,0,-0.0953099679959657,0,-0.0720078845688237,0,0,0,0,0,0,0,0,0,0,0,-0.0133782038080529,0,0,0,0,0,0,0,0,0,0,0,-0.200150516824947,0,0,0,0,0.0936275943418108,0,0,0,0,0,0.464605636356501,0.0508676991714315,0,0,0,0.123306131433574,0,0.134248687616712,0,0
