,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0332469153824397,0,0,0,0,0,0,0,0,0,0,0,0,0.508757809284808,0.758986030281498,0.0106757508540864,0,0,-0.110857200794205,0,0.218614800079429,0,-0.226725256434622,0,0,-0.320921178961025,0,0,0,0,-0.0453912350132203,-0.05852061549796,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.222599220208672,0,0,0,-0.0194187032190889,0,0,0,0,0,0.0200827878641713,0,0.136662962985899,0,0,0,0,0,0,0,0,0,0,0.0262011825968008,0,0.0827338303463501,0,0,0,0,0,0,0.221643587190347,0,0,0,0,0,0,0,0,0.0729881810851313,0,0,0.195216072432453,0,0,0.115014846284983
X601939.CH.EQUITY,0,0,0,0.818258877373588,0,0,0.028811209059479,0,0,0.0268314240822432,0,0,-0.0472738594821394,0,0,0,0.0668759967244043,0.0698262979383188,0,0,0,0.00569536051698823,0,0,0,0.0649630771913664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0442603931845826,0,0,0,0
X601288.CH.EQUITY,0.0110863845890536,0,0.908233418702976,0,-0.0710403629806813,0,0,0,0,0,0,0,0,0,0,0,0,0.13645081986856,0,0,0,0,0,0,0,0.0590159273352298,0,0,0,0,0,0,0.00177355442283878,0,0,0,0,0,0,-0.0805865374658601,0,0,0,0,0,0,-0.0211847935694193,0,0,0,-0.0552009608279866,0,0
X601628.CH.EQUITY,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0551057598492387,0,0.343105920680159,0.0321459148870765,0,0,0,0,0,0,0,0,0.0832407609324425,0,0,0,0,0,0,0,0,0,0,0,0,-0.0813788374605021,0.468267276010019,0,0,0,0,0,0,0,0,0.0296064189082314,0.0504028422821852,0,0,0,0,0.178719258743619,0.1647659525619,0.111908801918142
X600036.CH.EQUITY,0,0,0.36275422505235,0,0,0,0,0,0.0218705717934992,0,0,0,0,0,0,0,0.142288774743034,0,0,0.00457668712189355,0,0,0,0,0,0.166213304018501,0,0,0,0.226737552108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403282328283143,0.0226319985579718,-0.00297442817165656,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00124074904481178,-0.145663069437141,0.0805427951427152,0,0.0276812802737708,0,0,0,0,0,0.037486125216687,0,0,0,0,0,0,-0.074607364297259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10609852977457,0,0,0.0105587449960754,0,0,0,0,0,0,1.01453027639652,0,0.0371455114456131,0
X1299.HK.EQUITY,0,0.0929637752030787,0,0,0.176815571299214,0,0,0,0,0.250057714437629,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214901592294541,0,0.33982439186626,0,0,0.218154113358069,0,0.123360571844828,0.123324100672646,0,0,0,0,0,0,0,0,0,0.118812839810116,0,-0.0998347601263865,0.0138361055567512,0,0,0,0,0,0.0968905423868109,2.71050543121376e-20,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875236965165211,0,0,0.291711643660685,0.411866831809393,0,0,0,0,0,0,0,0,-0.0796442889979911,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.150240757771441,0,0,0,0,0.203271836564448,0,-0.0714530275584945
X388.HK.EQUITY,0,0,0,0,0.340196127460358,0,0,0,0,0,-0.131455949410432,0,0,0,0,0,0,0,-0.226562120534788,0,0,0,0,0,0.449046397699529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0615535414969135,0,-0.152349103448183,0,0.0399039056434438,0.224352747851644,0,0,0.0416411005452008,0,-0.131856659667517,0,0
X601658.CH.Equity,0,0,0,0.219249920002314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280552676189285,0,0.0335086651357877,-0.0755198864493202,0,0,0,-0.0503173284419873,0,0,0,0,0,0,0.0581019537386964,0,0,0,0,0,0,0,0,0,0.289089797350653,0,0,0,0,0,0,0,0,0,-0.00206722426421661,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.0164474968129358,-0.0827549627299069,0.0579681841703433,0,0,0.274451380313485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197299437384384,0,0.0671321517031042,0,0,0,0,0.0853804282808669,0,0.0825028164367324,0,0,0.0696516954624792,0.242473881119456,0,0.0181806349082666,0,0,0.0769694220629146,0.0402776501153939
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.55396228767523,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389409143471854,0,0,0.14786434172002,0,0,0,0,0,0,0.0169054724738691,0.142183276726532,0,0,0,0,0,0,0.0725025483204028,0,0,0.027010050185815,0,0,0,0,-0.033170986989124,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.202826560780286,0.150026121296839,0,0,0,0.0532538794079878,0,0,0,0,0,0.00960055529214686,0,0.0350176775150128,0,0,0.0701558616006064,0,0,0,0,0,0,0,0,0,0,0.00633558183028193,0,0.0202345217484791,0,0,0,0.0175522757872221,0,0,0,0,0,0,-0.00737229164419978,0,0,0,0.486666980215505,0,0,0
X601328.CH.EQUITY,0,0,0,0.0475476684143315,0,0.106287134744836,0.0198714916290979,0,0,0,0,0,0,0,0,0,0.0307291284367656,0,0,0,0,0.385651682296368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240869104398607,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.180905436515586,0,3.46944695195361e-18,0,0,0,0.118054130709843,0,0,0.141862949354149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350097813373512,0.100289155543854,0,0,0.0570106269300203,0.436226367310176,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0767334182287315,0,0,-0.0541171543313262,0,0,0,0
X600000.CH.EQUITY,0,0,0.175608110093946,0.145117363550224,0,0.168773085213681,0,0,0,-0.0139485545092777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121124770602556,0,0,0,0,0,0,0,0,0,0.267709315454154,0,0,0,0,0.70173197317711,0,0,0.0805314268492249,0,0,0,0,0,0,0,0,0,0
