,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,2.77555756156289e-17,0.111133609343646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41921912197019,0.364394223341888,0.00197085429062296,0,0,-0.265174046545819,0,0.323677001249954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155526171752432,0,0,0.0115622308286788,0
X601318.CH.EQUITY,0,0,0,0,0,0.16795288025528,0,0,0,0,0,0,0,0,0,0,0,0.0743180358733594,0.0598285879491151,0.0618990585817334,0,0,0,0,0,0,0,0,0,0,0.0244717707861097,0.0592923589326122,0,0,0,0,0.229407535884845,0,0.0682144054644291,0,0,0,0,0,0,0,0,0,0,0.198448993639947,0,0,0.108073583870607
X601939.CH.EQUITY,0,0.0684939687103027,0,0.804172927651958,0,0,-8.67361737988404e-19,0,0,0.00205463592515536,0,0,0,0,0,0,0.0829078069790033,0.0184499084540587,0.0584022072159715,0,0,0.00323235620659546,0,0,0,0.0104619658692695,0,0,0,0.00997685013615166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0764282550989813,0,0.970968566501478,0,-0.0297446093436422,0,0,0,0,0,0,0,0,0,0,0.0619632549155222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112743348177579,0,0,-0.0264333949305585,0,0,0,0,0,0,-0.053037134929209,0,-0.117291119451135,-0.0462917067024323,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.397607780533157,0.0109281232087432,0,0,0,0,0,0,0,0,0.0919911220461455,0,0,0,0,0,0,0,0,0.00611536020162844,0,0,0,0,0.3081972729928,0,0,0,0,0,0,0,0,0,0.111175649596762,0.0474371767320972,0,0,0,0,0,0.0785467878110079
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0610690934917774,0.142572344401008,0,0,0,0,-0.0504975944843342,-0.0775536513624468,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109926750195828,0,0,0,0,0,0,-0.0500678927729655,1.07565177684475,0.0163125146637709,0.00378696373838096,0
X1299.HK.EQUITY,0,0,0,0,0.154919176920055,0,0,0,0,0.132247384774349,0,0,0,0,0,0,0,0,0,0,0,0,-0.20469338833265,0,0,0.414951621616711,0,0.0824016961198172,0.160100680174911,0,0.375279238103611,0.0953587990596268,0,0,0,0,0,0,0,0,0,0,0,0,-0.168259195024235,0,0,0,0,0,0.0899656345860829,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938283746584709,0,0,-0.103604763348568,0,0,0,0,0,0,0.359171864830279,0.394501889635384,0,0,0,0,0,0,0,0,-0.0484977909206162,0,0,0,0,0,0,0,0.0352799442109344,0,-0.0820112198214159,0,0,0.1745843111862,0,0.198833316427134,0,-0.0662422754682826
X388.HK.EQUITY,0,0,0,0,0.303441314542495,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0268323060294176,0,-0.101418429856508,0,0,0,0,0,0.36398954949989,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.111131679436702,-0.153154035828386,0.22832546992648,0.0967007279729206,0,0,0,-0.138113422554519,0,0.0990267887149306
