,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.305450856318953,0,0.310814257964061,0,0.145262049797802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365330018506269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367264633067993,0,0.0844592355309673,0,0.06606463240472,-0.0356663610741984,0
X601939.CH.EQUITY,0.392752101891466,0,0,0.204124447651212,0,0,-0.133520105493644,0,0,0,0.00932634936145359,0,0.136189888459953,0,-0.0718040006256538,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00667809002708414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23523090312191,0,0,-0.0596885886185288,0,0
X601318.CH.EQUITY,0,0,0,0,0.22957680672354,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.167092315923731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251254044182743,0,0,0,0,0.185564214470555,0,0.00281261594985458,0,0,0.0295937023285807,0,0.119901762236313,0,0,0
X601288.CH.EQUITY,0.380242074847181,0.115423703085368,0,0,0.180831941567833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141906329946361,0,0,0,0,0,0,0,0,0,0,0,0,0.051130443959757,0,0,0,0.0690057889754583,0,0,0,0.0737919414874622,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.375503356267775,0,0,0,0,0,0.249651538032109,0,0,0,0,0,0.335636561435716,0.0849009772786259,0,0,0,0,0,0,0,0,0,0,0.00259213693330517,0,0,0,0,0,0,0,0,-0.349976114782337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.447832682359168,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0466416113251325,0,0,0,0,0,0.0471920068231842,0,0,0.0905016602765744,0,0,0,0,0.0698595383282534,0,0,0,0,0,0,0,0,0,0,0.197048944193845,0,-0.0238549944929593,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0704493017456289,0,0,0.0632737424184605,0.126605008056804,0,0,0,0,0,0,0,0,0,0.0220068214489862,0,0,0,0.15495001873312,0,0,0,0,0,0,0,0,0.217842610133351,0,0,0,0,0,0,0.0858959361574468,-1.73472347597681e-18,0,0,0.129369100210618,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.128324904044198,0,0,0,0,0,0,0,0,0,0,-0.0122006836211433,0,0,0,0,0,0,0,-0.376635846220798,0.745302789034465,0,0,1.38777878078145e-17,0,0.50050049165635,0,0,0,0,0,0,0,0,0,0.381343595531294,0,0,0,0,-0.0932552394851812,0,0,0,0,0,0,0,-0.0599154841465104,0
X601628.CH.EQUITY,0.0601297656887015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151641028664385,0.0240099400848206,0,0,0.0647030044962969,0.0139779352226815,0,0,0.0143462393844229,0,0.128498439083301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13250092193176,0.129790197080839,0,0,0,0,0.0477820980623184,0.012610908094857,0,0.110217327603277,0,0.0144634422722608
X601658.CH.Equity,0,0,0,0.0933302998278762,0.0693785703230096,0,0,0,0,0,0,0,0.138289671480529,0,0,0,0,0,0,0,0,0.0726442602995904,0,0,0,0,0.184754593581207,0.181026742956149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315821310619311,0,0,0,0,0
