,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0135002191056415,0,0,0,-0.0500210169334864,0.0718148514307784,0,0,0,0,0,0,0,0.354596587602129,0,-0.198110572158165,0,0,0,0,0,-0.175483882083092,0,0,0,0,0,0,0.152195229303859,0,0,0,0,0.657574387176375,0,0,0,0,0,0,0,-0.00661110190790384,0,0.0579445966303901,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0233861430065973,0.10431946117107,-8.67361737988404e-19,0,0,0,0,0,0,0.0715387945313747,0,0.0830343276023804,0.0536332008219752,0.0212357526505616,0,0,0,0,0.0830373746113038,0,0.0425147869259075,0,0,0,0,0,0,0,0.274109352783428,0,0,0,0,0.215828454911907,0.0133396215900275,0,0,0.0461693274048612,0,0,0,0,0,0,-0.0240417245266739
X601939.CH.EQUITY,0.296126293941488,0,0,0,0,0,0,0,0,0.0456445141996839,0,0,0,0,-0.00105661693216513,0,0,0,0,0,0,0,0.093901448073456,0,0,0,-0.181370109927159,0,0,0,0,0,-0.0167408165355626,0,0,0,0,0.0174501905913802,0,0.541673651766188,0,0,0,0,0,0,0,0,0,0,0,0.123762420751502
X601288.CH.EQUITY,0,0,0,0,-0.127282311143822,0,0,-0.0407932880631828,0.0767308212875473,0,0.354783791767574,0,0,0.32692100009072,-0.0662440903088682,0,0,0,0,0,-0.107328262341671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031537115780847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.117380590457504,0,0.351798845901264,0,0,0,0,-0.0191717332088432,0.308966533830164,0,0,0,0.0727895400534619,0,0,0,0,0.0979199057358384,0,0,0,0.0380745302680249,-0.178311504688308,0,0,0,0,0.111749026097881,0,0,0,0,0.0572119366655484,0,0,0,0,0,0,0,-0.245632903519579,0,0,0.15032793436257,0,0,-0.00929841396059517
X601988.CH.EQUITY,0,0,0,0,0.345770897183996,0,0,0,0,0,0,0,0,0.107633590967088,0,0,0,0.171461802643967,0,0,-0.0576200855043622,0,0,0,0.175491584034549,0.0187591711776659,0,0,0,0,0,-0.33774407576728,0,0,0,0,0,0,0,0,0,0,0,0,0.0139634964364958,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.133284856157843,0,0,-0.000393016921155705,0,0,0,0,0.480890149108954,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.226763257298712,0,0,0,0,0,0,0,0.125930947342098,0,0,0,0,-0.211141946044673,0,0,-0.155912072636351,0,0,0,-0.00882910456861613,0,0,0.209649146474999,0,-0.0239221999836628,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.331471111883716,0,0,0,0,0,0,0,0,0,0,0,0,0.0686019475165002,0,0,0,0,0,0,0,0,0.196426401778023,0.0651082816622466,0,0.0384314139084319,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18487851085662,-0.100493316177031,0,0.149838076523112,0,0,0,0,0
X601628.CH.EQUITY,0,0.277405872722086,0.0111864232231459,0.0451863054205455,-0.109375875467648,0,0,0,0,0,0,0,0,0,0,0,0.246275547051343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133870560500683,0.08292166026587,0,0,0,0,0,0.161106419903985,0,0.083838459094567,0.0968084034467832,0,0,0,0,0,0,-0.00396812750070125
X601328.CH.EQUITY,0,0,0,0,0,0,0.717048889801511,0,0,0,0,0,0,0,0,0.0897007929085858,0,0,0,0,0.135994733633953,0,0,0,0,0,0.0844712000694162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679944388205089,0,-0.216607356376456,0,-0.0453690671080398,0,0,0,-0.0452420680857735
