,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.113012387456305,0,0.0508505416338071,0,0,0,-0.0756058147934763,0,0,0,0.495999581241785,0,0,0,-0.0722029323774124,0,0,0,0,0,0,0,0,0,0,0,0,0.0561496544557465,0,0,0,0,0,0,0,0.088778927586659,0,0,0,0,0,0.21624724023318,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0577251556120932,0,0.127409829464888,0,0,0.122796362508386,0,0.100651408183764,1.38777878078145e-17,0,-0.101425987008296,0.111035935372724,0,0,0,0,0,0,-0.0703556059820387,0,0,0,0,0,0,0,0,0,0,0,0,0.163229972852378,0,0,0,0,-0.222106037339689,0,0.315845447398587,0.175011610483557,0.1716482386224,0,0,0,0,0,0.228623080872824,0,0,0
X601939.CH.EQUITY,0.33711466840414,0,0,0.288726940731629,0,0.0969878542417953,0,-0.0381360097928224,0,0,0,0,0,0,0.140824953307237,0.0375695962632717,0,0,0,0,0,0,0,0.0696564193797022,0,-0.0741640046177188,0,0,0,0,0,0,0,0,0,0,-0.0981966435730922,0,0,0.320401243334027,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.419633122102289,0,0.104792232004987,0,0,0.208579324766658,0,0,0.0737281261198906,0,0,0,0,0,0,-0.0471777956039948,0.0573925400922967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159944097447707,0,0,0,0,0,0,0,0,0.176773495067201,0,0,0,0
X5.HK.EQUITY,0,0,0,0.250746388766262,0,0.109641144348125,0,-0.334994936543337,0,0,0,0,0.0549270678475578,0,0,0,0,0,0,0,0.471329273394659,0,0,0,0,0.39919701408308,0,0,0,0,0,0,0,0.0353779397899873,0,0,0,0,0,0,0,0,0,0,0,0,0.20395047906907,0,-0.106652158926735,0,0,0,0
X601988.CH.EQUITY,0.164540622229576,4.33680868994202e-19,0.258551518281188,0.0372539929812596,0,0,0,0,0.111840424307658,0,0.125784464751219,0,0,-0.22279898172092,0,0,0,0,0,0,0,0,0.0482902687057191,0.197368152913888,0,0,0,0.0316171105273601,0,0,-0.0513351704100039,0,0,0,0,0,0.0325879931520004,0,0,0,0,0,0,0.114893403002033,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.144001804050736,0,0,0,0,0.16243909941871,0,0.338414850514038,0.100907145958097,0,0,0,0,0.142815128095413,0,0,0,0,0,0,0,0,0,0,0.097643099084558,0,0,0.0311589086445789,0,0,0,0.0897345484379417,0,0.0109002968249593,0,0,0,0,0,0,0.00945378538070722,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0282730811486619,0,0,0,0.179918990824132,0,0,0,-0.144994667005528,0,0,0,0,0.295989971956865,0.304614841113343,-0.060875422846676,0,0,0,0,0,0.146130570885853,0,0,0.0865011529603452,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00797586429900939,0,0.0863300774162558,0,0,0,0,0,0.0253799355086768
X601628.CH.EQUITY,0.25781003014281,0.225085073539884,0,0,0.0199044656808688,0,0,0,0,0,0.0208312811729367,0,0,0,0,0,0,0.00292281416376626,0,0,0,0,0,0,0,0,0,0.0426417080940539,0,0,-0.00395545790726516,0,0,0,0,0,-0.026060514389933,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0313971322727746,0,0,-0.164582649653937,0,0,0.152942736584182
X601658.CH.Equity,0,0,0,0,0,0,-0.0528932292750056,0,0.0773958386119786,0,0,0,0,0,0,-0.190247776550719,0,0.0420498146000045,0,0,0,0,0,0,0,0,0,0,0,0,0.118839185611303,0,0,0,0,0,0,0.0611162131369838,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517720314927074,0,0
