,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,-1.73472347597681e-18,0,0.181198442267272,0.112309695072135,0,0.321834801182331,0,0,0,0.0165736563966075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230577075382512,0,0,0,0.0902773547822409,0,0,0,0.105091084799663,0.0538366702286689,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379720138549131,0.00227388890237854,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0444655703529852,0,0,0.226032111559377,0,0,0,0.276297953911452,0.0355524389611735,0.0108425199296692,0,0.0436448382615821,0,0,0.185439485263273,0,0,0.015110152647887,0,0,0,0,0,0,0,0,0.0994963718102623,0,0,0,0,0.214385239311152,0.0324117689193627,0,0,0,0,-0.0355660734967638,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.136698686721869,0,0,0,0,0,0,0.0987732282610637,0,0,0.0210467796604289,0,0,0,0,0,0,0,0,0.044299545447556,0.348049986226155,0,0.135982719794624,0,0,0,0,0,0,0,0,0,-0.121888960264077,0,0,0,0,0,-0.0569935013558255,0,0,0,0,0,0.0847117617147753,-0.08091839922957,0,0
X601939.CH.EQUITY,0.560162704254029,0.0711536951746301,0,0,0,0,0,0,0.159867775624967,0,0,0,0,0,0,0,0,0,0.0917314632114104,0,0,0,0,0,0,0,0,0.122250361359646,0,0,0,0,0,0,0,0.115188982300752,0,0.067754609332698,0,0,0,0,0,0,0,0,0,0,0,0.143537121766349,0.0560393777264729,0,0
X601288.CH.EQUITY,0,0,0,0.176815174184448,0,0,0.4497765460739,0,0,0,0.0159794368547802,0,0.0201427238279155,0,0,0,0,0.0859751087118724,0,0,0,0.00780208386369594,0,0,0.0471243927780545,0,0,0.0456079906331955,0,0,0,0,0.0832317442524831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044459167942846
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.107660533501283,0.259989485597563,0,0,0,0,0.164014731949251,0,0,0,0,-0.212701752915061,0.141224069744829,0,0,0,0,0,0,0,-0.00387179809558064,0.146680107244775,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.146173545835571,0,0,0,0.0882229557561215,0,0,0,0.262649376886597,0,0,0,-0.0442155043138396,0
X601988.CH.EQUITY,0,0,0,0,0.362307344085325,0,0,0.0685890604906897,0,0,0,0,0,0,0,0,0,0,0.237155904538248,0,0,-0.0538510388523078,0,0,0.189395268444601,0,0,0,0,0,0,0,-0.187647829423257,0.0348867781228717,0,0,0,0,0,0.0254033384845532,0,0,-0.00854690161962212,0,0,0,0.0204227812097879,0,0.137060305106367,0,0,0,-0.12817618647611
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.17069556479302,0,0,0,0,-1.73472347597681e-18,0,0,0,0.227446711302637,0,0,0.138372439279816,0,0,0,0,0,0,0,-0.0144908356050824,0,0,-0.187455420832675,1.73472347597681e-18,0.110876963830641,0,0,0,0.354529565309761,0,0,0,0,0,0,0,0,0.093024732374005,-0.0157180662865436,0,0,0,-0.00238781002631611
X5.HK.EQUITY,0,0.270967340133724,0,0.0584821052573873,0,0,0,0,0,-0.0293663660959858,0.0234926297216127,0.0731040843728962,0,0,0,0,0,0,0,0,0,0,0,0.267386748673501,0,0,0.0901994729387571,0,0,0,0,0,0,0,0,0,0,0.19908619559652,0,0,0,0,0,0,0.115377655072616,0,0,0,0,0,0,-0.0583958162981791,0
X388.HK.EQUITY,0,0,0,0,0,0.218856236130612,0,0,0,0,0,0,0,0,-0.0786579174953983,-0.0390274605681566,0.391617462906114,0,0,0,0,0,0,-0.12985825788858,0,0,0,0,0,0,0,0,-0.120144583677104,-0.0639722235723847,0,-0.22411891663232,0,0,0.0830172788734788,0,0,0,0,0.0522797824628748,0.140910622064197,0.0502094255510106,0,0,0,0,0,-0.542301459174292,0
