,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0454300096502475,0,0.146427621861415,0,0,0,0,0,0.111590214826056,0,0.351731565562486,-2.77555756156289e-17,0,0,0,0,0,0,-0.0680558304658827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137822729988509,0,0,0,0.183373970695162,0,0,0,0,0,0,6.93889390390723e-18,0,0.186217597043073,0,0.00896816927099733,0,0,0.104247691979186
X601318.CH.EQUITY,0,0,-0.090922364687917,0,0,0.0582097328697633,0,0,0.184223832688924,0,0.0576089524815738,0,0.1448051639211,-0.0170664618223715,0,0.250780402912904,0,0,0,0,0,0,0,0,0,0,0,-0.0714640071124422,0,0,-0.178212776324699,0,0,0,0.274397959019226,0,0,0,0.07630367318232,0.201834810407837,-0.236846804722182,0,0.188698347353744,0.197958529686313,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.41066103011221,0,0,0,0.0257632794620259,0,0,0,0,0,0,0.0937228893768642,0.0150225663968178,0,0.0914726326301849,-0.107584099392097,0,0,0,0,0,0,0,0.0936221896914945,0,0.0879815205110708,0,0,0,0,0,0,0,0,0,0,0,0.0881915800477562,0,0,0.428276890856349,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.154903113962631,0,0.168471699124315,0,0,0.389278789446176,0,0,0,0,0,0,0,0,0,0,0.0869947696908479,0,0,0.0235614143069017,-0.0717540680655686,0.0321974204273495,0,0,0,-0.0787138794974375,0,0,0,0,0,0,0,0,-0.0894607454360423,0,0,0,0,0,0.210553624810821,0,0,0,0,0,0,0.126419300186895,0,0,0,0,-0.00910532978104731
X5.HK.EQUITY,0,-0.129850493776365,0,0.231285466263929,0,0,0,0,0,0,0,0,0.108330666217729,0,0,0,0,0,0,0,0,0.451131508582821,0,0,0,0,0,0,0,0,0.380561629561828,0,0.0210035422842113,0,0,0,0,0,0,0,0.0275526103270721,0,0,0,0,0,0,0.167790924629743,-0.123527558842229,0,0,-0.0838614196857857,-3.46944695195361e-18
X601988.CH.EQUITY,0.223849680615413,0.085710295987702,0.0960724876716815,0,0,0,0,0,0.216722868116446,0,0,0.266313595577679,0,-0.0700199206907269,0,0,0,0,0,0,0,0.0289481305851984,0,0,0,0.048937111736829,0,0,0,0,0,0,0,0.181378327489005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0458561982096397,-0.0656925549186716,0,0.225360301131341,0,-0.0657409040713357,0.02633266053882,0,0.301753043490524,0,0.230824519104574,0,0,0,0,0,0,0.0372221367852724,0,0,0,0,0,0,0,0.034634525630932,0,0.0489998365651282,0.0388659095957548,0,0.0892638881037318,0,0,0,0,0,0,0.0768498105478116,0,0,0,0,0,0,0.059235430778781,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0829989184276997,0,0,0,0.117669548889951,0,0,-0.120420591167009,0,0.0325776268523602,0.238255176518139,0,0,0,0,0.017014151319006,0,0,0.0662790192749105,0.060912570155698,0.0951142890570316,0,0,0,0,0,0.019657445685634,0.207813931742241,0,0.028336957571179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0350655954046335,0.286961060662875,0,0,0.0982521509945695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950092491258368,0,0,0,0,0.279772720004275,0,0,0.0153337846821311,-0.164379481502715,0,0,0,0,0,0,0,-0.167329132595109,0,0,0.0385313560785868,0.0323542763633687,0,0,0,0,0.120643328226518,0,0,0,0,0.0482002119476831
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.298523776094257,-0.648735364399977,0,0.134203292616397,0,0,0,-0.0822368092593059,0,0,0,0,0.58196225391842,0,0,0,0,0,0,2.16840434497101e-19,0,0.130160619445814,0,0,0,0.39127813113533,-0.0690842957772196,0,0,-0.251969310251517,0,0,0,0,0,0.604608676665388,0,-0.293851348892977,0,-0.245738732364707,0,0,0.271880794786361
