,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.33199029089719,0.0169739485793242,0.337607322096302,0,0.0281670904389428,0,0,0,0,0.0410394304913676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639738557608519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304353476607789,0,0.110697287705354,0,0.0300506460078533,-0.0932365330561747,0
X601939.CH.EQUITY,0.411183488779418,0,0,0.197418305044913,0,0,-0.138741266112487,0,0,0.00622427494342445,0,0,0.164680459739453,0,-0.0652650182967568,0,0,0,0,0,0,0,0,0,-0.00792748962014683,0,0,-0.0304075479352433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272846719471804,0.0131072174904863,0,-0.0863099682677094,0,0
X601318.CH.EQUITY,0,0,0,0,0.216548202182055,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260356148680814,0,1.38777878078145e-17,0,0,0,0,0.181052997352427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258934327253735,0,0,0,0,0.218581635230313,0,0,0,0,0,0,0.110925815828168,0,0,0
X601288.CH.EQUITY,0.50028242617211,0,0,0,0.198567483413075,0,0,0,0,0,0,0,0.074733450878177,0,0,0,0,0,0.0129285655539948,0,0.117473622856901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050792946133696,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381090268571585,0,0,0,0,0,0.264329849699012,0,0,0,0,0,0.35502662477938,0.0873502766264978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367484476006876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00225682971411699,0,0,0,0.325081363051901,0,0,0,0,0.0671360318128172,0,0,0,0,0,0,0.00715740332206069,0,0,0,0,0,0.0464748537484672,0.174025954074193,0,0,0.0705208345254607,0,0,0,0,0,0,0,0.180937082704932,0,0,0,0,0.10650602912839,0,0.0171091437510876,0,0,0,0
X1299.HK.EQUITY,0.075951481276533,0,0,0,0,0,0,0,0.13443447824056,0,0,0,0.101290961750668,0,0,0,0,0,0,0,0,0,0.0102362284684068,0,0,0,0.225813936151638,0,0,0,0,0,0,0,0,0.178416261921042,0,0,0,0,0,0,0.0718947207008116,0,0,0,0.106829951174842,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.053843606642027,0,-0.123704227565572,0,0,0,0,0,0,0,0,0,0,-0.00819481375545555,0,0,0,0,0,0,0,-0.592437281138039,1.04203527888139,0,0,0,0,0.499963300467236,0,0,0,0,0,0,0,0,0,0.420848880748182,0,0,0,0,-0.103840803097035,0,0,0,0,0,0,0,-0.0724941791449541,0
X601628.CH.EQUITY,0.0407734736094086,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.146156684567861,0,0,0,0,0.188421600544384,0,0,0.0118640233100352,0,0.135889059944869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843787418725312,0.0863023327171869,0,0,0,0,0.0456952736727597,0.0193003291616913,0,0.0892886686432086,0,0.00604013925097311
X601658.CH.Equity,0,0,0,0.050877518086498,0.158804900701661,0,0,0,0,0,0,0,0.271324035070936,-0.043048531708202,0,0,0,0,0,0,0,0,0,0,0,0,0.109615803397787,0.203047132203823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.374058588076469,0,0,0,0,0
X601328.CH.EQUITY,0.119222385857986,0,0,0.298070473621501,0,0,0,-0.0980804500047956,0,0,0,0,0,0.163350622762737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291703186908692,0,0,0,0.169617579553089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671674322671576,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.431452550586084,0,0,0,0,0.0357498904289155,0,0.00709013815519867,0,0,0,0.0297367513027539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219980166717874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403484175038054,0.0372879398877854,0.105061632436865,0.047185010995392,0,0,0,0
X600000.CH.EQUITY,0.137090565836348,0.0815319751396134,0,0,0.0938594121245423,0,0.0126663336821962,0,0.0130064079312256,0,0,0,0,0,0,0,0.107717266427921,0,0.0810381046126729,0,0,0.141131914534954,0,0,0,0,0.0437811511574257,0,0,0,0,0,0.0621193906110393,0,0,0,0,0,0,0,0,0,0.0122658021458906,0,0,0,0.0709236569172923,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.242682191301805,0,0,0,0,0,0,0,0,0.0294809628248734,0,0,0,0,3.46944695195361e-18,0.107181020725645,0.0395635917192279,0.210345391375809,0,0,0.0725442025209741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632150197840379,0,0,0,0,0,0,0,0,-0.0781977332172337
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112119969610491,0,0.382036308695589,0,0.108748721311092,0,0.0578607762575252,0,0.170633494646738,0,0,0.072751626040012,0,0,0,0,0,0,0,0,0,0,0,-0.0335666544438041,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228963206415065,0,0,0,0,0,0.0151822713844529,0,0.0276324215557795,0,0.206090927113408,0,0,0,0,0,0.0422128258000459,0,0,0.0974028613247966,0.305327530786767,0,0,0,0,0.076116455146725,0,0,0
X000001.CH.EQUITY,0,0,0.0842140502050991,0,0,0.30544268234827,0,0,0,0.122769014950939,0,4.33680868994202e-19,0,0,0.147077011883232,0,0,0,0,0,0,0,0,-0.0473443412898535,0.125646970708734,0,-3.46944695195361e-18,0,0,0,0,0.179493406322216,0,0,0,0,0,0,0.0365837848894959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
