,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.222841091901257,0,0,0,0,0.37239045747481,0,0,0,0,0,0.0285586511574818,0,0,0,0,0,0,0,0,0,0,0,0.254583215189473,0,0,0,0.0173495722765891,0.0257094987509036,0,0,0.0729575734283573,0,0.0608122916126301,0,0,0,0,0,0,0,0,0,0,0,0,-0.08987742513571,0,0,0,0
X601318.CH.EQUITY,0,0,0.0902245793271708,0,0,0,0,0.0210897028233495,0.259592395505462,0,0,0,0,0.0388612585874016,0.318320523146713,0,0,0,0,0.07878421377674,0,0.0469440185845727,0,0,0,0,0,0.29583876516609,0,0,0,0.0408371324391044,0,0,0,0,0,0,0.0397648029255942,0,0,0,0,0,-0.116094925475593,0.0191596649769381,0,0,0,0,0.0633226532940251,0,0
X601939.CH.EQUITY,0.285372317954825,0.191995828586908,0,0,0,0,0,0.499595123630811,0.0863451179542307,0,0,0,0,0,0,0,0.014582993754997,0,0,0,0,0,0,0,0,0,0,0.0635547663094043,0,-0.0183994516796581,0,0,0,0.0457466144775926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182826297736185,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.155474888212489,0,0,0.0624003976931163,-0.103508359160553,0,-0.0999545329427611,0.145698806948493,0,0,0.154765984998929,0,0,0,0.16188588380736,0,0,0,0,0,0,0.399811678659715,0.0316951964902431,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716314802934497,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.476638232067218,0,-0.0797870003198535,0,0.0436633696448449,0,0,0,0,0,0,0,0.0403502292656928,-0.00343400742795526,0,0.0584553174437404,0,0,0.173833236136779,0,0.0947191656417098,0,0,0,0,0,0.0997183003782619,0,0,0,0,0,0,0,0,0,0,0,0,0.0261082369030278,0,0,0,0.0773850013628188,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.100162497253348,0,0.223753708095819,0,-0.0297817058576245,-0.0259928368166837,0,0,0,0,0,0,0,0,0,0.190083285348488,0,0,0,0,-0.00124333307507679,0,0,0,0,0,0.145864854982085,0,0.0640609267041646,0,0,0.169562915925154,0,0,0,0.18622258839098,0,0,0,0,0,0.217713068587185,0,-0.0896153772840793,0,0
X601628.CH.EQUITY,0,0,0,-0.0135873277177561,0,0,0,0,0,0,0,0,0,0,0,-0.0236580676698792,0,0,0.107303907218435,0,0,0,0,-0.148065798426594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467457334268346,0.00455621330331365,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0295086353109273,0
X601988.CH.EQUITY,0,0,0,0,0.525061431391322,0,0,0,-0.00801347468164491,0,0,5.42101086242752e-20,0,0,0,0,0.286935363947222,0.135148974148881,0,0.0434966966453643,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418294556220252,0,0,0,0,0,0,0,0,0,0,-0.0982266024893615,0.00137151703099056,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0209220478391283,0.0846684824847919,0,0,0,0,0,0,0,0.163243553315746,0,0,0,0,0,0,0,0,0,0,0,0.0815609542981648,0,0.100919441198957,0,0,0,0,0,0,0,0,0.105619155567743,0,0.0850720586130073,0,0,0,0,0.376689017844157,0,0,0,0,0,0.0849489529328089,0,0,0,0,0,-0.0571625189619812
X388.HK.EQUITY,0,0,-1.0842021724855e-19,-0.211575396876591,0,0.300495552189857,0,0,-0.0209670031479043,0,0,0,0,0,0,0,0,0,0.0814477657522532,0,-0.13622569707577,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513588353235049,0,0,0,0,0,0.0460676850946065,0,0,0,0.261549269177769,0,0,0,0.108228966733943,0,0,0.157645671924157,0,-0.134245150366688
