,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X600000.CH.EQUITY,0,0,0.0524857874312813,0.16645829092437,0.065995933019245,0,0,0,0,0,0,0,0.296890773227685,0,0,0,0,0,0,0,0,0,0,0,0,0.0567512937869815,0,0,0.154533033600844,0,0,0,0,0,0,0,0,0,0,0,-0.00727845953002452,0,0,0,0,0,0,0.0699833263533342,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200337908569059,0,0,0,0,0,0,0,0,0,0,0.0503010557934472,0.273437770067733,0,0,0.411220607394125,0.0629120372697449,0.0208297176506335,0.072587866457539,0,0,0,0.014223160565448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0442800039220909,0,0,0.0573730102374215,0,0,0.0563129491484389,0,0,0,0.0307971700877692,0,0,0.309234984658271,0,0,0,0,0,0,0,0,0.117739293692908,0.231344810948899,0.102207286203659,0.0619922447643975,0,0.02073979379258,0.0118004812710326,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.344063262113285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169564968621654,0,0,0,0.0101604063702323,0,1.73472347597681e-18,0,0.0511258919004107,0,0.0188208513076589,0,-0.0412339315673552,0,0,0,0,0.30723145869424,0,0.156343801348228,0.066266979116061,-0.123507535662502,0.02371175055292,0,0,0,0,0,0,-0.00660208024817366,0,0,0
X000001.CH.EQUITY,0,0,0.134726433003484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438381690838976,0.0663665660141463,0,0,0.0900206681891006,0,0,0.135404118050474,0,0.345555914825213,1.38777878078145e-17,0,0,0,0,0.127082760282317,0,0.0774639811369013,0,0,0,0,0,0,0,0.209262036908106,0,0,0,0
X688.HK.EQUITY,0,0.280398408231387,0,0,0,0,0,0.0661035627247513,0,0,0,0,0,0.091585617050913,0,0,0,0,0,0,0,0,0,0,0,0,0.241661670152373,0.108211435515893,0,0,0,0,0,0,0,0,0,0.0709638331358603,0.091259101327279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.0713507132830236,0,0,0,0,0,0,0.0217301497951989,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.255545776103373,0,0,0,0,0,0.147527162896808,0.194083762266961,0,0,0,0.0716652792064434,0,0,0,0,0,0,0,0,0,0.0257507121772146,0,0.0258607955797021,0,0
X600016.CH.EQUITY,3.46944695195361e-18,0.0105984566786863,0,0,0.00938542972216634,0,0,0,0,0,0.339093284958547,0.0120533158526178,0.245253721854636,0,0,0,0.141431143583104,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0746474544566068,0,0,0,0,0,0,0,0,0,0.0343769831076706,0,0,0,0,0,0.00247166232800676,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.260525436464502,0,0.0137325486428734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128862506996735,0,0,0,0,0,0,-0.0137246917222921,0,0,0,0,0,0,0.185574003881928,0,0.263529264124552,0,0,0,0,0,0.106856412364747,0,0.0612090402134867,0,0,0.0295292884945555,0,0
X601601.CH.EQUITY,0,0,0.728672301378163,0,0,0,0,0.0488194203445268,0,0,0,0,0,0,0,0,0.22793079085982,0,0,0,0,0,0,0.167233530744797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215281853036733,0,-0.307903815920079,0,-0.0568410235892968,0,0,0,0,0,0,-0.110450344817152,0,0.00932835742972805,-0.0108657595607126
X11.HK.EQUITY,0,0,0,0,0,0.0693088395152796,0,0.282847564779309,0.239310272366996,0,0,0,0,0,0,0,0.0952520864972578,0,0,0,0,0.202417088121996,0,0,0.041357993664158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256161738933825,0.0407482547352047,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0587425388089088,-0.0194492232780654,0,0,0,0,0,0,0.302876703249018,0,0,0,0,-0.0346844091109074,0,-0.10607608001679,0,0,0,0,0,-1.73472347597681e-18,0,0,0.100304297950203,-0.00462537157630519,0,0.491956739822621,0,0,0,0,0,-0.0309084937773711,0,0,0,0.0423596898755354,0,0,0.0545543798047009,0,0,0,0,0
X601998.CH.EQUITY,0.184928617775251,0.160645910502253,0,0,0,0,0,0.0160548217747973,0,0,0.0714298305221457,0,0,0.266091734201822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049386144959866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133358867727428,0.0277888880472916,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,-0.00359222286821103,0,0,0.224808032058772,0,-0.0301035451520916,0,0,-0.129748340263593,0,0,0,0,0,0.00456342192802471,0,0,0,0,0,0,0,0,0.543529222898829,0,0,-0.0109302380522197,0,0.0862383952388925,0,0.0105949373225192,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109877252769069,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.208689651014574,0,0,0,-4.33680868994202e-19,0,0,0,0.134981569196516,0,0,0,0,0.280523414810175,0.0936801070617012,0,0,0,0,0,0.228227398336759,0,0,0,0,0,0,0,0,0,0.00969294984108079,0.0838672398250967,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.00758944917172086,0.0273509514717645,0,0,0,0,0,0,0,0.0756944708520399,0,0,0,0,0,0,0,0.112395075070316,0,0,0.347800881888929,0,0,0,0.142119354115312,0,0,0,0.0484390482520217,0,0,0,0,0,0.0148066194999244,0,0,0,0,0,0.252929557944787,0.031745828347005,0,0,0,0.0526336149798486
X601818.CH.EQUITY,0.191416277646438,0.0474616670209602,0,0.157642891795321,0,0,0,0,0,0,0.160582817808151,0,0.266195401547467,0,0,0,0,0.0397353614936183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331719640156835,0,0,0,0,0,-0.10257541894602,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.194847583643492,0,0,0,0,0.355965479816421,0,0,0,0.0212594508367789,0,0,0,0,0,0.122570232952999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232587771988528,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-0.073504535384585,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,-0.0636869555158991,0,0,0,-0.0486682576757133,0,0,0.131412672929434,0,0,0,0.107234321751446,0,0,0.326857078267975,0,0,0,0,0,0.179814188974051,0.0311878057255166,0,0,0,0,0,0,0,0,0.165261977980046,0.180347353326981,0,0,0,0,0,0,0,0,0.0164160903293178,0,0.00414038977486411,-0.0964956628356747,0,-0.0666141946424441
X002142.CH.EQUITY,0,0,0.0946131023369458,0,0,0.222415664721408,0,0.0109705636032033,0,0,-0.141656882477943,0.0820900036885348,-8.67361737988404e-19,0,0.314658149012986,0,0,0,0,0,0,0,0,0.130554035265221,0,0,0,0,0,0,0,0,0,0,0,0,0.000577191081932212,0,0,0,0.141456488533369,0,0,0,0,0,0,0,0,0,0,0,0.0704631110084005
X601688.CH.EQUITY,0,0,0.0358017496826822,0,0,0,0,0,0,0,0,0,0,0,0,0.21012624473621,0,-0.0498641507602877,0,0,0,0,0,0.0471483473448919,0,0,0.0658431928609859,0,0,0,0,-0.0803689639875219,0.0168173002898397,0,0,0,0,0.0246052030465386,0,0,0.184690657007511,0,0.54447266132596,0,0,0.0702581111292873,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0647807843234563,0,0,0,0,0.181243162145755,0,0,0,0.0448943067926309,0,0,0,0,0,0.0862035777898301,0.0612776591873615,0.096733955782155,0,0,0,0,0,0.532136971993056,0,0,0,0,0,0,0,0,0,0,0,0,0.134198831367667,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.447719323057898,1.0877395475102,0,0,0,0,0,0,0,0,-0.30609348153715,0,0,0,0.0754589154871448,0,0,0,0,0,0,0,0,0,0,0,0.134122108644042,0.10068778881591,0,0,0.0483576748006911,0,0,0,0,0.0484958604999426,0,0.000925019248615377,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0.198186231712472,0.0260766456743585,-0.155751441833943,0,0,-0.174682294887108,0.229868561809477,0,0,0,0,0,0,0.00828631583613923,0,0,0,0,0,0,0.533159094046341,0,0.0279716048304092,0,0,0,0,0,0,0,-0.0346604593687043,0,0,0.0668372598590438,0,0,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.129026407560766,0,0,0,0,0.166979200420382,0,0.268180676544974,0,0.00544576627634219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830651376789648,0,0,0,0,0,0,0,0,0,0,-0.0656022474681048,0,0,0.379350739600633,0,0,-0.0616814077524546,0
X2882.TT.EQUITY,0,0,0,0,0,0,-0.0605489467954792,0,0,0.0142320354704159,0,0,0,0,0,0,0,0,0,0,-0.0890955221638165,0,0.274707504694459,0,0,0.0255706047924695,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0397840672640207,0,0,-0.0668076185206338,0.664434111544863,-0.0541543973387635,0,0,0.0686073459274478,0.0283796456796293,0,0,0,-0.136609213930325
X823.HK.EQUITY,0,0,0,0,0,0,0.160068355603678,0,0,0,0,0,0,0,0,0,0.368281621706775,0,0,0,0,0.152451431606705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127445564914999,0,-0.0865529473483183,0,0,0,0,0,0,0,0.310153093608417,0,0,-0.102262620033716,-0.079406134130466
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.125094282637364,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.160506524492855,0,0,0,0,0,0,0,0,0,0,0,0.226338161719776,0.377813649029434,0,0,0,0,0,0.0498278586571087,0,0,0,0,0,0,0,0,-0.193225459000291,0,0.0277552627448046,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.282300368984236,0,0,0,0,0,0,0.138748925604596,0,0,0,0,0.0382830331234366,0,0.033657044768699,0,3.46944695195361e-18,0.155226213973223,0,0,0,0,0,0,0,0,0,0,0.0477498632853795,0,0,0,0,0.0845129273457786,0,0.0292910428783778,0,0.134612255766748,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.194405648822022,0,0,0,0,0,0,0,0,0,0,0,0.104162593318629,0.00834861792968291,0,0,0,0,0,0,0,0,0.507425488920583,0.272139705146116,0,0,0.0349501743907506,0,0.149130098496595,-0.0317893993444336,0.0658152649128337,0,-0.0080303728454091,0.0523905001543002,0.0319944690806082,0,0,0,0,0,0,0
