,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.147038202668751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121983414376026,0.41455562594452,0.318589969683645,0,0.210998685964723,-0.228367902737264,0,-0.0532987714212887,0,0.00193281805830252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440469244842672,0
X601318.CH.EQUITY,0,0,0,0,0,0.218901535696039,0,0,0,-0.086875327488671,0,0,1.38777878078145e-17,0.000738285012812034,0,0,0,0.0530096641478449,0,0,0,0,0,0,0,0,0,0,0,0.0792018578695615,0.194605295087509,0.0355470526698299,0,0,0,0.225212219226999,0,0.11548357003363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294907599559251
X601939.CH.EQUITY,0,0,0,0.802140392030559,0,0,0,0,0,-8.67361737988404e-19,0.000998834544598329,0,-0.0393877546537277,0,0,0.0418727363098735,0,0.118035190606715,0.0502730321577503,0,0,0,0,0,0,0.0363239394488002,0,0,0,0,0,0,0,0,0,0,0,0.0453319367055575,0,0,0,0,0,0,0,0,0.00492564035982585,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.966866291267323,0,-0.0603139387844564,0,0,0,0,0,0,0,0,0,0,0,0.0571012614563128,0,0,0,0,0,0,0,0,0.0283714386235419,0,0,0,0,0,0,0,0,0,0.00424901825150972,0,0,0.0335368416437615,0,0,0,-0.0760522604851068,0,0,0.0313043522067501,-0.000907387863539156,0,0,0,-0.102420692074687,-0.0484157338572235,0
X601628.CH.EQUITY,0.00585253965141302,0,0,0,0,0,0,0,0,0.324259872657391,0,0.159354873645905,0,0,0,0,0,0,0,0.362705394127852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162611384654467,0,0,0,0,0,0,0,5.42101086242752e-20,0.220058430558232,0,0,0,0,0.0336313567977102,0.0751916581525927
X600036.CH.EQUITY,0,0,0.323486437282912,0.0828129963683449,0,0,0,0,0.0698248074738057,-0.0088277774419383,0,0,0,0,0,0.0866964016893443,0,0.103731622921945,0,1.73472347597681e-18,0,0,0,0,0,0.0432423815700547,0.0245991196082744,0,0,0,0.104251879055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0.00986795475804335,-0.140725202511589,0.0589477642375152,0,0.0490851322406964,0,0,0,-0.00990204013637215,0,0.0171597599691419,0,0,0,0,0,0,-0.0332448981353935,0,-0.013356626109122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105666199454041,0,0,0,0,0,0,1.04047414570196,0,0.0329025601131871,0
X1299.HK.EQUITY,0,0,0,0,0.0335933450314053,0,0,0,0,0.138455909416469,0,0,0.0830146640141322,0,0,0,0,0,0,0,0,0,0.188528167519775,0,-0.120313374517373,0,0,0,0.0216923488668172,0.256129291350406,0,0.226402660052248,0,0,0,0,0,0,0,0,0.144352440267894,0,0,0,-0.0445155142225731,0,0.143872283070681,0,0.0655089144194839,0,0,0,0.0525436977831031
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190936206430809,0,0,0,0,0,0,0.224575999324353,0,-0.0558110623504562,0.48040243398926,0,0,0,0,0,0,0,0,-0.0459740273514156,0.048012908659779,0,0,0,0,0.0349015186329853,0.0563650451986004,0,-0.118018350527983,0,0.0468458224488207,0,0.10123098360166,0,0
X388.HK.EQUITY,0,0,0,0,0.148849530007175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329523877234339,0,0,0,0,0.202320348562103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154338847342868,0,0,-0.232400693285975,0,0,0,0.261385019817678
X601658.CH.Equity,0,0.0776268591249743,0.246948267753069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247896214924792,0,-0.132438546404509,0,-0.0797518278330325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749153777644406,0,0.557205803125866,0,0,0,0,-0.0954013418799763,0,0,0,0,0,0,0
