,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0705297515073055,0,0,0,0,0,0,-0.0701868626871409,0,0,0,0,0,0,0,0,0,0,-0.194807170381612,0,0.0433949797775664,0.713913781657765,0,0.5629010092158,0,0,-0.220725127143893,-0.119524256089414,0,0,0,0,-0.0444946860329521,0,0,0,0,0,-0.0537570232298097,0,0,0,0,0,0,0,0,0,0,0.0666787795022627,0
X601318.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.32518317185521,0,0,0,-0.0566692440946953,0,0,0,0.00509436078960471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.101952355393613,0.0950581582730532,0,0,0,0,0.209796581258471,0,0,0,0,0,0,0,0,0,0,0,0,0.0493531739846527,0,0,0,0.0526173437818599
X601939.CH.EQUITY,0,0.0809537250514575,0,0.802717360136592,0,0,0,0,0,0.0444180851229352,0,0,0.0169160720754717,-0.00807796254345174,0,0,6.93889390390723e-18,0.0802617294846021,0,0,0,0,0,0,0.0252535019960946,0,0,0,0,0,0,0,0,0,0,0,0,0.067827372333263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.019104243169545,0,0.935853126477125,0,-0.0415326919820461,0,-0.0822883419499047,0,0,0.0204848145760597,0,0,0,0,0,0.00691090676613297,0,0,0.114440855731583,0,0,0,0,0,0.0477929851581029,0,0,0,0,0,0,0,0.0346728743363909,0,0,0,0,0,0,-0.0629562990447939,-0.0470976507441294,0,0,0,0,0.0531233689680828,0,0,0,0,-0.0747208070466468,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.310923325922883,0,0.0637317996538196,0,0,0,0,0,0,0,0.241323181634332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902196774386124,0,0.202329344289528,0,0,0,0,0,0,0,0.11899524847175,0,0.192394207878287,0,0,0,0.0551056374461142,0.0817406242166658
X600036.CH.EQUITY,0,0,0.07192742974827,0.257133459150424,0,0,0,0,0.0479894223952412,-0.00689222746313215,0,0,0,0,0,0,0.176057648358912,0,0,0.0201336233578427,0,0,0,0,0.0238490423452218,0,0,0.18755694873173,0,0.0312187094895846,0.128864675563445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04237851245281,0,0,0,0,0.0317384628903197,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0415569989335838,0,0,0,0,0.128757920383701,0,0,0,0,0,0,0,0,0,0,0,0,0.295926013065413,0,0,0,0,0,0,0,0,0,0.145459172975207,0,0,0,0.0824722643087436,0,0.0820115805381771,0,0,0,0.104751834907751,0.0268473143909523,0,0,0,0.145069088460005,0,0,0,-0.00668408928708951,0.0468293134990694
X601988.CH.EQUITY,0,0,0,0.0868558777451632,-0.0451373253863299,0,0,0,-0.0203562585560599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178335296696009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124246441401006,0,1.00250564641707,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0374275462508328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229539801901683,0,0,0,0,0.106546089329957,0.31180258465915,0,0,0,0,0,0,0,0,-0.219110476310033,0,0,0,0,0,0,0,0.0645264828547219,0,0,0,-0.121898419327661,0,0.115981845668004,0.152569389730512,0,-0.0253210310526581
X388.HK.EQUITY,0,0,0,0,0.202887273421123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997754030171038,0,0.279317766928357,0,0,0,0,0,0.115598994228478,0,0.0455179747322721,0,0.07448229617251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174717073679382,-0.0330544592672191,0,0.304462264096244
