,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0329549210378357,0.476154308776589,0.0149438284362025,0,0,0.0904712165284111,0,0,0.0828879168010124,0.0675721740255697,0,0,0.176493093363506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286757517004018,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.118595688431618,0.285375142696463,0,0,0,0,0,0,0,0,0.318931752408653,0.0877436005755612,0,0.0724889377401805,0,0,0,0.0644418633627648,0,0,0,0,-0.0278552354067585,0,0,0,0,0,0,0,0.0060648377821177,0,0.0442249019531052,0,0,0,0,0,0,0,0,0.0198757510251702,0,0,0.00935183404137666
X601939.CH.EQUITY,0.131757345720712,0,0,0.517481516094595,0.0874970302198513,0.080761590915389,0,0,0,0.0719358703007596,0,0,0,0,0,0,0,-0.047218579775395,0,0,0,0,0,0,0,0,0,0.179432077895801,0,-0.00773761959161927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641163980899746,0,0,0,0,0.0469158012792245
X601288.CH.EQUITY,0,0,0.211688027041727,0,0,0,0,0,0.011894752013625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273496157439126,0,0.195540208514925,0,0,0,0.0474268371538396,0,0,0,0,0,0,0,0,0,0,0.0961921215276424,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565764069516872,0,0,0.207418101318066,0,0.206197673525437,0,0,0,0.212042780737745,-0.00851552310421182,0,0,0,0,0,0.195633692015415,0,-0.244546751043133,0,0,0,0.0459742548971775,0,0,0,-0.0612234596884134,0,0,0,0,0,0.18990242228935,0,0,0,0,0.0806123058375077,0,0,0,0,0,0,0.171390128222592,-0.00759036401974934,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.262261936351957,0,0,0,0.106904692249983,0,0,0,0,0,0,0.0351483081599569,0.109409763631894,0,0,0,0,0,0,0,0,0.0883701287401951,0,0,0,-0.19165005497403,0,0.0605209124096186,0,0,0,0,0,0,0,0,0,0.0798750076455078,0,0,0,0,0,0,0,0.151142929132809,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173441761490838,-0.0944271494926859,0,0.103978610831141,0,-0.0345347102874494,0,0,0.0345110866517067,0,0,0,0.471920542484518,0.0314491256195467,0.0414475318824117,0,0,0.082629491745404,0.111312632656413,-0.0371513007914456,0,0,0,0.089538231346804,0,0,0,0,0,0.266153024932905,0,0,0,0.111877552455401,0,0,0,0,0.0752414651009021
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303398872952828,0,0,0,0,0,0,0,0.0734403624797644,0,0.0628709600989457,0,0.11894738599769,0,0.0375169094188391,0,0,0,0.230318446714183,0,0,0,0,0,0,0,0,0,-0.0765628791409676,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.148206469201791,0,0.0503170167450431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104546114723195,0,0,0,0,0,0,0,0.147784524247868,0,0,0,0,0,0,0,0,0,0.0208821997474592,0.36637620183862,0,0,0,0.118955121638448,0,0.0565509600904669,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.371522853612525,0,0,0,0,0,0,0,0,0.406985092347015,0,0,0,0,0,0,0,0,0.00961162134182427,0.0398666334742299,0.128099205589908,0,0,0,0,0,0,0,-0.0171103669137434,0,0,0.02810292635043,0,0,0,0,0,0.0996826348197875,0,-0.0228835386194757,0.214958933956298,0,0,0,0.0771909156583338,0,0,-1.73472347597681e-18,0,0
X601166.CH.EQUITY,0.107034606728792,0,0.0523857535116567,0,0,0,0.0307053159886674,0,0,0.161503352064349,0,0.325206694203744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231520976869193,0.0493044241271419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754958797923386,0,0
X600000.CH.EQUITY,0,0,0.107399963927141,0,0.0797587945296997,0,0.0955206163468192,0,0,0.0832677667482189,0.515191239398244,0,0,0,0,0,1.38777878078145e-17,0,-1.73472347597681e-18,0.0746364079489064,0.21803617938978,0,0,0,0,0,0,0,0.117796062065487,0,0,0,0,-0.152700108575616,0,-0.0710508136902287,0,0,-0.0453739401873464,0.0100812989842566,0,0,0,0,0,-0.0762928854834774,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.132439863045382,-0.20624008087809,0,-0.059328579769179,0,0,0,0,0,0,0.105621256842561,0,0,0,0,0,0.272460869808838,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,-0.123241603536286,0,0.117614589091959,0.0408596238983865,-0.0413989818229829,-0.0534600851194511,0,0,0,0.0803206139133216,0,0,0,0.393515253743789,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.172935345214312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579731998283002,0,0,0,0,0.0267890334087859,0.256519080986025,0,0,0,0.602775245587487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182608347958477,0,0.11054792634806,0,0,0,0,0,0
