,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.01466523984969,0,0.15188966776827,0,0.0111787991716061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675514903218043,0,0.259331233863957,0,0,0.0584193052425027,-0.124467963599211,0,0,0,0,0,0.269337134748352,-0.193662610183994,0,0,0,0,0,0,0,0,0,0,-0.139058209984374,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.075880514684509,0,0,0,0,0.0388726629487713,0,0,0,0,0,0,0,0,0.439744273027493,0,0,0,0,0,0,0,0,0.103385280935329,0,0,0,0,0,0,0,0,0.198001178707353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13834543003554
X601939.CH.EQUITY,0,0,0,0.853506682609037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760995427719255,0,0,0,0,0.113317795178181,0,-0.0324512591765591,0,0,0,0,0,-0.0259997442121179,0,0,0,0,0.0516307577140239,0,-0.0437412798094521,0,0,0,0,0.0386586587798684,0,0,0,0.0378683645723804
X601288.CH.EQUITY,0.0103112273074707,0,0.895133138242853,0,0,0,-0.063384885070632,0,0,0,0,0,0.0041299137290285,0,0,0.0426680905608087,0,0.106419798972699,0,0,0,0,0,0,0,0.0516306773069995,-0.0617636245027662,0,0,0,0,0,0,0,0,0,0,0,-0.0958307246161218,0,0,0,0,0,0,0,0,0,0,0,-0.0464241349401959,-0.0100320111608786,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152509792162336,0,0,0,0,0,0,1.12302673905764,0,0,0,0,0,-0.10532583922252,-0.060439877139879,0,0,0.0762900933127556,0,0,0,0,0,0,0,0.00774199030053256,0,-0.213085622548928,0,0,-0.149554277768863,0,0,0,0,0,0,0.0449696533422817,0.0915021742214762,0,0,0,0,0.0217962535906341,0,0,0.225923833115734
X600036.CH.EQUITY,0,0,0.280327591995909,0.0981279615477422,0,0,0,0.0167657030819749,0.0194294600367325,0,0,0,0,0,0,0,0,0,0,0.0265164703154687,0,0,0,0,0,0.0662505678292025,0,0,0,0.103887857144294,0,0,0,0.363460788842799,0,0,0,0,0,0,0,-0.0559614410148207,0,0,0.0629685596501809,0,0.0708254146336983,0,0,0,0.064188055661515,0,0
X601628.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.022099950076346,0.0468913207721779,0.701498399977829,0,0,0,0,0.0258086421801454,0,0,0,0,0,0.114553233242654,0,0,0,0.0193615463573598,0,0,0,-0.113516948018023,0,0,0,0,0,0,0.171824520595877,0,0,0,0.137052272811761,0,0,-0.0463538533873605,0,0,0,0,0,0.112849584843173,0.0260334761192455,0.133622552442467
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.185892380853014,0,0,0,0,0,0,0,0,0,0,0,0.157149972666811,0.0637997286342798,0,-0.139603732941529,0,-1.38777878078145e-17,0,0,0,0.0199969801211928,0.152486735869126,0,0.185258621068081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440395093504456,0,0,0,0.0847197440497755,-0.0116609343840723,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.152232833053589,0,0,0,0.0754470396485459,0,0,0,0,0.287306224376852,0,0,0,0,0,0.18271888458081,0,0,0.288446191260987,0.0339010990916971,0,0,0,0,0.086891965891984,0.0419687380926961,0,0,0,0,0.134967355172923,0,0,-0.162137638229459,0,-0.064249985389321,0,0.122422134380928,0,0,0,0,0,0,0.142632929688234,0,-0.0906275881731173
X601658.CH.Equity,0,0,0,0.23206415912516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22542224836727,0.057273867303625,0,-0.113644730357333,0,0,0,0,0,-0.1318844575681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387816235103355,0,0,0.0642892168466887,0,0,0,1.73472347597681e-18,0,0,0
X388.HK.EQUITY,0,0.0118374278027458,0,0,0,0,0.350370678251556,0,0,-0.231086692047452,0,0,0.00461141457231494,0,0,0,0,0,-0.126734188151892,0,-8.67361737988404e-19,0.0985086791925647,0,0,0,0,0,0.282157665140823,0,0,0.152672258485669,0,0,0,0,0,0,0,0.167062475678841,0,0,0,0,0,-0.150688778856353,0,0.1220000047424,0,0,0,0,0,0.0757147897545214
X600030.CH.EQUITY,0,0,0,0,0,0,0.120036105180672,0,0,0,0.0600904331634105,0,0.0530536283300709,0,0,0,0.306111929189006,0,0,0,0,0,0,0,-0.0143084468399842,0,0,0.0280996097071097,0,0,0,0,0.469586183423703,0,-0.0399342140364263,0,0,0,0,0,0,0.0201548624159324,0,0,0,-0.0332504664327553,0,0,0,0.0259574373592021,0,0,0
X601328.CH.EQUITY,0,0,0,0.114353563630293,0.0131194397470441,0,0,0,0,0,0,0,0,0,0.0466659381155661,0,0,0,0,0,0,0,0.35819605598552,0,0,0,0,0,0,0,0.00749346393209648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169786567362103,0,0,0,0,0.0350982995769253,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.576912597545082,0.011007912252536,0,0,0,0.0455776449551341,0,0,0,0,0.0970834923838958,0.0725113442163679,0,0,0,0,0,0,0.0262895275046376,0,0,0,0.0366814908506084,0,0,0,0,0,0,0.0864309725960468,0,0,0,0,0,0,0,-0.029292831901062,0,0,0,0,0,0,0,0.0320228782619768,0,0,0
X600000.CH.EQUITY,0,0.0355460350504865,1.38777878078145e-17,0.0431902732634573,0,0,0,0.0381857637346015,0,0,0,0,0.169172640902328,0.479335986609424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806160929147937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
