,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,2.77555756156289e-17,0,0.426796574049372,0,0,0,0,-1.73472347597681e-18,0.0033201154148213,0,0,0,0,0.365227947288854,0,0,0,0,-0.0458181186589994,0,0,0,0,0,0,0,0,0,0.0758182592823634,0,0,0,0,0,0,0.000818806627434142,0,0,0,0,0,0,0,0,0.00467892181096421,0,0.111278397100939,0,0,0,0,0
X601939.CH.EQUITY,0.143626976120625,0,0,0,0,0,0,0,0,0,0,0.0262540921486053,0,0.263067712926197,0.297108868376648,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116493144067492,0,0,0,0,0,0,0,0,0,0,0,0.132328928524811,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377878199333541,0.0839905409788597,0,0,0.313236320821016,0,0,0,0,0,0.111481232602896,0,0,0,0,0.0478485885444518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153663097479133,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184628440588431,0,0,0,0,0,0,0.18610839230785,0,0,0.0605686041603339,0,0,0,0,0,0,0,0.0322738875748765,0,0,0,0.136908194199251,0,0,0.016709151241494,0,0,0,0,0,0,0.065202580642997,0,0,0,0.120325757343678,0,0,0,0,0,0.119278372471663,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.216915169293712,0,0,0.242153598829755,0,0,0,0.647132405387053,0,0,1.73472347597681e-18,0,0,0.500220975810233,-0.673665623524624,0,0,0.164003291175429,0,0.147563803659706,0,0,0,0,-0.0632159540954457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203026830660347,-0.0252642910081122
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0644062953410662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174508390208375,0,0,0.100772702259614,0,0,0.077688302719549,0.0784756804972371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364300309238718,0,0,0
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.163706770945128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163744800950725,0,0,0,-0.270717549721316,0.171320692825411,0.118824985782052,0,0,0,0.464065351946229,0,0,0,0,0,0,0.894426373639319,0,0,-0.53208650176026,0,-0.0323775921789633,-0.0151157584480557
