,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.28873942534458,0.0981801681903335,0.0807687238795841,0,0,0.268898611357503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143690965706731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946468704667053,0,0,0,0,0,0,0,0,0,0,0,-0.0506785666165844,0,0,0
X601318.CH.EQUITY,0,0,0.241885016630805,0,0,0,0,0,0.101929310960935,0,0,0,0.0602856404180898,0,0.0310329523698904,0,0,0,0,0,0.178160200072188,0,0,0,0,0,0,0,0,0,0,0,0.0429618660361601,0,0,0,0,0.1087470827562,0,0,0,0,0,0,0.0266818784878099,0,0,0,0,0,0,0,0.100435325353313
X601939.CH.EQUITY,0.420651175679151,0.270621128099455,0,0,0,0.0265256961948664,0,0.384152281617088,0,0,0,0,0,0,0,0,0.0298523865060081,0,0,0,0,-0.111629212544204,0,0,0,0,0,0.127064897881151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134587465170728,0,0
X601288.CH.EQUITY,0,0,0.010092369864149,0,0,0.0935108736524386,0,0.455168125255171,0,0,-0.0928920069325536,0.14050757391775,0,0,0.0337644158141101,0,0,0,0,0,0,0,0.0171393828954759,0.0410729541588578,0,0,0,0.0505899932458613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533121834878781,0,0,0,0.0425143998355406,0,0,0,-0.044033856667563
X600036.CH.EQUITY,0,0.117201098894806,0,0,0,0,0.233183795285929,0,0,0,-0.0203751747357323,-0.0462279102863803,0.0968800128097776,0,0,0.122474374132021,0,0,0,0,0,0,0,0,0.467677911853477,0,0.125897766897883,0.104601755283394,0,0,0,0,0,0,0.00621085686208827,0,0,0,0,0,0,0,0,0,-0.0328638885874896,0,0,0,0,0,-0.102940405788626,0,0.0496148763833497
X601628.CH.EQUITY,0,0,0,0.0775324866191147,-0.0208951874001834,0,0,0,0,0,0,0,0,0,0,-0.186912624566676,0,0,0,0,0,0.0552169499162494,0,0,0.035205775541432,0,0,0,0,0,0,0,0,0.0093657376274691,0.66416134152494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079163306216927,0.0079670313303276,0,0,0.239152287193967
X1299.HK.EQUITY,0,0,0,-0.017869071430091,0,0,0,0,0,0,0.0736316582521118,-0.052504436266156,0,0,0,0,0,0,0,0.0315239777504814,0,0,0.153433542375833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108626938663773,0.122896791114339,0.162392454057315,0,0.147815934550036,0,0,0,0,0,0,0.26922465520782,0,0,0
X601988.CH.EQUITY,0,0,0.100130822130605,0.482165349128266,0.0822839877760076,0,0,0,2.71050543121376e-20,-0.00278286310652625,0,0,0.214045948507308,0,0,0,0.07209593097695,0,0,0,0,0,0.039893145641215,-1.73472347597681e-18,0,0,0,0,0,0,0.0219650230317439,0,0,0,0,0,0.0299692889536808,0,0,0,0,0,0.0368974911291483,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0917715870512915,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.000480795766777662,-0.107434398814261,0,0,0,0,0,0,0.14581882882162,0,0.167816076889818,0,0,0.120077011380093,0,0,0,0,-0.044794799708006,0,0.104037513130953,0,0,0,0,0,0.331835223567911,0,0,0,0.203115208998945,0,0.0525654176181246,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0280404351233992,0.0490545061370415,0,0,0,0,0,0.0912177708049437,0.0965444744243592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19935810183005,0.394982854919252,0.0635274045659882,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0849319694357101
