,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.525073394338477,0,0,0,0.143678624795297,0,0,0.0657333391722454,0.0214096532465569,0,0,0,0.171062616121531,0,0.031744285518831,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0233768819146577,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.136717854235621,0.261810005399989,0,0,0.0340758105788578,0,0,0,0,0.308416376979123,0,0.0887535238211244,0,0.0629411133416458,0,0,0,0,0.0431798994458245,0,0,0,0,0,-0.0479049469538307,0,0,0,0,0,0,0,0.0673231211864362,0,0,0,0,0.00439115441090591,0,0,0,0,0,0,0.00262769859848753
X601939.CH.EQUITY,0.43611438102103,0,0,0.258901263139914,0.168136839576297,0.0139966715507896,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.00363168577152897,0,0,0,0,0.211901090735856,0.114135107981854,0,0,-0.163672700565324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021008327220061,0.0158020211375492
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.319835739136155,0,0,0.836491475109171,0,0,0,0,0,0,0,0,-0.0367788951543792,0,0,0,0,0,0,0,0,0,0,0,0,0.107850851166595,0,0,0,0.0301329609898434,0.127944264406124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0316549362238852,0,0,0,0.183246441330064,0,0.288031626661804,0,0.0979816991819912,0,0,0,0,0,0,0,0,0.0327385068003682,-0.0655275852284609,0,0,0,0,0,0.015321382041916,0,0,-0.146316151676139,0,0,0,0,0,0,0,0,0.149514413073943,0,0.276464106259108,0,0,0,0,0,0,0,-0.124766808102003,0.0867854103886027,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.32874574674086,0,0,0,0.146224909402011,0,0,0,0,0,0,0.0754276127729501,0,0.0746393615551244,0,-0.0235983379953005,0,0,0,0,0.141308638356237,0,0,0,0,0,0,-0.211218323439114,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0702314777622951,0,0,0,0,0,0,0,-0.0260022969610163,0.0590906331684428,-0.0888774801057445,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.107283368933841,0,-0.0372223495440835,-0.0520421138788374,-0.0151057258956526,0,0.0979860568974063,-0.105200304872191,0,0,0,0,0,0.522122429540701,-0.0384511971079737,0,0.0788171290481367,0,0,0.133367916465256,0,0,0,0,0,0.0199700728844412,0,0,0,0.0348466156349952,0,0,0.240472670276663,0,0,0,0,0.0995857339734743,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.237409374537185,0,0,0,0,0,0,0,0,0,0,0,0,0.122222623927515,0,0,0,0,0,0,0,0,0.0596878219348403,0,0.0605067936640988,0,0.025518524599456,0,0.257158141983114,0,0,0,0,0.154976710705907,0,0,0,0,0,-0.168207472617547,-0.0503472100837587,0.0835992953206609,0,0,0,0,0,-0.0150543270746929
X601628.CH.EQUITY,0,0,0,8.21333662786028e-05,-0.0307634202722403,0,0.00488153407845924,0,0,0,0,0.139743716670363,0,0,-0.0377744562501921,0,0.324090878490311,0,0,0,0,0,0,0,0,0,0,0,0,0.00694127202393004,0,0,0,0,0.0496188977766395,0,0.198755854209778,0,0,0,0,0.243635171075397,0,0.0884519972288892,0.0747223917410262,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.091220311986294,0,0.389613126082661,0,0,0,0,0,0,0,0,0,0.424982407605396,0,0,0,0,0,0,0,0.019772101390828,0.211706098418487,0,0,0,0,0,0,0,0,-0.00828317157661367,0,0,0,0,0,0,0.00542083259609506,0,0,-0.0999567082133303,0,0,0.197930517459112,0,-3.46944695195361e-18,0,0,0.0137594055036772,0,0,0
